total_losses,wind_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_multiple_fuels_pct,gen_fuel_wind_pct,rmccp,rmpcp,total_pjm_reg_purchases,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,system_energy_price_da,total_lmp_da,marginal_loss_price_da,system_energy_price_rt,total_lmp_rt,congestion_price_rt,marginal_loss_price_rt,gross_sched_interchange_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0481049,0.800889,0.91532385,1.1362947,0.9217942,0.96459955,0.80675703,0.83088976,0.8552497,0.88750803,1.0312103,0.8732633,0.97986186,0.7543027,0.805451,0.7996338,0.89555156,0.9658016,0.8295503,0.8574223,0.8073276,0.95613134,1.0083696,0.8801992,0.8046659,0.987854,0.82068723,0.93866485,0.8322069,0.75296634,0.7536172,0.81662273,0.82827127,1.225639
1.0840871,0.72389704,0.9187045,1.1708865,0.7828917,0.81632954,0.7033931,0.75746864,0.70405835,0.77772075,1.0832555,0.7453649,0.82933706,0.6311286,0.7263985,0.646793,0.7361792,0.8194415,0.7911285,0.7027141,0.6487865,0.86351085,0.97017425,0.7208828,0.66668016,0.9212975,0.79248345,0.9814024,0.7748524,0.61818975,0.6180669,0.6691972,0.6827017,1.1676602
1.029266,0.6624937,0.8902764,1.1705309,0.67296165,0.7250078,0.6116617,0.7537973,0.59776765,0.71944183,1.0561079,0.6739632,0.746791,0.52563685,0.6499597,0.5355312,0.6319839,0.7226921,0.7483269,0.6006044,0.5417752,0.768417,0.8998798,0.606559,0.5634897,0.82835233,0.71987635,0.9420993,0.71407217,0.5150813,0.49357444,0.5568579,0.56467193,1.1395726
0.9704279,0.596978,0.8574565,1.1498551,0.5804833,0.66750216,0.5385686,0.7656852,0.5190452,0.6539278,1.045632,0.62126577,0.6761552,0.4398191,0.5564025,0.43368453,0.5413446,0.64008045,0.69941527,0.51911974,0.46957415,0.7173251,0.84946454,0.51444525,0.47361293,0.74739563,0.6630166,0.9222974,0.62660176,0.45723605,0.4135413,0.46736214,0.4681459,1.0949587
0.93812996,0.5297424,0.8204585,1.1231234,0.48943678,0.6242389,0.46648997,0.7741902,0.44346884,0.58827084,1.0010604,0.58007675,0.63237154,0.36679366,0.4899111,0.3479742,0.45233777,0.56542563,0.6506137,0.44441113,0.39690283,0.6603005,0.79396373,0.43651038,0.39302403,0.6830486,0.59124047,0.8810732,0.57756114,0.39496553,0.34478867,0.39330357,0.38842103,1.0413324
0.90767324,0.48121807,0.78295475,1.0818409,0.4178472,0.5937888,0.41314596,0.76123124,0.3857954,0.55087936,0.9361893,0.55224437,0.5872708,0.31173074,0.4220079,0.27360767,0.38781837,0.50397563,0.60804933,0.37834483,0.336763,0.6038265,0.73657143,0.37074548,0.3306174,0.6239604,0.53145087,0.84458315,0.5307706,0.33491302,0.2885341,0.33655608,0.3260441,0.9938048
0.8692245,0.4316727,0.7475138,1.0476264,0.35979858,0.5752306,0.37046406,0.75553596,0.32848603,0.50791126,0.8917564,0.52947587,0.5525209,0.25725523,0.3571035,0.21616945,0.3282306,0.44982374,0.5649256,0.32253557,0.28978953,0.5613247,0.6957357,0.31440935,0.27853543,0.5781721,0.48416743,0.8202,0.4893908,0.28278235,0.23720676,0.28643942,0.27984244,0.9424518
0.84832066,0.3906654,0.7190031,1.0214987,0.3051395,0.5455524,0.33288506,0.7126723,0.28386596,0.4726166,0.8430126,0.50317425,0.52201307,0.2139353,0.30086842,0.17303383,0.2815984,0.40621176,0.5164499,0.277903,0.24297823,0.51896584,0.64264065,0.27005613,0.23657152,0.54440093,0.4335532,0.7745919,0.44865707,0.22546868,0.1965429,0.24184369,0.22778493,0.9089785
0.8256475,0.35839128,0.6785692,0.9847209,0.26487288,0.51111376,0.2976683,0.70890945,0.24127275,0.44197345,0.7995881,0.47942385,0.49953657,0.18021905,0.24549231,0.14414154,0.2434672,0.3663804,0.4674567,0.24281555,0.2150075,0.50211686,0.6118096,0.23233202,0.20310934,0.5064901,0.40563872,0.75216836,0.40816256,0.18451537,0.16210335,0.20109932,0.1989604,0.8617087
0.7957206,0.31572083,0.65985113,0.9515095,0.2298654,0.4942006,0.27208638,0.66666305,0.21295793,0.40779552,0.77171934,0.46692356,0.4786631,0.14593305,0.19642663,0.1167477,0.2087046,0.334882,0.4225408,0.2079571,0.18769577,0.46268937,0.5793082,0.19482927,0.17833883,0.4707567,0.36785632,0.72048503,0.3840023,0.15189968,0.13271756,0.17381643,0.17953798,0.8200493
0.7776274,0.29075912,0.6214943,0.9167817,0.20340735,0.47206065,0.25024933,0.62869316,0.18489215,0.3938035,0.71962947,0.44718716,0.47376028,0.12233343,0.15577045,0.0950645,0.18659648,0.297646,0.38311002,0.18075976,0.16213329,0.42605275,0.5433889,0.16337985,0.15599217,0.45487463,0.34067154,0.68888456,0.3522755,0.12072194,0.107973196,0.148272,0.15440963,0.7940208
