wind_generation_mw,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,rmccp,rmpcp,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,system_energy_price_da,system_energy_price_rt,marginal_loss_price_rt,net_inadv_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
0.0,0.6509765,0.86992025,1.0,0.7610329,0.4268736,0.97842115,0.58608687,0.62835664,0.65659547,0.0,0.18352263,0.5331554,0.24325168,0.07893102,0.0,0.9727257,0.24069932,0.71881306,0.39530328,0.0,0.0,0.0,0.0,0.00548707,0.0,0.0,0.0,0.0,0.0,0.1873589,0.0,0.0,0.0,0.0,0.041949295,0.0,0.6314556,0.20944485,0.27728632,0.0,0.0,0.14179306
0.0,0.6458721,0.9022134,1.0,0.790808,0.4066704,1.0,0.6015528,0.62663317,0.65871483,0.0,0.14347139,0.51800346,0.20229691,0.011818893,0.0,1.0,0.18996008,0.7252925,0.3463572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12606163,0.0,0.0,0.0,0.0,0.0,0.0,0.6590095,0.16924413,0.25152,0.0,0.0,0.06645911
0.0,0.64765257,0.9329274,1.0,0.8095142,0.3946745,1.0,0.61228853,0.6382707,0.674921,0.0,0.11292415,0.504232,0.15338376,0.0,0.0,1.0,0.13178533,0.73601997,0.29919943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059242796,0.0,0.0,0.0,0.0,0.0,0.0,0.6788533,0.114076845,0.22658549,0.0,0.0,0.0
0.0,0.664798,0.96135855,1.0,0.8477112,0.39111245,1.0,0.61553353,0.62455857,0.68323106,0.0,0.08819236,0.48389885,0.08470102,0.0,0.0,1.0,0.070521876,0.7508151,0.25087476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6957166,0.064399056,0.18953438,0.0,0.0,0.0
0.0,0.6691802,0.9814234,1.0,0.8646055,0.36792997,1.0,0.61387396,0.616779,0.6961449,0.0,0.044962045,0.46004608,0.014027097,0.0,0.0,1.0,0.0028805346,0.75270736,0.19836567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.723859,0.0038592722,0.15315884,0.0,0.0,0.0
0.0,0.68850696,1.0,1.0,0.8975885,0.34357345,1.0,0.6184524,0.6038048,0.7072984,0.0,0.0033211557,0.43037322,0.0,0.0,0.0,1.0,0.0,0.75351673,0.13003214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7462518,0.0,0.11195801,0.0,0.0,0.0
0.0,0.69822097,1.0,1.0,0.9228329,0.30996332,1.0,0.6136581,0.5806727,0.71289897,0.0,0.0,0.39583448,0.0,0.0,0.0,1.0,0.0,0.756401,0.05148776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76231146,0.0,0.07819869,0.0,0.0,0.0
0.0,0.71477497,1.0,1.0,0.94427973,0.270523,1.0,0.6101517,0.56610817,0.7228405,0.0,0.0,0.35494852,0.0,0.0,0.0,1.0,0.0,0.7545549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8026633,0.0,0.0302205,0.0,0.0,0.0
0.0,0.72682035,1.0,1.0,0.96005183,0.22737649,1.0,0.613673,0.5380563,0.7199769,0.0,0.0,0.30967692,0.0,0.0,0.0,1.0,0.0,0.7512448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84517497,0.0,0.0,0.0,0.0,0.0
0.0,0.74624974,1.0,1.0,0.98142594,0.18372147,1.0,0.6101287,0.49872476,0.7363427,0.0,0.0,0.258154,0.0,0.0,0.0,1.0,0.0,0.7503251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8921049,0.0,0.0,0.0,0.0,0.0
0.0,0.7507838,1.0,1.0,1.0,0.13605362,1.0,0.60261476,0.46044132,0.73832023,0.0,0.0,0.20028833,0.0,0.0,0.0,1.0,0.0,0.74868464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94042265,0.0,0.0,0.0,0.0,0.0
0.0,0.74741244,1.0,1.0,1.0,0.07533197,1.0,0.5954166,0.40462008,0.7376963,0.0,0.0,0.13722153,0.0,0.0,0.0,1.0,0.0,0.74401176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9681782,0.0,0.0,0.0,0.0,0.0
0.0,0.74438417,1.0,1.0,1.0,0.02041204,1.0,0.5897195,0.34861544,0.7406376,0.0,0.0,0.06770487,0.0,0.0,0.0,1.0,0.0,0.7381296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9958382,0.0,0.0,0.0,0.0,0.0
0.0,0.73266757,1.0,1.0,1.0,0.0,1.0,0.57691854,0.26754692,0.73167443,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7290462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.728663,1.0,1.0,1.0,0.0,1.0,0.5630169,0.16937485,0.73433614,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.718823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.7224498,1.0,1.0,1.0,0.0,1.0,0.5455251,0.056012,0.7290422,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.70318484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.7112862,1.0,1.0,1.0,0.0,1.0,0.5196928,0.0,0.71545833,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.68538266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.69338727,1.0,1.0,1.0,0.0,1.0,0.49031588,0.0,0.6995435,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6666188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.6747728,1.0,1.0,1.0,0.0,1.0,0.45773986,0.0,0.69020605,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.64436543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.6583448,1.0,1.0,1.0,0.0,1.0,0.41596997,0.0,0.6732554,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.61701614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.62924427,1.0,1.0,1.0,0.0,1.0,0.36971882,0.0,0.64999676,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5855152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.6010344,1.0,1.0,1.0,0.0,1.0,0.3186087,0.0,0.6200142,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5461147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.5663918,1.0,1.0,1.0,0.0,1.0,0.2650043,0.0,0.59867895,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.50044924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.51711196,1.0,1.0,1.0,0.0,1.0,0.20150483,0.0,0.5703686,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.44698554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.46748778,1.0,1.0,1.0,0.0,1.0,0.12643613,0.0,0.53758085,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3842357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.40388483,1.0,1.0,1.0,0.0,1.0,0.04973739,0.0,0.49454114,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3070947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.33566767,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.4448037,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.21352346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.2636735,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.39470658,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.10985839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.18263632,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.33534172,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0018275518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0931802,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.2672466,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.19223437,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
