lambda,n_selected,val_loss
0.0,22,0.03966708481311798
3.2768,22,0.06751485168933868
3.3423360000000004,22,0.11185852438211441
3.4091827200000004,22,0.12164599448442459
3.4773663744000003,22,0.0958726555109024
3.546913701888,22,0.07969670742750168
3.61785197592576,22,0.07419776171445847
3.6902090154442755,22,0.06968122720718384
3.764013195753161,22,0.06584954261779785
3.8392934596682244,22,0.06252149492502213
3.916079328861589,22,0.05958360433578491
3.994400915438821,22,0.056976869702339394
4.074288933747598,22,0.05462927743792512
4.1557747124225495,22,0.052510228008031845
4.238890206671001,22,0.05059339851140976
4.323668010804421,22,0.04884493350982666
4.41014137102051,22,0.04723761975765228
4.49834419844092,22,0.04575328156352043
4.588311082409739,22,0.04438281059265137
4.680077304057933,22,0.043122388422489166
4.773678850139092,22,0.04194984585046768
4.869152427141874,22,0.0408589206635952
4.9665354756847115,22,0.039842844009399414
5.065866185198406,22,0.03888794779777527
5.167183508902374,22,0.037991806864738464
5.270527179080422,22,0.03714921325445175
5.37593772266203,22,0.03635767474770546
5.483456477115271,22,0.035610318183898926
5.593125606657576,22,0.03490670397877693
5.704988118790728,22,0.03424124792218208
5.819087881166542,22,0.03360559791326523
5.935469638789873,22,0.03300301358103752
6.0541790315656705,22,0.03243079036474228
6.175262612196984,22,0.03188721090555191
6.298767864440924,22,0.03137113153934479
6.424743221729742,22,0.030895426869392395
6.553238086164337,22,0.03044387884438038
6.684302847887624,22,0.030013442039489746
6.817988904845376,22,0.02960241585969925
6.954348682942284,22,0.02921341173350811
7.093435656601129,22,0.028845371678471565
7.235304369733152,22,0.02848946861922741
7.380010457127815,22,0.028148964047431946
7.5276106662703715,22,0.02782447077333927
7.678162879595779,22,0.02751297876238823
7.831726137187695,22,0.027213947847485542
7.988360659931449,22,0.026930496096611023
8.148127873130079,22,0.026659874245524406
8.311090430592682,22,0.026400737464427948
8.477312239204535,22,0.026154231280088425
8.646858483988625,22,0.025920026004314423
8.819795653668399,22,0.02569468319416046
8.996191566741766,22,0.025478648021817207
9.176115398076602,22,0.02527136728167534
9.359637706038134,22,0.025068677961826324
9.546830460158898,22,0.024870185181498528
9.737767069362075,22,0.024676719680428505
9.932522410749316,22,0.0244874469935894
10.131172858964302,22,0.02430236712098166
10.333796316143587,22,0.02412254735827446
10.540472242466459,22,0.023946907371282578
10.751281687315789,22,0.023775389418005943
10.966307321062105,22,0.023609617725014687
11.185633467483347,22,0.023451145738363266
11.409346136833014,22,0.02330036275088787
11.637533059569675,22,0.023157617077231407
11.87028372076107,22,0.023018287494778633
12.10768939517629,22,0.022881029173731804
12.349843183079816,22,0.022748135030269623
12.596840046741413,22,0.022618252784013748
12.848776847676241,22,0.02248966135084629
13.105752384629767,22,0.022365327924489975
13.367867432322363,22,0.02224802039563656
13.63522478096881,22,0.02213347516953945
13.907929276588186,22,0.02201881632208824
14.186087862119951,22,0.021906733512878418
14.46980961936235,22,0.02179541625082493
14.759205811749597,22,0.0216872189193964
15.05438992798459,22,0.02158324420452118
15.355477726544281,22,0.021483924239873886
15.662587281075167,22,0.021388089284300804
15.97583902669667,22,0.02129521779716015
16.295355807230603,22,0.02120083197951317
16.621262923375216,22,0.021108174696564674
16.953688181842722,22,0.02101542428135872
17.292761945479576,22,0.020925454795360565
17.63861718438917,22,0.020840175449848175
17.99138952807695,22,0.020757919177412987
18.35121731863849,22,0.02067805826663971
18.71824166501126,22,0.02060045301914215
19.092606498311486,22,0.02052251622080803
19.474458628277716,22,0.02044474519789219
19.86394780084327,22,0.020366929471492767
20.261226756860136,22,0.020289836451411247
20.66645129199734,22,0.020216602832078934
21.079780317837287,22,0.02014758065342903
21.501375924194033,22,0.020079443231225014
21.931403442677915,22,0.02001611888408661
22.370031511531472,22,0.019953830167651176
22.8174321417621,22,0.019889624789357185
23.273780784597342,22,0.019822927191853523
23.73925640028929,22,0.019758250564336777
24.214041528295073,22,0.01969764195382595
24.698322358860974,22,0.019639786332845688
25.192288806038192,22,0.01958225667476654
25.696134582158958,22,0.019525399431586266
26.21005727380214,22,0.019475528970360756
26.73425841927818,22,0.019429435953497887
27.268943587663745,22,0.019383136183023453
27.81432245941702,22,0.019338855519890785
28.370608908605362,22,0.01929791271686554
28.93802108677747,22,0.019258039072155952
29.51678150851302,22,0.0192192941904068
30.107117138683282,22,0.019180314615368843
30.70925948145695,22,0.019132638350129128
31.32344467108609,22,0.019086243584752083
31.949913564507813,22,0.0190399419516325
32.58891183579797,22,0.01899600215256214
33.240690072513935,22,0.01895453967154026
33.905503873964214,22,0.018916385248303413
34.583613951443496,22,0.018877865746617317
35.27528623047237,22,0.018843363970518112
35.98079195508181,22,0.018782304599881172
36.70040779418345,22,0.018725743517279625
37.43441595006712,22,0.01868254877626896
