rank_by_gate_abs,feature_index,feature,final_gate,final_gate_abs,best_epoch_gate,final_effective_group_l2,selected_by_active_threshold,selected_by_largest_log_gap
1,40,prelim_load_avg_hourly,0.04360037297010422,0.04360037297010422,0.050895050168037415,0.01400601863861084,True,True
2,5,gen_fuel_gas_mw,0.029341427609324455,0.029341427609324455,0.035122908651828766,0.008599215187132359,True,True
3,32,gen_fuel_coal_mw,0.019311897456645966,0.019311897456645966,0.022528959438204765,0.005042530130594969,True,True
4,51,gen_fuel_solar_mw,0.014126144349575043,0.014126144349575043,0.01623545214533806,0.003550211200490594,True,True
5,42,gen_fuel_hydro_mw,0.010334628634154797,0.010334628634154797,0.01160448882728815,0.002336968667805195,True,True
6,19,gen_fuel_wind_mw,0.010084348730742931,0.010084348730742931,0.01132765132933855,0.002283114707097411,True,True
7,4,gen_fuel_nuclear_mw,0.009074131026864052,0.009074131026864052,0.010936301201581955,0.0019083769293501973,True,True
8,3,gross_sched_interchange_mw,0.00879629421979189,0.00879629421979189,0.008959322236478329,0.0019605036359280348,True,True
9,46,da_as_nsr_mw_primary_reserve,0.0046109529212117195,0.0046109529212117195,0.005464202258735895,0.0008157248958013952,True,True
10,35,gen_fuel_oil_mw,0.004210974555462599,0.004210974555462599,0.004715305753052235,0.0007074422319419682,True,True
11,23,gen_fuel_multiple_fuels_mw,0.0029619785491377115,0.0029619785491377115,0.00347525835968554,0.00043972188723273575,True,True
12,22,gen_fuel_multiple_fuels_pct,6.226638806340959e-14,6.226638806340959e-14,0.0,1.8869417486071828e-17,False,False
13,29,system_energy_price_rt,-1.806768498580232e-15,1.806768498580232e-15,-0.0,1.7169382139275162e-19,False,False
14,54,da_as_mcp_synchronized_reserve,-1.3469513692073148e-15,1.3469513692073148e-15,0.0,1.2445847384412938e-19,False,False
15,12,da_as_as_mw_synchronized_reserve,-1.7054553112756188e-16,1.7054553112756188e-16,0.0,2.71770513371724e-20,False,False
16,6,da_as_as_req_mw_thirty_minutes_reserve,-6.006358274583527e-17,6.006358274583527e-17,-0.0,3.2147435446851845e-21,False,False
17,41,gross_actual_interchange_mw,-4.4681355235856316e-17,4.4681355235856316e-17,0.0,1.2203401231549786e-20,False,False
18,53,congestion_price_rt,-2.3249765654736187e-17,2.3249765654736187e-17,-0.0,4.619109422537869e-21,False,False
19,18,total_pjm_rmccp_cr,1.0827388899818981e-17,1.0827388899818981e-17,-0.0,1.897349569011342e-21,False,False
20,7,da_as_as_req_mw_primary_reserve,-5.878945494162391e-18,5.878945494162391e-18,-0.0,1.5793389121888543e-21,False,False
21,55,congestion_price_da,5.793522965894346e-18,5.793522965894346e-18,0.0,4.645427437923176e-22,False,False
22,20,da_as_total_mw_synchronized_reserve,8.568789814830956e-19,8.568789814830956e-19,0.0,6.483745598763743e-23,False,False
23,30,rmpcp,-3.14474785244631e-19,3.14474785244631e-19,-0.0,3.743392066509216e-23,False,False
24,49,da_as_ss_mw_thirty_minutes_reserve,-2.087647994237164e-19,2.087647994237164e-19,0.0,0.0,False,False
25,28,rmccp,-6.961102902023059e-20,6.961102902023059e-20,0.0,0.0,False,False
26,47,total_pjm_self_sched_reg,4.337170888421565e-21,4.337170888421565e-21,0.0,0.0,False,False
27,14,gen_fuel_other_renewables_mw,3.65097125593341e-21,3.65097125593341e-21,-0.0,0.0,False,False
