metric,cutoff,dropped_count,retained_count
final_gate_abs,1e-08,44,11
final_effective_group_l2,1e-08,44,11
final_gate_abs,1e-06,44,11
final_effective_group_l2,1e-06,44,11
final_gate_abs,0.0001,44,11
final_effective_group_l2,0.0001,44,11
final_gate_abs,0.001,44,11
final_effective_group_l2,0.001,47,8
final_gate_abs,0.01,49,6
final_effective_group_l2,0.01,54,1
final_gate_abs,0.05,55,0
final_effective_group_l2,0.05,55,0
