epoch,active_gt_0.1,active_gt_0.01,active_gt_0.001,active_gt_0.0001
0,55,55,55,55
1,55,55,55,55
2,55,55,55,55
3,54,55,55,55
4,10,55,55,55
5,3,55,55,55
6,1,55,55,55
7,1,35,55,55
8,1,16,55,55
9,1,13,55,55
10,1,12,43,55
11,1,10,30,55
12,1,10,19,52
13,0,9,16,38
14,0,9,14,27
15,0,9,14,20
16,0,9,15,17
17,0,9,15,16
18,0,9,15,15
19,0,9,14,15
20,0,9,14,15
21,0,9,14,15
22,0,8,14,14
23,0,8,13,14
24,0,8,13,14
25,0,8,13,14
26,0,8,13,14
27,0,8,13,14
28,0,8,13,14
29,0,7,13,14
30,0,5,13,14
31,0,5,13,14
32,0,5,13,14
33,0,5,13,13
34,0,5,13,13
35,0,5,13,13
36,0,5,12,13
37,0,5,12,13
38,0,4,12,13
39,0,4,12,13
40,0,4,12,13
41,0,4,12,13
42,0,4,12,13
43,0,4,12,13
44,0,4,12,12
45,0,4,12,12
46,0,4,12,12
47,0,4,12,12
48,0,4,12,12
49,0,4,12,12
50,0,3,12,12
51,0,4,12,12
52,0,3,12,12
53,0,3,12,12
54,0,3,12,12
55,0,3,12,12
56,0,3,12,12
57,0,3,12,12
58,0,3,12,12
59,0,3,12,12
60,0,3,12,12
61,0,3,12,12
62,0,3,11,12
63,0,3,10,12
64,0,3,10,12
65,0,3,10,12
66,0,3,10,12
67,0,3,10,12
68,0,3,10,12
69,0,3,10,12
70,0,3,10,12
71,0,3,10,12
72,0,3,10,12
73,0,3,10,12
74,0,3,10,12
75,0,3,10,11
76,0,3,10,11
77,0,3,10,11
78,0,3,10,11
79,0,3,10,11
80,0,2,10,11
81,0,2,10,11
82,0,2,10,11
83,0,2,10,11
84,0,2,10,11
85,0,2,10,11
86,0,2,10,11
87,0,2,10,11
88,0,2,10,11
89,0,2,10,11
90,0,2,10,11
91,0,2,10,11
92,0,2,10,11
93,0,2,10,11
94,0,2,10,11
95,0,2,10,11
96,0,2,10,11
97,0,2,10,11
98,0,2,10,11
99,0,2,9,11
100,0,2,10,11
101,0,2,10,11
102,0,2,10,11
103,0,2,10,11
104,0,2,10,11
105,0,2,10,11
106,0,2,10,11
107,0,2,10,11
108,0,2,10,11
109,0,2,9,11
110,0,2,9,11
111,0,2,9,11
112,0,2,9,11
113,0,2,10,11
114,0,2,9,11
115,0,2,9,11
116,0,2,10,11
117,0,2,9,11
118,0,2,9,11
119,0,2,8,11
120,0,2,9,11
121,0,2,8,11
122,0,2,9,11
123,0,2,9,11
124,0,2,9,11
125,0,2,9,11
126,0,2,9,11
127,0,2,9,11
128,0,2,9,11
129,0,2,8,11
130,0,2,9,11
131,0,2,8,11
132,0,2,8,11
133,0,2,8,11
134,0,2,8,11
135,0,2,8,11
136,0,2,8,11
137,0,2,9,11
138,0,2,9,11
139,0,2,8,11
140,0,2,9,11
141,0,2,8,11
142,0,2,8,11
143,0,2,8,11
144,0,2,8,11
145,0,2,9,11
146,0,2,8,11
147,0,2,8,11
148,0,2,8,11
149,0,2,9,11
150,0,2,8,11
151,0,2,8,11
152,0,2,8,11
153,0,2,9,11
154,0,2,9,11
155,0,2,8,11
156,0,2,8,11
157,0,1,8,11
158,0,1,8,11
159,0,1,8,11
160,0,1,8,11
161,0,1,8,11
162,0,1,8,11
163,0,1,8,11
164,0,1,9,11
165,0,1,8,11
166,0,1,8,11
167,0,1,8,11
168,0,1,8,11
169,0,1,8,11
170,0,1,8,11
171,0,1,8,11
172,0,1,8,11
173,0,1,8,11
174,0,1,9,11
175,0,1,8,11
176,0,1,8,11
177,0,1,8,11
178,0,1,8,11
179,0,1,8,11
180,0,1,8,11
181,0,1,8,11
182,0,1,8,11
183,0,1,8,11
184,0,1,8,11
185,0,1,8,11
186,0,1,8,11
187,0,1,8,11
188,0,1,8,11
189,0,1,8,11
190,0,1,8,11
191,0,1,8,11
192,0,1,8,11
193,0,1,8,11
194,0,1,8,11
195,0,1,8,11
196,0,1,8,11
197,0,1,8,11
198,0,1,8,11
199,0,1,8,11
200,0,1,8,11
