wind_generation_mw,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_ss_mw_primary_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,system_energy_price_rt,total_lmp_rt,marginal_loss_price_rt,net_inadv_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.7923741,0.7946987,0.81850815,0.75421375,0.83184487,0.9092883,1.2735034,0.8903968,0.9189429,0.8325539,0.79513365,0.77236193,0.82082015,0.905677,0.9389005,0.98485595,0.97544503,1.0490868,0.7396756,0.74887854,0.7758024,0.95772535,0.69782984,0.796797,0.8571226,0.75903624,0.7913776,0.7202218,0.7470645,0.7504027,0.7662503,0.818049,0.8061654,1.0626519,0.8942734,0.8709013,0.97438943,1.0306187,0.77926093,0.81480366,0.848187,1.0264504,0.8020607,0.84964144,0.84213734,0.696192,0.78930444,0.7283556
0.67160624,0.5743604,0.7624497,0.642223,0.66725963,0.7804255,1.2731401,0.7656143,0.805637,0.67712104,0.60680044,0.659088,0.779322,0.8361304,0.8867529,0.8623141,0.9057381,0.9547171,0.56319743,0.5384912,0.5979806,0.7880544,0.48556912,0.6226841,0.7114101,0.63342947,0.64840347,0.53036696,0.5689936,0.643544,0.6607105,0.69845873,0.6405266,1.0029018,0.7457051,0.6852757,0.84641546,0.9820989,0.71429336,0.71569866,0.71421117,1.0478256,0.66240966,0.747106,0.76142263,0.4936104,0.6694762,0.54886764
0.58226264,0.43481398,0.6904218,0.5563534,0.54483587,0.6783031,1.2094622,0.65611845,0.6901757,0.5614846,0.46210557,0.564154,0.7547545,0.7973167,0.8391467,0.76315206,0.8187643,0.87324136,0.43170643,0.4087667,0.4486092,0.6583364,0.35169876,0.4760813,0.56206274,0.540471,0.50185364,0.41050145,0.42440367,0.5722799,0.5678042,0.5972807,0.51013875,0.9365884,0.62851757,0.53798133,0.7461882,0.91831136,0.64050674,0.6224629,0.6122338,1.0398774,0.50994533,0.6507612,0.6804671,0.34759158,0.565852,0.43451428
0.51996464,0.32781574,0.651939,0.49905822,0.44068256,0.5867582,1.1561496,0.55205745,0.5958113,0.47051048,0.36782283,0.4838752,0.7316081,0.7562442,0.7586082,0.6853619,0.74554753,0.80280244,0.33905795,0.31616867,0.33452815,0.5613062,0.2548767,0.3745344,0.44435397,0.4626511,0.38077402,0.3238898,0.3255583,0.50735635,0.4705835,0.50741535,0.39131415,0.8729691,0.5145231,0.41439086,0.65628964,0.8589925,0.5676936,0.5520129,0.52537054,1.0277262,0.39694726,0.5702762,0.58109134,0.24007678,0.49861526,0.34582278
0.4575874,0.25031367,0.5789134,0.44477484,0.36933598,0.5167143,1.1020701,0.47266984,0.5318332,0.40591833,0.2834943,0.41842657,0.67269814,0.71910906,0.69918925,0.614851,0.6767363,0.7311934,0.26429185,0.24281408,0.24238542,0.46728742,0.1777424,0.2909243,0.37876612,0.40137857,0.30787772,0.25387704,0.25056636,0.453581,0.39209777,0.44383425,0.30571756,0.79668987,0.43859974,0.32405502,0.5742709,0.78647834,0.51691246,0.49738577,0.45171797,0.99586475,0.30451813,0.5000812,0.5062383,0.16375357,0.4367751,0.28132698
0.40773845,0.18701059,0.54696375,0.40555212,0.29185423,0.4454026,1.0494692,0.40350348,0.4808248,0.355607,0.21007606,0.36842334,0.6445015,0.673507,0.6384256,0.56644136,0.6181569,0.6579784,0.20767047,0.18561237,0.17117226,0.39760032,0.12199153,0.22049075,0.3129233,0.34869844,0.240359,0.20608301,0.18851192,0.4158815,0.32776275,0.3787881,0.23755701,0.74251616,0.37911978,0.26293263,0.508872,0.74402714,0.4751241,0.46461108,0.3889083,0.95871544,0.22947371,0.43444434,0.42621094,0.11012891,0.3865272,0.22544192
0.35795414,0.13582517,0.4900714,0.35860723,0.23485507,0.39610407,1.0128797,0.34283704,0.43749595,0.30748823,0.16544335,0.32111767,0.5975803,0.6309593,0.58686787,0.52095973,0.5571181,0.598559,0.15552774,0.13775457,0.116447814,0.33041832,0.080261394,0.17675258,0.25576526,0.30113748,0.19413811,0.15813275,0.14823999,0.38962007,0.2610862,0.3233313,0.1766389,0.67614967,0.3236892,0.20857671,0.46114156,0.69597805,0.43012133,0.42091635,0.32788366,0.93312114,0.17378324,0.368999,0.38260317,0.072958745,0.3523594,0.18625517
0.32730284,0.09667716,0.46171513,0.33155465,0.18935858,0.34273982,0.96243757,0.29621503,0.40725204,0.27562872,0.12800285,0.29365066,0.57131946,0.59294057,0.52903223,0.47766986,0.5108877,0.5338683,0.121561244,0.09750535,0.078362286,0.27953762,0.051281158,0.13203768,0.20202798,0.26269463,0.15258576,0.12263585,0.11805042,0.35931376,0.21372482,0.27891716,0.13159853,0.61900437,0.28315312,0.16659981,0.4033847,0.651583,0.40262175,0.3976222,0.2916982,0.89883673,0.13012622,0.3263155,0.32785892,0.046254717,0.3365729,0.14935295
0.29797357,0.06415187,0.4393882,0.30947134,0.1532315,0.30011356,0.91439265,0.25657514,0.37968177,0.23402788,0.09894017,0.262984,0.5419192,0.56476116,0.48678464,0.4498441,0.4756265,0.47697532,0.09487164,0.06585149,0.050783157,0.23409171,0.03163967,0.09805554,0.1640828,0.23453905,0.12325808,0.09343596,0.09087192,0.33215436,0.16288209,0.24220368,0.095901854,0.5612378,0.2535375,0.13273473,0.362452,0.62078404,0.37838012,0.36758542,0.24603409,0.86598223,0.090740606,0.28280908,0.2931097,0.028413193,0.3101834,0.12224719
