field,中文名,score
area_1_net_export_mw,区域1净送出,0.18001818656921387
area_3_net_export_mw,区域3净送出,0.14296837151050568
area_2_net_export_mw,区域2净送出,0.1402083933353424
gen_fuel_natural_gas_mw,燃气出力,0.08460912853479385
gen_fuel_coal_mw,燃煤出力,0.05334044247865677
gen_fuel_solar_mw,光伏出力,0.053196895867586136
reserve_spin_r2_mw,区域2旋转备用,0.04664014279842377
gen_fuel_hydro_mw,水电出力,0.04153503477573395
reserve_spin_r3_mw,区域3旋转备用,0.041016288101673126
system_losses_mw,系统网损,0.03075651451945305
gen_fuel_nuclear_mw,核电出力,0.013060763478279114
reserve_reg_down_mw,调频下备用,0.00691135972738266
area_3_load_day_ahead_mw,区域3日前负荷,0.0
system_load_day_ahead_mw,系统日前负荷,0.0
area_1_load_day_ahead_mw,区域1日前负荷,0.0
system_load_actual_mw,系统实时负荷,0.0
reserve_reg_up_mw,调频上备用,0.0
reserve_spin_r1_mw,区域1旋转备用,0.0
area_3_load_actual_mw,区域3实时负荷,0.0
area_2_load_actual_mw,区域2实时负荷,0.0
area_2_load_day_ahead_mw,区域2日前负荷,0.0
area_1_load_actual_mw,区域1实时负荷,0.0
