area_1_load_actual_mw,area_2_load_actual_mw,area_3_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,area_3_load_day_ahead_mw,system_load_day_ahead_mw,system_losses_mw,area_1_net_export_mw,area_2_net_export_mw,area_3_net_export_mw,reserve_reg_up_mw,reserve_reg_down_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,reserve_spin_r3_mw,gen_fuel_coal_mw,gen_fuel_natural_gas_mw,gen_fuel_nuclear_mw,gen_fuel_hydro_mw,gen_fuel_solar_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.7205777,0.72975194,0.6940095,0.71991825,0.7104864,0.6677473,0.75479305,0.6518938,1.0750134,0.8338125,0.8814453,0.7359627,0.8871933,0.90015405,0.66535556,0.76723254,0.72696453,0.7939277,1.021178,0.8286477,0.8878889,1.0139745
0.52692646,0.55924386,0.501987,0.5498403,0.54372174,0.45341057,0.5675981,0.45067942,0.9497447,0.6245748,0.73822993,0.6743058,0.69663316,0.69564956,0.45114458,0.63572043,0.57635206,0.69202745,1.0008264,0.6455508,0.79107136,0.98866177
0.4044049,0.4263585,0.3935074,0.4189333,0.42012808,0.33022186,0.44563442,0.31176487,0.8465545,0.4686195,0.62967855,0.6217057,0.55203676,0.5636533,0.30150235,0.5428694,0.47144997,0.62940115,0.95683247,0.46938446,0.7067689,0.9398015
0.31651467,0.32735312,0.31146675,0.31865475,0.32350916,0.2518685,0.34910697,0.21035056,0.75998145,0.37134638,0.5269758,0.56374925,0.43439174,0.45369118,0.20614724,0.48309058,0.38198042,0.58130246,0.90844035,0.33666217,0.65656716,0.8993466
0.2624499,0.25942624,0.26158577,0.24754879,0.24317756,0.19840099,0.27442437,0.14060561,0.6897288,0.31035912,0.4533544,0.5322083,0.33267805,0.3693623,0.14228739,0.43851674,0.32336515,0.535523,0.84722096,0.23863994,0.6001867,0.8553182
0.2211187,0.20839426,0.22862422,0.19489612,0.18134016,0.1547425,0.21384789,0.091419354,0.6284123,0.2744258,0.39442283,0.49274382,0.2468504,0.29674914,0.09665392,0.3985635,0.2842042,0.4943385,0.8012666,0.16926639,0.56274426,0.8161325
0.19672325,0.17430083,0.1963105,0.15930173,0.13342422,0.12576447,0.16140391,0.058649573,0.5678352,0.24534863,0.33816105,0.47494173,0.18449491,0.2502596,0.06612445,0.37662017,0.2456168,0.45971814,0.7640375,0.12216579,0.5108769,0.77268577
0.174752,0.14577252,0.1736376,0.13120075,0.096127756,0.100457266,0.12275986,0.03617857,0.5131361,0.2300411,0.3005059,0.44411233,0.13502698,0.20824075,0.04366586,0.3523342,0.22063501,0.4315312,0.7278311,0.086736366,0.48035774,0.7409949
0.16042064,0.12220187,0.15496644,0.10829006,0.06793093,0.079581365,0.09090322,0.021424362,0.46709225,0.21789244,0.26916498,0.41559812,0.09769668,0.1732795,0.028106725,0.3344213,0.200952,0.40885937,0.6920473,0.06499026,0.44713274,0.7085157
0.15094009,0.103383906,0.13993818,0.09062251,0.04810346,0.06268332,0.06573494,0.012080865,0.4195397,0.21174864,0.24435073,0.40027,0.07203692,0.14730625,0.017727766,0.317641,0.18316087,0.38788846,0.66422945,0.052817035,0.41923693,0.6725304
0.14432427,0.08788588,0.12965032,0.07653656,0.032752667,0.049310632,0.046332594,0.006474671,0.3787066,0.20624876,0.22148101,0.3786235,0.051171795,0.12752177,0.010664805,0.3073641,0.17231795,0.36491048,0.6284424,0.043909084,0.38883522,0.65298265
0.13849051,0.073841505,0.11884471,0.063886814,0.021848382,0.037833307,0.031423755,0.0032455183,0.34425312,0.2000379,0.20573553,0.36490685,0.03748969,0.11349563,0.0060793725,0.29615155,0.15961318,0.34507644,0.59724873,0.0373388,0.37408397,0.62915397
0.13360433,0.06171388,0.11209923,0.053561173,0.01388974,0.028597698,0.02114659,0.0015267526,0.30756375,0.20044948,0.19210172,0.3491967,0.026301779,0.098983236,0.0032686016,0.2855605,0.15332569,0.32649377,0.5747735,0.03358903,0.3487833,0.60453033
0.12939884,0.05083388,0.10347798,0.043929197,0.008520041,0.021038465,0.01329937,0.0006689236,0.27891785,0.20052886,0.18074735,0.33548605,0.018437963,0.08868913,0.0016603587,0.27476838,0.14426151,0.31146857,0.55478257,0.028891189,0.32851022,0.58109015
0.12566403,0.04183879,0.09878782,0.03618028,0.0049772547,0.015199173,0.008206464,0.00027317443,0.2524185,0.19369869,0.1812976,0.325058,0.013122208,0.085140854,0.0007925183,0.26630872,0.14146398,0.30054498,0.53545827,0.028408706,0.31240332,0.5624652
0.12202202,0.03397027,0.0893886,0.029046552,0.0027445697,0.0106934095,0.004693264,0.00010307243,0.22528636,0.18964475,0.17136201,0.31652513,0.008278432,0.07396313,0.00035290842,0.25954476,0.13173923,0.28773817,0.51749384,0.027088726,0.30064282,0.5433816
0.11859516,0.027252793,0.08476813,0.023283806,0.001430395,0.007295916,0.0025789645,3.5833516e-05,0.20766112,0.19135277,0.1723148,0.30709305,0.0051748618,0.06730894,0.00014673897,0.25316995,0.12910801,0.27469236,0.49779102,0.026341906,0.28286695,0.5249719
0.113768436,0.021283867,0.07968753,0.018018762,0.00070023444,0.0047835717,0.0013384151,1.1399856e-05,0.18829392,0.18887866,0.16870928,0.30000398,0.0029640617,0.059864227,5.65992e-05,0.24384522,0.12625957,0.26170522,0.4784029,0.02645714,0.27714875,0.50702316
0.110872686,0.016345207,0.07387401,0.013782764,0.00032365715,0.0030424623,0.0006529898,3.3037923e-06,0.16462255,0.19140579,0.16431452,0.2883295,0.0016365872,0.05640061,2.02148e-05,0.2357575,0.12183487,0.25512254,0.4639756,0.02491364,0.25804117,0.48978686
