area_1_load_actual_mw,area_2_load_actual_mw,area_3_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,area_3_load_day_ahead_mw,system_load_day_ahead_mw,system_generation_mw,system_losses_mw,reserve_reg_up_mw,reserve_reg_down_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,reserve_spin_r3_mw,gen_fuel_coal_mw,gen_fuel_natural_gas_mw,gen_fuel_nuclear_mw,gen_fuel_hydro_mw,gen_fuel_wind_mw,gen_fuel_solar_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.691334,0.800655,0.7022095,0.77570623,0.72103834,0.7535598,0.7283421,0.73279434,0.7202699,1.1036601,0.7349848,0.6897282,0.96759665,0.7650435,0.7038186,0.86976093,0.92910624,0.6768209,0.7461834,1.0660299,1.0196179
0.48701116,0.6158676,0.5486483,0.6280733,0.5932812,0.578409,0.5536131,0.5382142,0.51598835,0.95474744,0.5644937,0.4616314,0.89314735,0.63320684,0.54574805,0.90959764,0.86589146,0.44721487,0.6012389,0.95925874,0.91362804
0.35942078,0.46043417,0.43292612,0.5133531,0.5088628,0.44266135,0.4103625,0.39272335,0.3609046,0.8423855,0.42046347,0.30041662,0.82950675,0.5329273,0.4327766,0.87528294,0.79385495,0.29955027,0.477603,0.8712122,0.8326935
0.26102594,0.33402663,0.34258133,0.4186342,0.43360326,0.33797714,0.2999333,0.27808437,0.24484454,0.74589187,0.3196858,0.19072667,0.7656927,0.44771707,0.34668943,0.8162429,0.7379914,0.19419326,0.40263528,0.8017835,0.7644867
0.18905637,0.23227626,0.27298695,0.34275338,0.375242,0.25568062,0.21935831,0.19345449,0.16325495,0.65139514,0.23586567,0.1159643,0.71167976,0.37610725,0.28369096,0.7633444,0.6851108,0.12387266,0.34523913,0.74362445,0.7056723
0.13575013,0.15863337,0.22099221,0.2810325,0.32746273,0.19294289,0.15810686,0.131018,0.104548976,0.564627,0.16952439,0.067879364,0.6709389,0.31318003,0.23391056,0.71578467,0.6426922,0.07669035,0.28810707,0.6859766,0.6515929
0.094279274,0.10516393,0.17908123,0.22811362,0.28413945,0.14344858,0.11085448,0.08580677,0.06452277,0.48553708,0.11985908,0.037991546,0.6287434,0.2586063,0.19292325,0.6694372,0.6015078,0.04561119,0.24771267,0.6411731,0.606044
0.06408267,0.067945264,0.14764017,0.18290615,0.24705121,0.104868636,0.07743506,0.05373613,0.0380821,0.42048478,0.08304998,0.020087153,0.59411615,0.2116485,0.16245139,0.63114977,0.5606641,0.024936114,0.2183393,0.59510404,0.5629765
0.042154238,0.04259647,0.121551566,0.14711486,0.21524549,0.07669103,0.05241214,0.032704473,0.02153575,0.3593889,0.055508286,0.009863479,0.56400424,0.17113264,0.13768882,0.5942894,0.53068,0.012287318,0.18998441,0.55801374,0.52219355
