wind_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_multiple_fuels_pct,gen_fuel_wind_pct,rmccp,rmpcp,total_pjm_reg_purchases,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,system_energy_price_rt,total_lmp_rt,marginal_loss_price_rt,gross_sched_interchange_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.8906817,1.0864786,1.0272665,0.8825363,0.9929805,0.8166921,0.7782486,0.8117134,0.870662,0.96080744,0.987958,0.9724386,0.77476186,0.7506034,0.8019105,0.93977815,0.9285292,0.7315478,0.7787884,0.791386,0.9286206,0.9242689,0.8344103,0.9279542,0.97772133,0.9279941,0.8140855,0.9079039,0.84996694,0.8071062,0.95538247,1.2432032
0.7820646,1.0622374,1.0690564,0.8061816,0.951397,0.7101907,0.71764207,0.65096164,0.7657014,0.88182706,0.88068783,0.88258535,0.6269932,0.6062328,0.66909397,0.8422684,0.8226778,0.57528734,0.7285894,0.7191204,0.8029736,0.8151462,0.74483395,0.7694191,0.84652996,0.8940266,0.72228277,1.0084865,0.7869381,0.7336697,0.9600618,1.2195354
0.685823,1.0525762,1.063832,0.70924443,0.93571717,0.63332105,0.73692685,0.562999,0.6595388,0.8584341,0.80568933,0.82128584,0.5344138,0.47188514,0.55944395,0.7295845,0.7534058,0.4248694,0.6810525,0.64655167,0.69059694,0.7532752,0.6836981,0.6395123,0.739897,0.8406111,0.620069,1.0440668,0.71781003,0.7114486,0.9432208,1.1591443
0.6135146,1.0022465,1.03781,0.6298921,0.9015496,0.5667926,0.78789794,0.47199702,0.5529935,0.80741346,0.74476075,0.7836867,0.45738834,0.38022885,0.46239176,0.6404073,0.6864272,0.33678195,0.63493925,0.5889407,0.6061919,0.69960916,0.6428463,0.5466849,0.65400755,0.76517516,0.53294,1.0501021,0.6586944,0.68361974,0.9330099,1.119886
0.5526666,0.9772795,0.98769724,0.538137,0.8753338,0.49751812,0.79276615,0.40018803,0.48320782,0.8016494,0.70450205,0.7379395,0.4004858,0.3061114,0.36835158,0.5533933,0.62631017,0.2541338,0.5873602,0.5350609,0.5498596,0.63064164,0.5798767,0.470644,0.5798951,0.7159027,0.4533925,1.0265371,0.6111124,0.66441816,0.9133607,1.078283
0.49526823,0.9452949,0.9615933,0.4815382,0.8317248,0.4484561,0.7526361,0.33378416,0.42838627,0.77583045,0.66641134,0.7075589,0.34130824,0.25905484,0.3005701,0.48290798,0.57052195,0.18823346,0.5476497,0.5004275,0.48923782,0.5894214,0.5348687,0.40100688,0.5264784,0.6647274,0.394874,0.98563915,0.5581488,0.63457954,0.8817871,1.0439093
0.46324435,0.91243804,0.93147194,0.43728957,0.8141307,0.40497515,0.73859465,0.28407645,0.38041836,0.7649326,0.6216118,0.6804028,0.29965955,0.21601167,0.24241696,0.42844135,0.52300024,0.13830835,0.51223224,0.4610216,0.43582267,0.5492461,0.50408477,0.33650896,0.4733731,0.6084637,0.34544647,0.9422017,0.5011114,0.6093276,0.8542718,1.0035731
0.4224223,0.88459486,0.88830256,0.39356637,0.77470964,0.35627338,0.71494824,0.2409845,0.34573224,0.7485259,0.5984592,0.6488246,0.25914997,0.16610491,0.1925569,0.37903184,0.47494662,0.09997425,0.47648907,0.4203772,0.39462748,0.5039671,0.4667356,0.28849772,0.43221343,0.5692289,0.3006533,0.9057622,0.4787504,0.5875905,0.82948875,0.96685475
0.3951803,0.848213,0.85917884,0.3474741,0.73644173,0.3206187,0.6843567,0.20562705,0.32627848,0.7239747,0.56869334,0.6237071,0.22365004,0.12918673,0.15224555,0.33377212,0.43072584,0.07016295,0.4389258,0.397551,0.36392057,0.47125682,0.44066527,0.24919786,0.3916564,0.5188833,0.26306388,0.86375165,0.44079667,0.569964,0.8030225,0.92632735
