目标,口径,候选数,门控判零数,独立能力最高,被判零字段的最高独立能力,独立能力≥0.3的字段数,独立能力≥0.3且被判零,占比≥0.3,独立能力≥0.5的字段数,独立能力≥0.5且被判零,占比≥0.5,独立能力≥0.7的字段数,独立能力≥0.7且被判零,占比≥0.7
115号母线电压相角,未剥离,46,39,0.6003318437682106,0.5666722952315311,10,7,0.7,3,2,0.6666666666666666,0,0,0.0
115号母线电压相角,已剥离,46,39,0.6003318437682106,0.5666722952315311,10,7,0.7,3,2,0.6666666666666666,0,0,0.0
215号母线电压相角,未剥离,46,37,0.6548229905676131,0.43228206457483476,5,3,0.6,1,0,0.0,0,0,0.0
215号母线电压相角,已剥离,46,37,0.6548229905676131,0.43228206457483476,5,3,0.6,1,0,0.0,0,0,0.0
315号母线电压相角,未剥离,46,39,0.6927381367984475,0.6927381367984475,8,6,0.75,4,3,0.75,0,0,0.0
315号母线电压相角,已剥离,46,39,0.6927381367984475,0.6927381367984475,8,6,0.75,4,3,0.75,0,0,0.0
AB1联络线负载率,未剥离,46,36,0.46726869699471374,0.10681318343651736,1,0,0.0,0,0,0.0,0,0,0.0
AB1联络线负载率,已剥离,43,36,0.46726869699471374,0.2328150484434287,1,0,0.0,0,0,0.0,0,0,0.0
AB2联络线负载率,未剥离,46,35,0.7159192346836223,0.4757917334634888,5,3,0.6,1,0,0.0,1,0,0.0
AB2联络线负载率,已剥离,43,32,0.7159192346836223,0.43793730208526715,4,1,0.25,1,0,0.0,1,0,0.0
AB3联络线负载率,未剥离,46,36,0.2868619203898478,0.2868619203898478,0,0,0.0,0,0,0.0,0,0,0.0
AB3联络线负载率,已剥离,43,34,0.2868619203898478,0.17816727805324406,0,0,0.0,0,0,0.0,0,0,0.0
CA1联络线负载率,未剥离,46,34,0.5833905461646949,0.5712347916155553,9,5,0.5555555555555556,3,1,0.3333333333333333,0,0,0.0
CA1联络线负载率,已剥离,43,32,0.5833905461646949,0.5833905461646949,8,4,0.5,3,1,0.3333333333333333,0,0,0.0
CB1联络线负载率,未剥离,46,34,0.5944004180075476,0.5944004180075476,6,2,0.3333333333333333,3,1,0.3333333333333333,0,0,0.0
CB1联络线负载率,已剥离,43,31,0.5944004180075476,0.5944004180075476,4,1,0.25,3,1,0.3333333333333333,0,0,0.0
121号核电机组出力,未剥离,46,45,0.9999997845027145,0.9999997845027145,5,4,0.8,3,2,0.6666666666666666,2,1,0.5
121号核电机组出力,已剥离,28,24,0.42913920420178964,0.17976868860894646,1,0,0.0,0,0,0.0,0,0,0.0
218号联合循环机组出力,未剥离,46,45,0.9999997393514769,0.733479196527709,3,2,0.6666666666666666,3,2,0.6666666666666666,2,1,0.5
218号联合循环机组出力,已剥离,42,38,0.733479196527709,0.29710129822657905,1,0,0.0,1,0,0.0,1,0,0.0
317号风电机组出力,未剥离,46,37,0.8518420424679938,0.8518420424679938,8,4,0.5,4,1,0.25,2,1,0.5
317号风电机组出力,已剥离,42,31,0.6813486514611293,0.4154413502532084,6,3,0.5,2,0,0.0,0,0,0.0
321号联合循环机组启停状态,未剥离,46,45,0.9999996367842288,0.8750663369480242,7,6,0.8571428571428571,3,2,0.6666666666666666,3,2,0.6666666666666666
321号联合循环机组启停状态,已剥离,42,38,0.8750663369480242,0.4395333973028841,5,3,0.6,1,0,0.0,1,0,0.0
