目标,口径,字段,独立能力,分解式门控,门控判零
115号母线电压相角,未剥离,area_1_load_actual_mw,-0.0662420365504941,0.013316706754267216,False
115号母线电压相角,未剥离,area_2_load_actual_mw,-0.05839398097553805,0.0,True
115号母线电压相角,未剥离,area_3_load_actual_mw,-0.04781809559582895,0.0,True
115号母线电压相角,未剥离,system_load_actual_mw,-0.08330209223720675,0.0,True
115号母线电压相角,未剥离,area_1_load_day_ahead_mw,-0.06627180343383765,0.0,True
115号母线电压相角,未剥离,area_2_load_day_ahead_mw,-0.05844868047951857,0.0,True
115号母线电压相角,未剥离,area_3_load_day_ahead_mw,-0.047631487227083324,0.0,True
115号母线电压相角,未剥离,system_load_day_ahead_mw,-0.08351715342963306,0.0,True
115号母线电压相角,未剥离,system_generation_mw,-0.0845783155282247,0.0,True
115号母线电压相角,未剥离,system_losses_mw,0.5666722952315311,0.0,True
115号母线电压相角,未剥离,area_1_net_export_mw,0.34645568257033355,0.0066780271008610725,True
115号母线电压相角,未剥离,area_2_net_export_mw,0.47437130255227733,0.0,True
115号母线电压相角,未剥离,area_3_net_export_mw,0.16216724063585308,0.0,True
115号母线电压相角,未剥离,reserve_reg_up_mw,0.1479370760609532,0.0,True
115号母线电压相角,未剥离,reserve_reg_down_mw,0.14856143271024613,0.0,True
115号母线电压相角,未剥离,reserve_spin_r1_mw,-0.06629096973499937,0.0,True
115号母线电压相角,未剥离,reserve_spin_r2_mw,-0.0584417667097874,0.0,True
115号母线电压相角,未剥离,reserve_spin_r3_mw,-0.04791051520071332,0.0,True
115号母线电压相角,未剥离,gen_fuel_coal_mw,0.37381466554718445,0.0,True
115号母线电压相角,未剥离,gen_fuel_natural_gas_mw,0.09435540205581905,0.0,True
115号母线电压相角,未剥离,gen_fuel_nuclear_mw,0.3563197355996175,0.0,True
115号母线电压相角,未剥离,gen_fuel_hydro_mw,-0.07744635004404765,0.0,True
115号母线电压相角,未剥离,gen_fuel_wind_mw,0.5614051027629227,0.0,True
115号母线电压相角,未剥离,gen_fuel_solar_mw,-0.028014576721240747,0.0,True
115号母线电压相角,未剥离,area_1_fuel_coal_mw,0.49876196860030486,0.0700983926653862,False
115号母线电压相角,未剥离,area_1_fuel_natural_gas_mw,-0.02725663344049334,0.021169517189264297,False
115号母线电压相角,未剥离,area_1_fuel_nuclear_mw,0.3563197355996175,0.022246770560741425,False
115号母线电压相角,未剥离,area_1_fuel_hydro_mw,-0.0810992560854138,0.019393905997276306,False
115号母线电压相角,未剥离,area_1_fuel_wind_mw,0.6003318437682106,0.046803928911685944,False
115号母线电压相角,未剥离,area_1_fuel_solar_mw,-0.013442138030639539,0.0,True
115号母线电压相角,未剥离,area_1_generation_mw,-0.06783246892949912,0.0,True
115号母线电压相角,未剥离,area_2_fuel_coal_mw,-0.03985424325919662,0.006934761069715023,True
115号母线电压相角,未剥离,area_2_fuel_natural_gas_mw,-0.03857614206227056,0.0,True
115号母线电压相角,未剥离,area_2_fuel_hydro_mw,-0.08003468713270623,0.0,True
115号母线电压相角,未剥离,area_2_fuel_solar_mw,-0.022338235871242285,0.0,True
115号母线电压相角,未剥离,area_2_generation_mw,-0.058283787593265135,0.0,True
115号母线电压相角,未剥离,area_3_fuel_coal_mw,0.13351015346579032,0.0,True
115号母线电压相角,未剥离,area_3_fuel_natural_gas_mw,0.0956803325957235,0.0,True
115号母线电压相角,未剥离,area_3_fuel_hydro_mw,-0.044932723463630975,0.0,True
115号母线电压相角,未剥离,area_3_fuel_wind_mw,0.45230852746266414,0.0,True
115号母线电压相角,未剥离,area_3_fuel_solar_mw,-0.028717233265865616,0.02044355310499668,False
115号母线电压相角,未剥离,area_3_generation_mw,-0.03847561409384226,0.0,True
115号母线电压相角,未剥离,hour_of_day,-0.024466452496140212,0.0,True
115号母线电压相角,未剥离,day_of_week,4.891409153284787e-05,0.0,True
115号母线电压相角,未剥离,month_of_year,-0.07999469962800387,0.0,True
115号母线电压相角,未剥离,is_weekend,0.0007386366287458479,0.0,True
115号母线电压相角,已剥离,area_1_load_actual_mw,-0.0662420365504941,0.013316706754267216,False
115号母线电压相角,已剥离,area_2_load_actual_mw,-0.05839398097553805,0.0,True
115号母线电压相角,已剥离,area_3_load_actual_mw,-0.04781809559582895,0.0,True
115号母线电压相角,已剥离,system_load_actual_mw,-0.08330209223720675,0.0,True
115号母线电压相角,已剥离,area_1_load_day_ahead_mw,-0.06627180343383765,0.0,True
115号母线电压相角,已剥离,area_2_load_day_ahead_mw,-0.05844868047951857,0.0,True
115号母线电压相角,已剥离,area_3_load_day_ahead_mw,-0.047631487227083324,0.0,True
115号母线电压相角,已剥离,system_load_day_ahead_mw,-0.08351715342963306,0.0,True
115号母线电压相角,已剥离,system_generation_mw,-0.0845783155282247,0.0,True
115号母线电压相角,已剥离,system_losses_mw,0.5666722952315311,0.0,True
115号母线电压相角,已剥离,area_1_net_export_mw,0.34645568257033355,0.0066780271008610725,True
115号母线电压相角,已剥离,area_2_net_export_mw,0.47437130255227733,0.0,True
115号母线电压相角,已剥离,area_3_net_export_mw,0.16216724063585308,0.0,True
115号母线电压相角,已剥离,reserve_reg_up_mw,0.1479370760609532,0.0,True
115号母线电压相角,已剥离,reserve_reg_down_mw,0.14856143271024613,0.0,True
115号母线电压相角,已剥离,reserve_spin_r1_mw,-0.06629096973499937,0.0,True
115号母线电压相角,已剥离,reserve_spin_r2_mw,-0.0584417667097874,0.0,True
115号母线电压相角,已剥离,reserve_spin_r3_mw,-0.04791051520071332,0.0,True
115号母线电压相角,已剥离,gen_fuel_coal_mw,0.37381466554718445,0.0,True
115号母线电压相角,已剥离,gen_fuel_natural_gas_mw,0.09435540205581905,0.0,True
115号母线电压相角,已剥离,gen_fuel_nuclear_mw,0.3563197355996175,0.0,True
115号母线电压相角,已剥离,gen_fuel_hydro_mw,-0.07744635004404765,0.0,True
115号母线电压相角,已剥离,gen_fuel_wind_mw,0.5614051027629227,0.0,True
115号母线电压相角,已剥离,gen_fuel_solar_mw,-0.028014576721240747,0.0,True
115号母线电压相角,已剥离,area_1_fuel_coal_mw,0.49876196860030486,0.0700983926653862,False
115号母线电压相角,已剥离,area_1_fuel_natural_gas_mw,-0.02725663344049334,0.021169517189264297,False
115号母线电压相角,已剥离,area_1_fuel_nuclear_mw,0.3563197355996175,0.022246770560741425,False
