wind_generation_mw,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,system_energy_price_rt,marginal_loss_price_rt,net_inadv_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.43442282,0.4252501,0.4068246,0.4013015,0.38524646,0.4572799,0.42111218,0.47421524,0.38699576,0.4355177,0.46728364,0.4041319,0.41319278,0.37419313,0.4108607,0.49187154,0.416191,0.47049803,0.46133894,0.38681453,0.37779066,0.4417133,0.44894916,0.51042306,0.39153558,0.40234104,0.432873,0.3797453,0.38337344,0.38566574,0.49916255,0.40378016,0.4091964,0.43134907,0.38818774,0.38913697,0.40682578,0.41668206,0.39736518,0.47097397,0.3856426,0.377635,0.5606272,0.56244725,0.5594808,0.3918548,0.39750707,0.41072738
0.43802226,0.42604277,0.35571012,0.34804177,0.3099233,0.43856537,0.40551466,0.45370486,0.30408296,0.3878261,0.46524388,0.36817044,0.35183975,0.29168117,0.3643052,0.4983598,0.3876753,0.45360017,0.42423263,0.3460544,0.288516,0.40676084,0.4127427,0.5156093,0.3175719,0.33306253,0.38613722,0.31753528,0.2902617,0.32303768,0.4815877,0.3809958,0.366795,0.4121878,0.31657353,0.3100762,0.33449614,0.36132944,0.30317754,0.4412188,0.2935663,0.30482352,0.5644887,0.6253771,0.59135485,0.34537086,0.35966,0.384993
0.4333748,0.41127065,0.31989026,0.30373675,0.25203782,0.45913672,0.42882818,0.44335023,0.23429526,0.35849902,0.4725872,0.34127888,0.32355842,0.28672504,0.32323128,0.509359,0.37721175,0.4634831,0.4002955,0.3445782,0.2190809,0.3763547,0.40152475,0.51244426,0.26175192,0.28773826,0.35235247,0.26270667,0.2170478,0.26485696,0.46430093,0.36421388,0.35164067,0.423932,0.26947933,0.23318529,0.29116103,0.32302308,0.24164999,0.43348175,0.23428413,0.25733206,0.57038015,0.7026785,0.6207253,0.3065964,0.3292056,0.3479781
0.42965272,0.40514442,0.31109536,0.2782921,0.19041038,0.43893164,0.45959288,0.4398288,0.19822405,0.32050464,0.4655326,0.34072077,0.3322357,0.2835307,0.2705339,0.51904655,0.346867,0.43565226,0.37410063,0.3302348,0.15424709,0.35773498,0.37235382,0.51449716,0.22527152,0.24554701,0.34008017,0.18241662,0.13741432,0.22242373,0.46625972,0.33219713,0.37342465,0.42908472,0.21846943,0.16647953,0.26005504,0.2844032,0.16838887,0.4117866,0.21760719,0.20242824,0.55516213,0.73189193,0.63875127,0.28706592,0.3073764,0.32627955
0.42313772,0.41935837,0.27736205,0.24721314,0.15204887,0.447935,0.4570536,0.4380891,0.17104746,0.30957815,0.46848616,0.31036302,0.34025735,0.2904604,0.24905369,0.5410635,0.3478328,0.4405482,0.3554416,0.35448065,0.12363365,0.32250878,0.35837603,0.498192,0.15025038,0.17431536,0.33741477,0.12832873,0.06952113,0.17052943,0.46239305,0.3243978,0.37512833,0.43138433,0.18251723,0.10030674,0.23517734,0.25958258,0.12148163,0.40208206,0.19865264,0.14557192,0.55474293,0.7659482,0.6592157,0.26420307,0.27615395,0.29646674
0.42601344,0.43764228,0.27209947,0.22697537,0.11044112,0.4402774,0.44406137,0.4370455,0.13470627,0.29581127,0.46365035,0.31469455,0.32551005,0.30048555,0.2049598,0.5518578,0.30984977,0.43378133,0.3183642,0.36057335,0.090526536,0.29515767,0.3392546,0.50904953,0.08103279,0.12843789,0.35160455,0.076709755,0.022745946,0.13792391,0.45804375,0.2936901,0.35637555,0.45998922,0.15065072,0.029874349,0.21770403,0.22967075,0.08188169,0.4112385,0.1684545,0.09285397,0.5606596,0.7985207,0.68612224,0.23644798,0.27298406,0.28703058
0.43060058,0.44113845,0.2436831,0.20652601,0.08161149,0.43478262,0.45845348,0.42032227,0.087412946,0.27660915,0.44365257,0.31846273,0.3339791,0.3109073,0.18988958,0.5402988,0.2708704,0.42421594,0.2934804,0.36532497,0.05867566,0.2558107,0.33197075,0.5072049,0.018603737,0.08397137,0.3616324,0.03419688,0.0,0.10734379,0.45775005,0.2868689,0.37330437,0.48276773,0.1072885,0.0,0.19169158,0.21606559,0.03877768,0.40876266,0.16463967,0.046348434,0.5630819,0.8206994,0.6974321,0.22076635,0.26098078,0.2865131
0.42582437,0.44101965,0.22903524,0.1775647,0.05953561,0.4380619,0.46545124,0.40340906,0.06437998,0.25848716,0.46128368,0.3148417,0.34325707,0.3376751,0.17313065,0.5554069,0.24828245,0.42503595,0.27720568,0.37459278,0.030561537,0.23430915,0.31561252,0.5164433,0.0,0.059937492,0.37011904,0.0,0.0,0.08018784,0.44841206,0.28023437,0.36972648,0.48895907,0.07284561,0.0,0.17986345,0.19129191,0.0,0.41802827,0.17678154,0.0,0.5719495,0.8480425,0.7076089,0.18434662,0.24885882,0.2820147
0.4264628,0.44125134,0.21648532,0.1643211,0.037732825,0.4271038,0.46493924,0.39032415,0.04732555,0.23777,0.4652644,0.30589256,0.3267254,0.34094286,0.1395763,0.5567215,0.22940034,0.4206429,0.27840272,0.37840497,0.011132605,0.23693436,0.3159018,0.5225039,0.0,0.02641395,0.38498646,0.0,0.0,0.03724526,0.44882515,0.26353776,0.34487137,0.4881351,0.048050836,0.0,0.1824087,0.1665411,0.0,0.41754037,0.15065646,0.0,0.57644993,0.885794,0.7217076,0.17335753,0.230766,0.27651852
