prelim_load_avg_hourly,gen_fuel_gas_mw,gen_fuel_oil_mw,gen_fuel_multiple_fuels_pct,da_as_mcp_primary_reserve,da_as_as_mw_primary_reserve
1.0,1.0,1.0,1.0,1.0,1.0
0.9227428,0.91407883,0.9348481,0.9128888,0.9390613,0.925979
0.91712755,0.9044702,0.9015047,0.9053515,0.93419963,0.91874677
0.91354066,0.89813554,0.88090783,0.9019034,0.9313241,0.9155966
0.911606,0.89327407,0.8630614,0.89915305,0.92810005,0.9137668
0.91028994,0.8871948,0.8516165,0.89675987,0.9250079,0.91245675
0.9083015,0.8803127,0.8409066,0.8945169,0.92172945,0.9113239
0.9066934,0.8738283,0.8301107,0.89238656,0.91540086,0.9105056
0.90511423,0.8673271,0.8194786,0.8900015,0.9113575,0.9096478
0.9025317,0.8611891,0.80269533,0.8880817,0.90690386,0.90887547
0.8996985,0.8542139,0.796377,0.8861224,0.9027473,0.9081165
0.89659643,0.8463842,0.78765386,0.88424695,0.89770156,0.90733635
0.89314425,0.8396006,0.77924365,0.88227737,0.8917713,0.9065733
0.88982046,0.8320623,0.7692963,0.88026565,0.8866929,0.9056439
0.885301,0.82435215,0.7619318,0.87843174,0.8786883,0.90487695
0.88093334,0.8152892,0.75311095,0.87611455,0.8736396,0.9040432
0.8759284,0.8050824,0.744128,0.87387705,0.8663912,0.90306616
0.8709005,0.7975258,0.73492944,0.8717435,0.86072356,0.9022201
0.86634326,0.7876092,0.7232698,0.8692866,0.8543944,0.90127575
0.86044294,0.7763478,0.7114838,0.8668432,0.8472029,0.9003154
0.85571176,0.7666015,0.7001236,0.86359155,0.8401528,0.8993056
0.84887654,0.75446534,0.6881647,0.86077553,0.83370155,0.8983037
0.8419546,0.74417776,0.67610246,0.85818744,0.8263791,0.8972798
0.83496463,0.73336494,0.663941,0.8548295,0.8183277,0.89600915
0.8285385,0.72142476,0.65240043,0.8514401,0.8096016,0.8946572
0.8203415,0.71017545,0.6366573,0.8479985,0.800968,0.8932424
0.81231046,0.69795096,0.62322813,0.84401,0.7905323,0.8919224
0.80418503,0.6847667,0.6087902,0.84014356,0.7813943,0.8904231
0.79514045,0.67186284,0.59577304,0.83628625,0.7708921,0.8890236
0.78551936,0.6598711,0.5819036,0.8315077,0.7602887,0.8875261
0.77577114,0.64599746,0.569756,0.82651097,0.7496844,0.88582796
0.7648669,0.63465613,0.55427575,0.8214764,0.7391368,0.8838699
0.7554704,0.62096447,0.5413112,0.81574446,0.7280703,0.8818409
0.74436635,0.608983,0.5257575,0.8100332,0.71690977,0.8798285
0.7330336,0.5947767,0.5108234,0.8035149,0.7044152,0.8778429
0.7210188,0.5830977,0.49796867,0.7970111,0.6927071,0.875496
0.7084164,0.5687413,0.48257387,0.7900331,0.6802551,0.87306035
0.69627804,0.5575863,0.46713123,0.78330326,0.6678431,0.87043405
0.681154,0.5407716,0.45197532,0.77586824,0.6536627,0.86756814
0.6718756,0.52747643,0.43982047,0.7687021,0.6401471,0.86463535
0.6601044,0.51714957,0.42145368,0.7603584,0.62180024,0.86135334
0.6474065,0.50270635,0.40512368,0.7518084,0.6079523,0.8583464
0.63434744,0.49327108,0.38906696,0.743087,0.5930305,0.8547977
0.6223305,0.4807063,0.37596637,0.7320051,0.5773392,0.85080177
0.6114213,0.4710363,0.36184004,0.72300184,0.5556412,0.8468941
0.60180354,0.45922816,0.3428515,0.712627,0.53926396,0.8424212
0.5884098,0.44841808,0.32584468,0.7024097,0.52187926,0.83785826
0.57892233,0.44063556,0.31519306,0.6915929,0.49444082,0.8327119
0.5693779,0.43033022,0.2982515,0.6796137,0.4720195,0.82763326
0.5583226,0.4216634,0.2848364,0.66685647,0.4519253,0.82229143
0.5477306,0.41448253,0.26772425,0.6543421,0.43290657,0.8167501
0.5380327,0.40563002,0.25575525,0.64199674,0.41463074,0.81080043
0.5305103,0.3979377,0.24360256,0.62780046,0.39371425,0.8045072
0.52011496,0.3901375,0.22876894,0.61637926,0.37404478,0.79797477
0.5137946,0.38256222,0.21614291,0.60428077,0.35251567,0.7916236
0.5043377,0.37317953,0.19811773,0.59208155,0.33279935,0.7841032
0.49557632,0.36682472,0.18687631,0.5769788,0.31204087,0.7767249
0.48858425,0.35930923,0.1731377,0.5642239,0.29332718,0.76936495
0.48109135,0.35221067,0.16193573,0.5482097,0.27420738,0.76177967
0.47440183,0.34659582,0.15410058,0.5341212,0.25455898,0.7532945
0.4679039,0.340011,0.14118613,0.51611555,0.2356544,0.7454433
