方法,说明,n,前n个字段
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.9217909393088259,gen_fuel_coal_mw|gen_fuel_natural_gas_mw|area_2_load_actual_mw|area_1_load_actual_mw|gen_fuel_wind_mw|system_losses_mw|gen_fuel_hydro_mw|reserve_spin_r3_mw|gen_fuel_solar_mw
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.9222126260456179,gen_fuel_natural_gas_mw|gen_fuel_coal_mw|gen_fuel_wind_mw|gen_fuel_solar_mw|system_losses_mw|gen_fuel_hydro_mw|area_2_load_actual_mw|area_1_load_actual_mw|reserve_reg_down_mw
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.8611182169661696,reserve_spin_r1_mw|system_losses_mw|gen_fuel_coal_mw|gen_fuel_solar_mw|gen_fuel_wind_mw|reserve_reg_up_mw|gen_fuel_nuclear_mw|gen_fuel_natural_gas_mw|reserve_reg_down_mw
XGBoost,树模型特征重要性（2016）,0.911177658599916,area_1_load_day_ahead_mw|area_1_load_actual_mw|reserve_spin_r1_mw|system_losses_mw|gen_fuel_wind_mw|gen_fuel_solar_mw|gen_fuel_natural_gas_mw|gen_fuel_coal_mw|reserve_spin_r2_mw
Lasso,线性稀疏（1996）,0.8953273911376465,area_1_load_actual_mw|system_losses_mw|gen_fuel_coal_mw|area_1_load_day_ahead_mw|gen_fuel_hydro_mw|gen_fuel_nuclear_mw|gen_fuel_natural_gas_mw|reserve_spin_r3_mw|reserve_spin_r2_mw
Pearson,相关系数排序（只看两两关系）,0.6485118864532201,area_1_load_actual_mw|reserve_spin_r1_mw|area_1_load_day_ahead_mw|system_generation_mw|reserve_spin_r2_mw|area_2_load_actual_mw|area_2_load_day_ahead_mw|system_load_day_ahead_mw|system_load_actual_mw
