目标,中文名,达标水平,预算n,先达标的方法,方法,测试R2,全量R2,候选数,选中字段
branch_ab3_loading_pct,线路AB3负载率,95%,6,DGatingDNN,DGatingDNN,0.945281274823204,0.9569884294763549,43,area_1_fuel_coal_mw|gen_fuel_natural_gas_mw|area_2_fuel_natural_gas_mw|area_1_fuel_natural_gas_mw|area_3_fuel_solar_mw|area_2_fuel_hydro_mw
branch_ab3_loading_pct,线路AB3负载率,95%,6,DGatingDNN,STG,0.9284801382734796,0.9569884294763549,43,gen_fuel_coal_mw|area_1_fuel_coal_mw|area_2_fuel_natural_gas_mw|area_3_fuel_solar_mw|gen_fuel_natural_gas_mw|area_2_fuel_hydro_mw
branch_ab3_loading_pct,线路AB3负载率,95%,6,DGatingDNN,LassoNet,0.8683434127049521,0.9569884294763549,43,system_losses_mw|area_1_fuel_coal_mw|area_3_fuel_solar_mw|area_2_fuel_solar_mw|area_2_fuel_natural_gas_mw|reserve_reg_up_mw
branch_ab3_loading_pct,线路AB3负载率,95%,6,DGatingDNN,XGBoost,0.8384323377907176,0.9569884294763549,43,area_1_fuel_coal_mw|gen_fuel_solar_mw|system_losses_mw|reserve_spin_r1_mw|area_3_fuel_solar_mw|area_1_generation_mw
branch_ab3_loading_pct,线路AB3负载率,95%,6,DGatingDNN,Lasso,0.7761156788361029,0.9569884294763549,43,area_1_generation_mw|system_losses_mw|area_2_fuel_coal_mw|area_1_load_actual_mw|area_1_fuel_hydro_mw|area_1_fuel_wind_mw
branch_ab3_loading_pct,线路AB3负载率,95%,6,DGatingDNN,Pearson,0.5698529442685061,0.9569884294763549,43,area_1_generation_mw|area_1_load_actual_mw|reserve_spin_r1_mw|area_1_load_day_ahead_mw|area_2_generation_mw|system_generation_mw
branch_ab3_loading_pct,线路AB3负载率,97%,6,DGatingDNN,DGatingDNN,0.945281274823204,0.9569884294763549,43,area_1_fuel_coal_mw|gen_fuel_natural_gas_mw|area_2_fuel_natural_gas_mw|area_1_fuel_natural_gas_mw|area_3_fuel_solar_mw|area_2_fuel_hydro_mw
branch_ab3_loading_pct,线路AB3负载率,97%,6,DGatingDNN,STG,0.9284801382734796,0.9569884294763549,43,gen_fuel_coal_mw|area_1_fuel_coal_mw|area_2_fuel_natural_gas_mw|area_3_fuel_solar_mw|gen_fuel_natural_gas_mw|area_2_fuel_hydro_mw
branch_ab3_loading_pct,线路AB3负载率,97%,6,DGatingDNN,LassoNet,0.8683434127049521,0.9569884294763549,43,system_losses_mw|area_1_fuel_coal_mw|area_3_fuel_solar_mw|area_2_fuel_solar_mw|area_2_fuel_natural_gas_mw|reserve_reg_up_mw
branch_ab3_loading_pct,线路AB3负载率,97%,6,DGatingDNN,XGBoost,0.8384323377907176,0.9569884294763549,43,area_1_fuel_coal_mw|gen_fuel_solar_mw|system_losses_mw|reserve_spin_r1_mw|area_3_fuel_solar_mw|area_1_generation_mw
branch_ab3_loading_pct,线路AB3负载率,97%,6,DGatingDNN,Lasso,0.7761156788361029,0.9569884294763549,43,area_1_generation_mw|system_losses_mw|area_2_fuel_coal_mw|area_1_load_actual_mw|area_1_fuel_hydro_mw|area_1_fuel_wind_mw
branch_ab3_loading_pct,线路AB3负载率,97%,6,DGatingDNN,Pearson,0.5698529442685061,0.9569884294763549,43,area_1_generation_mw|area_1_load_actual_mw|reserve_spin_r1_mw|area_1_load_day_ahead_mw|area_2_generation_mw|system_generation_mw
