方法,说明,n,前n个字段,target,中文名,budget,full_r2,n_pool,目标
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.9579471354187676,area_1_load_actual_mw|gen_fuel_coal_mw|system_losses_mw|area_2_net_export_mw|gen_fuel_solar_mw|area_3_net_export_mw|area_3_load_day_ahead_mw|gen_fuel_wind_mw|gen_fuel_nuclear_mw|gen_fuel_hydro_mw,bus_115_va_deg,节点115电压相角,10,0.9619991833873299,24,bus_115_va_deg
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.9550471118559974,area_1_load_actual_mw|system_losses_mw|gen_fuel_wind_mw|gen_fuel_coal_mw|gen_fuel_solar_mw|area_3_net_export_mw|gen_fuel_hydro_mw|gen_fuel_nuclear_mw|reserve_spin_r1_mw|area_2_net_export_mw,bus_115_va_deg,节点115电压相角,10,0.9619991833873299,24,bus_115_va_deg
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.947023987863639,system_losses_mw|gen_fuel_wind_mw|area_3_net_export_mw|gen_fuel_coal_mw|gen_fuel_nuclear_mw|area_3_load_day_ahead_mw|gen_fuel_natural_gas_mw|area_1_load_actual_mw|gen_fuel_solar_mw|area_1_load_day_ahead_mw,bus_115_va_deg,节点115电压相角,10,0.9619991833873299,24,bus_115_va_deg
XGBoost,树模型特征重要性（2016）,0.9482766977131045,system_losses_mw|gen_fuel_wind_mw|gen_fuel_coal_mw|gen_fuel_nuclear_mw|area_1_net_export_mw|area_3_net_export_mw|reserve_spin_r1_mw|gen_fuel_solar_mw|area_1_load_day_ahead_mw|area_1_load_actual_mw,bus_115_va_deg,节点115电压相角,10,0.9619991833873299,24,bus_115_va_deg
Lasso,线性稀疏（1996）,0.9484211060505104,system_losses_mw|gen_fuel_coal_mw|area_1_load_actual_mw|gen_fuel_natural_gas_mw|area_3_net_export_mw|gen_fuel_nuclear_mw|reserve_spin_r3_mw|gen_fuel_wind_mw|gen_fuel_hydro_mw|reserve_reg_down_mw,bus_115_va_deg,节点115电压相角,10,0.9619991833873299,24,bus_115_va_deg
Pearson,相关系数排序（只看两两关系）,0.9022213919950468,system_losses_mw|gen_fuel_wind_mw|reserve_reg_up_mw|area_2_net_export_mw|reserve_reg_down_mw|area_1_net_export_mw|system_generation_mw|system_load_actual_mw|system_load_day_ahead_mw|reserve_spin_r3_mw,bus_115_va_deg,节点115电压相角,10,0.9619991833873299,24,bus_115_va_deg
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.9769256777023149,gen_fuel_natural_gas_mw|area_1_load_day_ahead_mw|gen_fuel_coal_mw|gen_fuel_solar_mw|gen_fuel_wind_mw|system_losses_mw|area_3_net_export_mw|gen_fuel_hydro_mw,bus_215_va_deg,节点215电压相角,8,0.9883109653661862,24,bus_215_va_deg
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.9719825257652412,area_1_load_actual_mw|gen_fuel_natural_gas_mw|gen_fuel_wind_mw|system_losses_mw|gen_fuel_solar_mw|area_3_net_export_mw|reserve_spin_r1_mw|gen_fuel_hydro_mw,bus_215_va_deg,节点215电压相角,8,0.9883109653661862,24,bus_215_va_deg
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.9737122260475559,system_losses_mw|gen_fuel_solar_mw|area_3_net_export_mw|area_1_load_actual_mw|gen_fuel_wind_mw|gen_fuel_hydro_mw|area_2_net_export_mw|gen_fuel_natural_gas_mw,bus_215_va_deg,节点215电压相角,8,0.9883109653661862,24,bus_215_va_deg
XGBoost,树模型特征重要性（2016）,0.9664315884376065,system_losses_mw|gen_fuel_solar_mw|area_1_load_day_ahead_mw|area_3_net_export_mw|gen_fuel_coal_mw|area_1_load_actual_mw|gen_fuel_hydro_mw|reserve_reg_up_mw,bus_215_va_deg,节点215电压相角,8,0.9883109653661862,24,bus_215_va_deg
Lasso,线性稀疏（1996）,0.9828323690085018,area_1_net_export_mw|area_2_net_export_mw|area_3_net_export_mw|gen_fuel_wind_mw|gen_fuel_natural_gas_mw|area_1_load_actual_mw|gen_fuel_hydro_mw|gen_fuel_solar_mw,bus_215_va_deg,节点215电压相角,8,0.9883109653661862,24,bus_215_va_deg
Pearson,相关系数排序（只看两两关系）,0.7219473330227835,system_losses_mw|reserve_spin_r2_mw|area_2_load_actual_mw|area_2_load_day_ahead_mw|gen_fuel_wind_mw|reserve_spin_r1_mw|area_1_load_actual_mw|area_1_load_day_ahead_mw,bus_215_va_deg,节点215电压相角,8,0.9883109653661862,24,bus_215_va_deg
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.9694948081685452,system_losses_mw|gen_fuel_natural_gas_mw|gen_fuel_wind_mw|area_1_load_day_ahead_mw|area_2_load_actual_mw|gen_fuel_solar_mw|area_2_net_export_mw|area_3_load_day_ahead_mw|area_3_net_export_mw|gen_fuel_hydro_mw|gen_fuel_nuclear_mw,bus_315_va_deg,节点315电压相角,11,0.9718562297909319,24,bus_315_va_deg
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.9686944896131584,gen_fuel_natural_gas_mw|system_losses_mw|gen_fuel_wind_mw|gen_fuel_coal_mw|gen_fuel_solar_mw|gen_fuel_hydro_mw|area_3_net_export_mw|gen_fuel_nuclear_mw|reserve_reg_up_mw|area_2_net_export_mw|area_1_net_export_mw,bus_315_va_deg,节点315电压相角,11,0.9718562297909319,24,bus_315_va_deg
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.9588212493248176,gen_fuel_wind_mw|gen_fuel_solar_mw|area_1_net_export_mw|system_losses_mw|area_3_net_export_mw|gen_fuel_nuclear_mw|gen_fuel_hydro_mw|gen_fuel_coal_mw|area_2_load_day_ahead_mw|reserve_spin_r3_mw|area_3_load_actual_mw,bus_315_va_deg,节点315电压相角,11,0.9718562297909319,24,bus_315_va_deg
XGBoost,树模型特征重要性（2016）,0.965554214478548,gen_fuel_wind_mw|gen_fuel_solar_mw|system_losses_mw|area_3_net_export_mw|gen_fuel_nuclear_mw|gen_fuel_coal_mw|area_1_net_export_mw|area_1_load_day_ahead_mw|gen_fuel_natural_gas_mw|reserve_reg_up_mw|area_3_load_day_ahead_mw,bus_315_va_deg,节点315电压相角,11,0.9718562297909319,24,bus_315_va_deg
Lasso,线性稀疏（1996）,0.9655461923533764,area_3_net_export_mw|system_losses_mw|gen_fuel_solar_mw|area_1_net_export_mw|gen_fuel_wind_mw|area_2_net_export_mw|reserve_spin_r2_mw|gen_fuel_hydro_mw|gen_fuel_coal_mw|area_1_load_actual_mw|gen_fuel_nuclear_mw,bus_315_va_deg,节点315电压相角,11,0.9718562297909319,24,bus_315_va_deg
Pearson,相关系数排序（只看两两关系）,0.9578148882098866,gen_fuel_wind_mw|area_2_net_export_mw|gen_fuel_solar_mw|area_1_net_export_mw|system_losses_mw|gen_fuel_hydro_mw|gen_fuel_nuclear_mw|gen_fuel_coal_mw|area_3_load_day_ahead_mw|area_3_load_actual_mw|reserve_spin_r3_mw,bus_315_va_deg,节点315电压相角,11,0.9718562297909319,24,bus_315_va_deg
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.9501960206792456,reserve_spin_r1_mw|gen_fuel_coal_mw|reserve_spin_r2_mw|gen_fuel_natural_gas_mw|system_losses_mw|gen_fuel_wind_mw|gen_fuel_hydro_mw|area_3_load_day_ahead_mw|gen_fuel_nuclear_mw,branch_ab1_loading_pct,线路AB1负载率,9,0.9516535845379651,21,branch_ab1_loading_pct
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.9168304280596835,gen_fuel_coal_mw|gen_fuel_wind_mw|gen_fuel_nuclear_mw|area_1_load_day_ahead_mw|gen_fuel_natural_gas_mw|area_1_load_actual_mw|gen_fuel_solar_mw|system_losses_mw|reserve_spin_r1_mw,branch_ab1_loading_pct,线路AB1负载率,9,0.9516535845379651,21,branch_ab1_loading_pct
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.9025558838780658,system_losses_mw|area_1_load_actual_mw|reserve_spin_r1_mw|area_1_load_day_ahead_mw|gen_fuel_nuclear_mw|gen_fuel_wind_mw|gen_fuel_solar_mw|gen_fuel_coal_mw|reserve_reg_up_mw,branch_ab1_loading_pct,线路AB1负载率,9,0.9516535845379651,21,branch_ab1_loading_pct
