area_1_load_actual_mw,area_2_load_actual_mw,area_3_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,area_3_load_day_ahead_mw,system_load_day_ahead_mw,system_generation_mw,system_losses_mw,reserve_reg_up_mw,reserve_reg_down_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,reserve_spin_r3_mw,gen_fuel_coal_mw,gen_fuel_natural_gas_mw,gen_fuel_nuclear_mw,gen_fuel_hydro_mw,gen_fuel_wind_mw,gen_fuel_solar_mw,area_1_fuel_coal_mw,area_1_fuel_natural_gas_mw,area_1_fuel_nuclear_mw,area_1_fuel_hydro_mw,area_1_fuel_wind_mw,area_1_fuel_solar_mw,area_1_generation_mw,area_2_fuel_coal_mw,area_2_fuel_natural_gas_mw,area_2_fuel_hydro_mw,area_2_fuel_solar_mw,area_2_generation_mw,area_3_fuel_coal_mw,area_3_fuel_natural_gas_mw,area_3_fuel_hydro_mw,area_3_fuel_wind_mw,area_3_fuel_solar_mw,area_3_generation_mw,hour_of_day,day_of_week,month_of_year,is_weekend
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.7096205,0.7674347,0.67440975,0.69312817,0.7494414,0.69724786,0.6657574,0.66577065,0.7538874,1.011691,0.70133203,0.66236746,0.82667994,0.68937695,0.6832124,0.69064784,0.69518447,0.6732543,0.78159374,0.89520985,1.0167351,0.7291167,0.8869488,0.6857655,0.6932482,1.0108483,0.87304306,0.6963987,0.7569576,0.82481,0.6878335,0.6832274,0.6836873,0.84110636,0.715823,0.67219156,0.88226646,0.7964031,0.69469875,0.7054909,0.6823963,0.6673004,0.68563896
0.5264968,0.571284,0.4540693,0.46748453,0.594531,0.47984943,0.44812527,0.43973133,0.5201992,0.82542306,0.48691377,0.43343303,0.6855384,0.4420607,0.46769735,0.4848254,0.46101826,0.46696094,0.5981351,0.7033629,0.8282494,0.5290115,0.73218274,0.48768952,0.4654506,0.91305137,0.6845818,0.50105804,0.5606058,0.612521,0.45846704,0.45001933,0.45961338,0.6317569,0.47062486,0.4507757,0.69995344,0.5962206,0.4680666,0.48684028,0.4538007,0.4285016,0.48563588
0.41052446,0.4145706,0.29900214,0.3043537,0.49068585,0.32726857,0.30020043,0.27914202,0.3446539,0.6754616,0.32125932,0.2796359,0.58681846,0.27380124,0.32012573,0.33810377,0.2942269,0.32593974,0.46926522,0.55464125,0.67072004,0.39769334,0.6247451,0.34327537,0.31347236,0.796347,0.5352834,0.37364206,0.3909159,0.45436427,0.29824376,0.28426582,0.2965166,0.47654802,0.30023932,0.29112002,0.53547245,0.44711238,0.31988856,0.32603934,0.29162914,0.27004513,0.33165443
0.32556108,0.29217732,0.19263998,0.19181386,0.41985792,0.21722052,0.19531892,0.17089054,0.21586674,0.5470162,0.20418066,0.17301269,0.50947934,0.16247216,0.21727978,0.23093118,0.18346122,0.22924738,0.3771571,0.43996006,0.53770936,0.29839817,0.555226,0.23515339,0.21661827,0.7017468,0.4288036,0.28493124,0.2635688,0.3407901,0.19580787,0.17378579,0.18243058,0.36765274,0.18762966,0.1810953,0.40300173,0.333739,0.21236473,0.21216196,0.18114659,0.16378126,0.2218046
0.26103747,0.20015527,0.1200719,0.11687514,0.3651648,0.14214854,0.12521188,0.10131952,0.13140696,0.43868873,0.12556487,0.10352944,0.448758,0.092333965,0.14544064,0.16059391,0.11322413,0.17199826,0.3051456,0.35207155,0.43944785,0.23635612,0.5053291,0.1666995,0.14761953,0.6270023,0.35186565,0.21960132,0.17710361,0.2634874,0.1261027,0.10108476,0.10931087,0.2928792,0.11540696,0.11006635,0.3027118,0.24854867,0.13898152,0.13278112,0.107767776,0.09680472,0.142727
0.20826581,0.13221298,0.074318744,0.06797788,0.3209469,0.09096155,0.07956923,0.05713673,0.07672712,0.35376513,0.07397707,0.05973412,0.39820096,0.04993724,0.096303776,0.11211303,0.06788513,0.13234669,0.25526282,0.28004482,0.35794574,0.19140032,0.46419692,0.119538754,0.109288506,0.5635142,0.2891296,0.16706774,0.12138235,0.21117039,0.07953381,0.05581429,0.06252512,0.23842494,0.06888845,0.063952535,0.22706912,0.18067724,0.08976678,0.08033794,0.061438672,0.054846168,0.08861082
0.16926426,0.084857516,0.043939605,0.038197566,0.28792846,0.057314985,0.048637923,0.030849325,0.042674523,0.28379428,0.04199421,0.032774244,0.36159134,0.025588393,0.061655343,0.07900427,0.03905882,0.10712054,0.21760333,0.22624306,0.2937238,0.16191949,0.42281988,0.08910695,0.078941725,0.509483,0.24278522,0.12797865,0.084944114,0.17233168,0.049322855,0.02906876,0.034331407,0.19971715,0.039421167,0.035768624,0.17562239,0.12992096,0.05549913,0.046529494,0.033250365,0.029935751,0.052509014
0.13708726,0.053111363,0.025000157,0.020318665,0.25958675,0.035142962,0.028649993,0.015571571,0.022339338,0.22765589,0.022570698,0.017258383,0.32760096,0.012346428,0.038653005,0.054990742,0.021352269,0.090620674,0.1900597,0.18837893,0.24617922,0.14043003,0.3858146,0.06906919,0.062983446,0.46328247,0.20622973,0.096356854,0.060785618,0.14789766,0.029597953,0.0142343,0.01807426,0.169732,0.021184266,0.018859584,0.14058767,0.094030455,0.032914765,0.026221106,0.017178651,0.015512081,0.030102838
0.11079403,0.03144348,0.013679449,0.010138196,0.2361447,0.020483684,0.016359981,0.007386374,0.011118637,0.18727136,0.011376273,0.008339315,0.30004174,0.0055645593,0.023963485,0.03845477,0.010797091,0.07983343,0.16920194,0.15766014,0.21256033,0.12760192,0.3571907,0.05531973,0.053411853,0.42844018,0.18187271,0.07093671,0.045727383,0.1270781,0.016902208,0.0065195216,0.008881217,0.14964247,0.010436679,0.009265453,0.1117312,0.06827607,0.018831871,0.013656512,0.008397268,0.0077633993,0.01658453
0.09015774,0.018078951,0.007064158,0.0047689774,0.21885107,0.0115288375,0.008910291,0.0032486366,0.0051181195,0.15547726,0.0053234496,0.003753322,0.27993143,0.0023212682,0.014462812,0.026565688,0.005017554,0.069886774,0.15266077,0.13548018,0.18583483,0.11830967,0.33227512,0.043662447,0.04530405,0.3942051,0.16455379,0.05176956,0.035598226,0.11217888,0.009201596,0.002782773,0.0041189305,0.13357046,0.0046533346,0.004263487,0.09431791,0.04891914,0.010232733,0.006764198,0.0037679789,0.0037755233,0.008562234
0.071934514,0.009704991,0.003394132,0.0020823104,0.2005467,0.0060677384,0.0045630997,0.0013162586,0.002192943,0.13359019,0.002285917,0.0015497997,0.2595071,0.00089336996,0.008424185,0.01766648,0.0021325713,0.06536625,0.1381234,0.11752422,0.16276371,0.110952005,0.30398986,0.03621047,0.03837405,0.3669629,0.14670952,0.03604559,0.028980277,0.0992324,0.0046876413,0.0010987859,0.0017692734,0.1198989,0.0018887059,0.0018173702,0.08029752,0.034399234,0.005229694,0.0030112916,0.0015795273,0.001650223,0.004180944
0.058029562,0.0049809124,0.0014940159,0.0008442749,0.18689618,0.003034845,0.002175785,0.0004909277,0.00086923986,0.115450494,0.00090163556,0.0005805628,0.24464095,0.00031541783,0.0046592234,0.01120657,0.00082406774,0.059744537,0.12441124,0.10197982,0.14349945,0.104385346,0.2880847,0.02894348,0.035294626,0.33817345,0.13260067,0.02496644,0.024393223,0.09050701,0.0022217184,0.00039805743,0.0007041896,0.10737352,0.0006864481,0.00071588147,0.06865829,0.02351352,0.0024829335,0.001231854,0.00060734246,0.000651608,0.0018849946
0.046131473,0.0023922243,0.00059247896,0.0003145806,0.17537425,0.0014185073,0.0009447747,0.00016695945,0.0003159048,0.100874156,0.00032471903,0.00019724938,0.23142993,0.00010131696,0.002367364,0.006860817,0.0002892696,0.056423794,0.11512279,0.09055972,0.1290143,0.102014884,0.26521516,0.023375295,0.03196546,0.31887618,0.120106615,0.016628277,0.022524765,0.08246623,0.0009852437,0.00013156104,0.00025736782,0.097814344,0.00022355828,0.00025892004,0.060738046,0.015830096,0.0010734904,0.00045927853,0.0002130055,0.00022755124,0.0007847566
0.035528965,0.0010743105,0.00021189135,0.00010728188,0.16091551,0.0006172576,0.00037347476,5.1507697e-05,0.00010484195,0.090287216,0.0001064781,6.056452e-05,0.2151629,2.943321e-05,0.0010940201,0.003909097,9.2016155e-05,0.052402798,0.108586185,0.082669616,0.118320316,0.09794537,0.24834196,0.018191753,0.030579392,0.29884177,0.1117793,0.010657101,0.020684462,0.07406816,0.00040367866,3.9383707e-05,8.600269e-05,0.089349315,6.531832e-05,8.5516505e-05,0.055702962,0.010270188,0.00042114788,0.00015494782,6.798374e-05,7.0602015e-05,0.00030052642
0.027501069,0.00044933968,6.799448e-05,3.329683e-05,0.1519788,0.00025027728,0.00013359512,1.4334393e-05,3.1539585e-05,0.08009777,3.1628562e-05,1.6737025e-05,0.2061043,7.672696e-06,0.00045508196,0.0020876671,2.6391881e-05,0.051133312,0.10019288,0.07305305,0.10839981,0.09615309,0.23595457,0.014330635,0.026880078,0.28118896,0.102801815,0.006597961,0.018964397,0.06955665,0.00015261822,1.0608937e-05,2.6128457e-05,0.083634764,1.7031743e-05,2.5635201e-05,0.048421513,0.0063588093,0.0001491901,4.7251175e-05,1.9636233e-05,1.9440375e-05,0.000105782914
