field,gate_seed_42,gate_seed_43,gate_seed_44,gate_mean,gate_std,selection_frequency,consensus_active
area_1_net_export_mw,0.44965261220932007,0.4634424149990082,0.48887383937835693,0.4673229455947876,0.016245411708950996,3,1
area_3_net_export_mw,0.39960891008377075,0.4052673876285553,0.4017196595668793,0.4021986722946167,0.002334761666134,3,1
area_2_net_export_mw,0.3325091004371643,0.36035922169685364,0.37364816665649414,0.35550549626350403,0.017142048105597496,3,1
gen_fuel_coal_mw,0.08594270050525665,0.07735325396060944,0.07811537384986877,0.08047044277191162,0.003881959244608879,3,1
gen_fuel_solar_mw,0.037186261266469955,0.023455876857042313,0.023649677634239197,0.02809727191925049,0.006427372805774212,3,1
gen_fuel_natural_gas_mw,5.363812291253902e-35,0.03172549977898598,0.028320403769612312,0.020015301182866096,0.014221061021089554,2,1
system_losses_mw,0.020649677142500877,1.6270927289951942e-06,4.2263407522113994e-05,0.006897856015712023,0.009724020957946777,1,0
gen_fuel_wind_mw,3.375102728803743e-24,9.902508997132101e-32,0.0,1.1250342758037854e-24,0.0,0,0
gen_fuel_nuclear_mw,2.3627313179974476e-26,0.0,0.0,7.875770803200833e-27,0.0,0,0
reserve_reg_down_mw,0.0,0.0,0.0,0.0,0.0,0,0
reserve_reg_up_mw,0.0,0.0,0.0,0.0,0.0,0,0
