n_fields,test_r2,fields
1,0.3146568109346023,area_1_net_export_mw
2,0.41590148444191377,area_1_net_export_mw|area_3_net_export_mw
3,0.9800610391922729,area_1_net_export_mw|area_3_net_export_mw|area_2_net_export_mw
5,0.9921418593239577,area_1_net_export_mw|area_3_net_export_mw|area_2_net_export_mw|gen_fuel_coal_mw|gen_fuel_solar_mw
6,0.9900663640477063,area_1_net_export_mw|area_3_net_export_mw|area_2_net_export_mw|gen_fuel_coal_mw|gen_fuel_solar_mw|gen_fuel_natural_gas_mw
8,0.9934541170033645,area_1_net_export_mw|area_3_net_export_mw|area_2_net_export_mw|gen_fuel_coal_mw|gen_fuel_solar_mw|gen_fuel_natural_gas_mw|system_losses_mw|gen_fuel_wind_mw
11,0.9897349792352168,area_1_net_export_mw|area_3_net_export_mw|area_2_net_export_mw|gen_fuel_coal_mw|gen_fuel_solar_mw|gen_fuel_natural_gas_mw|system_losses_mw|gen_fuel_wind_mw|gen_fuel_nuclear_mw|reserve_reg_down_mw|reserve_reg_up_mw
