方法,说明,n,前n个字段
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.9407102834239985,marginal_loss_price_rt|total_lmp_rt|prelim_load_avg_hourly|gen_fuel_nuclear_mw|gen_fuel_coal_pct|gen_fuel_gas_pct|gross_sched_interchange_mw|gen_fuel_multiple_fuels_mw|da_as_as_req_mw_synchronized_reserve|gen_fuel_other_renewables_mw|wind_generation_mw|da_as_as_mw_thirty_minutes_reserve|gen_fuel_solar_mw|gross_inadv_interchange_mw|gen_fuel_hydro_mw
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.9256824556855541,gen_fuel_nuclear_mw|wind_generation_mw|da_as_as_mw_thirty_minutes_reserve|gen_fuel_coal_pct|prelim_load_avg_hourly|system_energy_price_da|gross_sched_interchange_mw|gen_fuel_gas_pct|marginal_loss_price_rt|gen_fuel_multiple_fuels_mw|gen_fuel_solar_pct|gen_fuel_wind_mw|gen_fuel_other_renewables_mw|gross_inadv_interchange_mw|total_pjm_reg_purchases
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.9280879600539191,gen_fuel_nuclear_mw|wind_generation_mw|gen_fuel_wind_mw|prelim_load_avg_hourly|gross_inadv_interchange_mw|system_energy_price_da|marginal_loss_price_rt|gen_fuel_coal_pct|solar_generation_mw|da_as_as_mw_thirty_minutes_reserve|da_as_as_req_mw_primary_reserve|gross_sched_interchange_mw|total_pjm_rt_load_mwh|gen_fuel_hydro_mw|gen_fuel_multiple_fuels_mw
XGBoost,树模型特征重要性（2016）,0.925325033685257,gen_fuel_coal_mw|prelim_load_avg_hourly|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_nuclear_mw|marginal_loss_price_rt|gen_fuel_wind_mw|gen_fuel_wind_pct|forecast_load_mw_latest_available|wind_generation_mw|gen_fuel_solar_pct|da_as_as_req_mw_primary_reserve|gen_fuel_coal_pct|gen_fuel_oil_mw|system_energy_price_da|da_as_as_mw_thirty_minutes_reserve
Lasso,线性稀疏（1996）,0.9108532124880173,prelim_load_avg_hourly|total_pjm_rt_load_mwh|gen_fuel_gas_mw|solar_generation_mw|gen_fuel_coal_mw|marginal_loss_price_rt|system_energy_price_rt|gen_fuel_coal_pct|wind_generation_mw|gen_fuel_wind_pct|gen_fuel_solar_pct|gen_fuel_hydro_mw|gen_fuel_gas_pct|total_pjm_rmccp_cr|rmccp
Pearson,相关系数排序（只看两两关系）,0.9127612496826362,gen_fuel_coal_mw|prelim_load_avg_hourly|gen_fuel_coal_pct|forecast_load_mw_latest_available|total_pjm_rt_load_mwh|gen_fuel_nuclear_mw|gross_inadv_interchange_mw|gen_fuel_nuclear_pct|gen_fuel_gas_mw|system_energy_price_da|gen_fuel_other_renewables_pct|marginal_loss_price_rt|gen_fuel_oil_mw|da_as_as_mw_primary_reserve|gen_fuel_oil_pct
