gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_storage_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_reg_purchases,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,system_energy_price_rt,total_lmp_rt,marginal_loss_price_rt
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.45075148,0.5158561,0.53645575,0.53071874,0.5949715,0.50400984,0.480798,0.41437572,0.4576325,0.51414305,0.47483134,0.530415,0.52670354,0.52652156,0.47512645,0.46075213,0.40490317,0.42816618,0.47095865,0.45900512,0.43693352,0.50411904,0.49058613,0.49094686,0.4918174,0.4722055,0.49411604,0.53326803,0.47839162,0.50578713,0.53821725,0.46876323,0.46565425,0.3998154
0.45459953,0.5494522,0.55401385,0.5484704,0.68703,0.51908135,0.49910113,0.3374928,0.5088942,0.55670977,0.45642102,0.56414557,0.5444813,0.5393836,0.45788127,0.4435757,0.3422031,0.4052453,0.48978594,0.41818908,0.39272627,0.5119349,0.48191097,0.51186746,0.5043998,0.47926807,0.49673668,0.56881493,0.4897886,0.5117037,0.60102564,0.4411658,0.4629296,0.31971025
0.45510274,0.5718912,0.5682801,0.56423825,0.7431986,0.53445286,0.4948834,0.2964111,0.5577801,0.62270683,0.47678372,0.59455794,0.5589695,0.5477827,0.43393263,0.4197867,0.28468615,0.38658842,0.4772791,0.38481647,0.33665717,0.52033097,0.48467374,0.519157,0.5174901,0.48074177,0.4974933,0.6160732,0.51585084,0.518743,0.66013867,0.4275084,0.4548845,0.28267387
0.45724738,0.58804834,0.5742071,0.5746895,0.81806654,0.5403098,0.5070697,0.2292333,0.59989935,0.6687048,0.4826121,0.628887,0.5684484,0.55394286,0.41368613,0.3966083,0.23297358,0.37146315,0.4511815,0.37674814,0.28045237,0.51934266,0.4885829,0.5280199,0.535464,0.48473647,0.49391487,0.6580527,0.5409964,0.53429013,0.702013,0.38568804,0.44787836,0.24834672
0.45606765,0.613995,0.5786839,0.5984183,0.86986214,0.54417074,0.5265912,0.15862906,0.6564186,0.7283034,0.47719184,0.6535298,0.5785816,0.5526256,0.41643095,0.3616891,0.15648922,0.32901502,0.4371867,0.37190288,0.21185188,0.5053806,0.49841648,0.5486623,0.56350815,0.48922682,0.48011824,0.6991018,0.5880047,0.53363764,0.7521226,0.35515442,0.42320135,0.18392827
0.450378,0.63601947,0.59317046,0.6151596,0.9311855,0.5381943,0.5562962,0.07932009,0.6892339,0.7617307,0.48375365,0.6775398,0.58971655,0.55746883,0.4093556,0.33206394,0.08324032,0.31468034,0.40477842,0.36460334,0.1278403,0.4981118,0.49457505,0.5670722,0.5748726,0.49396664,0.47337154,0.7317987,0.61180323,0.53225505,0.79948115,0.32019848,0.4062034,0.13642135
0.44573882,0.6496501,0.61118495,0.63368696,0.9738344,0.5490845,0.5750173,0.004519372,0.73256904,0.8125969,0.48874795,0.70022607,0.5930165,0.55494183,0.40159023,0.3111569,0.0,0.26960346,0.38563773,0.36547363,0.052366093,0.48537737,0.50399405,0.56815493,0.58932215,0.49536613,0.46172613,0.7651265,0.63681,0.5369073,0.8487678,0.2802799,0.38431594,0.07529632
0.44510335,0.67122275,0.6270054,0.65043473,1.0,0.5542657,0.5971018,0.0,0.7808326,0.87180096,0.4897164,0.714584,0.60468006,0.5475364,0.38689354,0.28566092,0.0,0.23276927,0.3625883,0.37379488,0.0,0.48413673,0.50409216,0.5817277,0.6111767,0.5000429,0.43969843,0.80879277,0.6482568,0.5356377,0.89198107,0.24096519,0.35717312,0.0
0.43678465,0.6873304,0.62624615,0.66869706,1.0,0.5577262,0.63237095,0.0,0.8246069,0.91125846,0.48653084,0.7274865,0.6164079,0.5548796,0.3637541,0.25274286,0.0,0.17943317,0.33508584,0.35561028,0.0,0.48876557,0.501377,0.5931243,0.63610625,0.4845659,0.41658074,0.8530168,0.64997643,0.52630424,0.94475895,0.20662536,0.3310309,0.0
0.4246225,0.7277428,0.6459167,0.6823239,1.0,0.5493349,0.6631605,0.0,0.8523048,0.96533614,0.48191965,0.7420644,0.6261312,0.5584772,0.34070787,0.21753739,0.0,0.13978022,0.31776923,0.3631166,0.0,0.49756542,0.4957782,0.6152469,0.6440202,0.47793257,0.38517508,0.8898978,0.6787453,0.5414433,0.99700016,0.15461214,0.29901937,0.0
0.4142815,0.7406691,0.65289265,0.7096449,1.0,0.5310928,0.7066067,0.0,0.89635026,0.9954177,0.47987375,0.7622207,0.62570286,0.56003225,0.32627052,0.17981231,0.0,0.08342632,0.29381835,0.38219628,0.0,0.5017052,0.49186093,0.62094057,0.6576194,0.48467088,0.36361447,0.9206751,0.70076793,0.534604,1.0,0.099093065,0.2688807,0.0
0.39948955,0.74866635,0.6642577,0.7287948,1.0,0.52032477,0.7347549,0.0,0.9463319,1.0,0.47495338,0.78771865,0.6255991,0.5444251,0.31025064,0.12795906,0.0,0.030733835,0.2606577,0.4044235,0.0,0.4957096,0.4854414,0.62174106,0.6662476,0.47351035,0.3442977,0.9415257,0.71920985,0.52490836,1.0,0.041872654,0.23235908,0.0
0.39259732,0.77857953,0.68529606,0.7319998,1.0,0.517183,0.7767377,0.0,0.9847864,1.0,0.48445657,0.8014048,0.6337726,0.5398875,0.29724416,0.073619574,0.0,0.0,0.23155968,0.42994475,0.0,0.50878483,0.47267824,0.6152396,0.67770916,0.4664628,0.31852537,0.9862786,0.7424194,0.5153337,1.0,0.0,0.19131127,0.0
0.36604735,0.79676396,0.7069904,0.74533814,1.0,0.52288145,0.81018853,0.0,1.0,1.0,0.46281216,0.83153915,0.63128984,0.5232112,0.29133546,0.038173303,0.0,0.0,0.19705923,0.4398943,0.0,0.53042525,0.46349946,0.613964,0.6856396,0.4704193,0.2944192,1.0,0.7527627,0.51357234,1.0,0.0,0.14527576,0.0
0.3559625,0.84304154,0.7320224,0.759644,1.0,0.5181044,0.84018916,0.0,1.0,1.0,0.4555023,0.8482503,0.6432831,0.51457644,0.27159345,0.0,0.0,0.0,0.1577783,0.46326333,0.0,0.53079695,0.45335612,0.60907185,0.69257516,0.446642,0.25824937,1.0,0.78114194,0.5049463,1.0,0.0,0.09938687,0.0
0.3444749,0.8705771,0.75606096,0.7792029,1.0,0.5124849,0.86770606,0.0,1.0,1.0,0.46294633,0.8705682,0.6462571,0.5027274,0.23991282,0.0,0.0,0.0,0.10827575,0.5049688,0.0,0.5290144,0.44159946,0.60701734,0.705658,0.4363261,0.21299051,1.0,0.79192674,0.4982546,1.0,0.0,0.048602242,0.0
0.31962657,0.8908262,0.7728006,0.79268473,1.0,0.49755558,0.907181,0.0,1.0,1.0,0.45667252,0.88647926,0.6576039,0.49012125,0.21924825,0.0,0.0,0.0,0.07894317,0.5385859,0.0,0.54525465,0.43476093,0.6093603,0.7045326,0.4090186,0.16522688,1.0,0.79206514,0.48513278,1.0,0.0,0.0,0.0
0.29239038,0.9003706,0.8019067,0.80433583,1.0,0.478648,0.9451843,0.0,1.0,1.0,0.4501437,0.90380895,0.6612868,0.4793279,0.18960047,0.0,0.0,0.0,0.024016827,0.55762416,0.0,0.55231035,0.4131995,0.6107574,0.7124057,0.3940509,0.11723868,1.0,0.8028079,0.45666146,1.0,0.0,0.0,0.0
0.25410578,0.9464193,0.8425225,0.82042754,1.0,0.4674074,0.970063,0.0,1.0,1.0,0.45227048,0.9325752,0.67373854,0.46842188,0.16656385,0.0,0.0,0.0,0.0,0.5924251,0.0,0.5762012,0.39498937,0.62400025,0.71806544,0.35902345,0.067163795,1.0,0.8215802,0.44556308,1.0,0.0,0.0,0.0
