目标,中文名,达标水平,预算n,先达标的方法,方法,测试R2,全量R2,候选数,选中字段
branch_ab2_loading_pct,线路AB2负载率,95%,5,DGatingDNN,DGatingDNN,0.9553275408053743,0.9841776426259385,29,gen_fuel_natural_gas_mw|area_1_fuel_coal_mw|area_1_fuel_natural_gas_mw|area_1_load_day_ahead_mw|area_1_fuel_solar_mw
branch_ab2_loading_pct,线路AB2负载率,95%,5,DGatingDNN,STG,0.9486507096340464,0.9841776426259385,29,system_losses_mw|area_1_fuel_coal_mw|gen_fuel_natural_gas_mw|area_1_load_day_ahead_mw|area_1_fuel_solar_mw
branch_ab2_loading_pct,线路AB2负载率,95%,5,DGatingDNN,LassoNet,0.894769895119939,0.9841776426259385,29,system_losses_mw|area_2_fuel_natural_gas_mw|area_3_fuel_solar_mw|area_1_fuel_natural_gas_mw|area_1_fuel_wind_mw
branch_ab2_loading_pct,线路AB2负载率,95%,5,DGatingDNN,XGBoost,0.9361655569617366,0.9841776426259385,29,system_losses_mw|area_3_fuel_solar_mw|area_1_fuel_solar_mw|area_1_load_day_ahead_mw|area_1_fuel_wind_mw
branch_ab2_loading_pct,线路AB2负载率,95%,5,DGatingDNN,Lasso,0.9408736189031508,0.9841776426259385,29,area_1_load_actual_mw|area_1_generation_mw|area_1_fuel_coal_mw|gen_fuel_solar_mw|area_2_generation_mw
branch_ab2_loading_pct,线路AB2负载率,95%,5,DGatingDNN,Pearson,0.7948074527979552,0.9841776426259385,29,system_losses_mw|area_2_fuel_natural_gas_mw|area_2_fuel_coal_mw|area_2_generation_mw|reserve_spin_r2_mw
branch_ab2_loading_pct,线路AB2负载率,97%,5,DGatingDNN,DGatingDNN,0.9553275408053743,0.9841776426259385,29,gen_fuel_natural_gas_mw|area_1_fuel_coal_mw|area_1_fuel_natural_gas_mw|area_1_load_day_ahead_mw|area_1_fuel_solar_mw
branch_ab2_loading_pct,线路AB2负载率,97%,5,DGatingDNN,STG,0.9486507096340464,0.9841776426259385,29,system_losses_mw|area_1_fuel_coal_mw|gen_fuel_natural_gas_mw|area_1_load_day_ahead_mw|area_1_fuel_solar_mw
branch_ab2_loading_pct,线路AB2负载率,97%,5,DGatingDNN,LassoNet,0.894769895119939,0.9841776426259385,29,system_losses_mw|area_2_fuel_natural_gas_mw|area_3_fuel_solar_mw|area_1_fuel_natural_gas_mw|area_1_fuel_wind_mw
branch_ab2_loading_pct,线路AB2负载率,97%,5,DGatingDNN,XGBoost,0.9361655569617366,0.9841776426259385,29,system_losses_mw|area_3_fuel_solar_mw|area_1_fuel_solar_mw|area_1_load_day_ahead_mw|area_1_fuel_wind_mw
branch_ab2_loading_pct,线路AB2负载率,97%,5,DGatingDNN,Lasso,0.9408736189031508,0.9841776426259385,29,area_1_load_actual_mw|area_1_generation_mw|area_1_fuel_coal_mw|gen_fuel_solar_mw|area_2_generation_mw
branch_ab2_loading_pct,线路AB2负载率,97%,5,DGatingDNN,Pearson,0.7948074527979552,0.9841776426259385,29,system_losses_mw|area_2_fuel_natural_gas_mw|area_2_fuel_coal_mw|area_2_generation_mw|reserve_spin_r2_mw
