目标,中文名,条件,水平,全量R2,全量R2标准差,选中数,子集R2,与基准重合度,是否基准
net_actual_interchange_mw,净实际交换功率,基准（换种子）,5 个种子,0.9659780719024699,0.0011562536779857117,10.4,0.9601788025064117,0.6064019314019314,1
net_actual_interchange_mw,净实际交换功率,块状缺失,5%,0.9492598759705494,,15.0,0.9455278404932052,0.625,0
net_actual_interchange_mw,净实际交换功率,块状缺失,15%,0.9313501333702812,,18.0,0.9405103525797162,0.38095238095238093,0
net_actual_interchange_mw,净实际交换功率,块状缺失,30%,0.9199419302457692,,21.0,0.9281447629472466,0.28,0
net_actual_interchange_mw,净实际交换功率,整字段缺失,10%,0.9661208830313323,,9.0,0.9605487808347495,0.8181818181818182,0
net_actual_interchange_mw,净实际交换功率,整字段缺失,20%,0.9533430316215014,,12.0,0.9555057042372797,0.4375,0
net_actual_interchange_mw,净实际交换功率,数据延迟,1 小时,0.958534453639185,,14.0,0.9562432958509972,0.5625,0
net_actual_interchange_mw,净实际交换功率,数据延迟,3 小时,0.951596273182186,,14.0,0.9403748699723147,0.47058823529411764,0
da_as_total_mw_primary_reserve,日前主用备用总量,基准（换种子）,5 个种子,0.8599233342680248,0.00712381025895347,9.6,0.8564118681726913,0.4584249084249084,1
da_as_total_mw_primary_reserve,日前主用备用总量,块状缺失,5%,0.8419820642750694,,11.0,0.8240593756044645,0.9090909090909091,0
da_as_total_mw_primary_reserve,日前主用备用总量,块状缺失,15%,0.8045768669891205,,12.0,0.7959902516028723,0.8333333333333334,0
da_as_total_mw_primary_reserve,日前主用备用总量,块状缺失,30%,0.7709556265321169,,14.0,0.766171658620771,0.6,0
da_as_total_mw_primary_reserve,日前主用备用总量,整字段缺失,10%,0.8477661091371905,,11.0,0.8536060635949778,0.75,0
da_as_total_mw_primary_reserve,日前主用备用总量,整字段缺失,20%,0.806217424383576,,6.0,0.806539385874422,0.45454545454545453,0
da_as_total_mw_primary_reserve,日前主用备用总量,数据延迟,1 小时,0.8414451312618174,,9.0,0.8453826423571157,0.5833333333333334,0
da_as_total_mw_primary_reserve,日前主用备用总量,数据延迟,3 小时,0.843089143317667,,11.0,0.8770700432021383,0.4,0
congestion_price_da,日前阻塞价,基准（换种子）,5 个种子,0.639605779084274,0.052545347539397796,19.8,0.6706736450751369,0.47623486028658435,1
congestion_price_da,日前阻塞价,块状缺失,5%,0.594362170457171,,18.0,0.7241010684668462,0.8095238095238095,0
congestion_price_da,日前阻塞价,块状缺失,15%,0.6488209851680617,,19.0,0.7018960080679493,0.8571428571428571,0
congestion_price_da,日前阻塞价,块状缺失,30%,0.6681265869801496,,22.0,0.7133369203062576,0.68,0
congestion_price_da,日前阻塞价,整字段缺失,10%,0.5717933201211469,,18.0,0.6876545541957577,0.46153846153846156,0
congestion_price_da,日前阻塞价,整字段缺失,20%,0.6410126054676164,,16.0,0.6625585258937623,0.44,0
congestion_price_da,日前阻塞价,数据延迟,1 小时,0.5691480208859723,,21.0,0.6162924709409452,0.5185185185185185,0
congestion_price_da,日前阻塞价,数据延迟,3 小时,0.6488323565846703,,22.0,0.6265036800683136,0.5,0
