wind_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_reg_purchases,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,system_energy_price_rt,total_lmp_rt,marginal_loss_price_rt,gross_sched_interchange_mw,gross_inadv_interchange_mw
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.4966791,0.5052159,0.52506495,0.47395104,0.54414886,0.48782,0.4919333,0.47871208,0.40292764,0.47041008,0.49418053,0.5191098,0.5570346,0.48846543,0.40514332,0.426408,0.5036688,0.5137881,0.49663132,0.38799465,0.47444555,0.49383184,0.5253505,0.50570136,0.44943082,0.46389264,0.40201107,0.4511297,0.4506236,0.50347614,0.54765373,0.486921,0.4979167,0.5516763,0.40844756,0.50473815,0.4745204,0.45146108,0.47483054,0.5806406,0.50483215
0.4870305,0.5127676,0.5684424,0.48588842,0.56887096,0.47935712,0.48187572,0.48651916,0.3617122,0.46055752,0.5034346,0.5633344,0.57693434,0.5414079,0.3536381,0.4583328,0.48689243,0.52287245,0.4864575,0.28729936,0.46681082,0.50010574,0.5539651,0.5470418,0.41641888,0.478388,0.33195052,0.42721063,0.44772255,0.51086265,0.57264805,0.46969295,0.4880137,0.58604574,0.34991074,0.56621635,0.48062217,0.4600375,0.51727325,0.6544994,0.51990265
0.48257312,0.5550903,0.622732,0.4891124,0.60987025,0.45006633,0.4990224,0.507132,0.29830286,0.45606017,0.5157608,0.58979285,0.61472756,0.5786889,0.3049277,0.45451352,0.4617884,0.5218201,0.4804904,0.20945886,0.47690994,0.49191603,0.5668599,0.5827317,0.3876194,0.47903064,0.26490438,0.41139668,0.42882243,0.50172126,0.59114116,0.42798418,0.47827443,0.63402003,0.31994691,0.6073304,0.47285888,0.44915822,0.5506168,0.7284485,0.5462884
0.49528512,0.58054984,0.6589697,0.47159868,0.6549884,0.433155,0.5298431,0.53857815,0.24519566,0.45768377,0.5663721,0.6170299,0.63523114,0.6186084,0.28482336,0.46211863,0.4419785,0.5344077,0.49888888,0.1505409,0.4509033,0.48629034,0.5971392,0.59777814,0.35948303,0.49749574,0.20049727,0.3857568,0.44731918,0.50192446,0.6116639,0.39046314,0.463317,0.67508215,0.2764453,0.6512888,0.45097733,0.4437759,0.58681184,0.79926217,0.569025
0.48982358,0.61760443,0.69862515,0.46944115,0.6890006,0.4089552,0.5723883,0.5506584,0.20795643,0.4556182,0.620172,0.63244176,0.66850895,0.6381149,0.24920276,0.47112253,0.42120484,0.53226393,0.48996007,0.09307166,0.44935626,0.47772923,0.6129604,0.6130437,0.32752764,0.52479845,0.1208281,0.36873448,0.44126502,0.49227768,0.6361278,0.3425734,0.45356986,0.7095733,0.2349931,0.6950697,0.4332169,0.43465266,0.6129361,0.86319125,0.60819083
0.48515135,0.63206625,0.7328333,0.46616113,0.72103554,0.38251173,0.6062734,0.5662169,0.17486638,0.46014833,0.67489904,0.6363596,0.68637776,0.6563958,0.21543884,0.4776598,0.41538307,0.5247863,0.50097257,0.0075540016,0.45388192,0.46019247,0.61265534,0.6235968,0.28964135,0.5584906,0.04681622,0.36456808,0.45397317,0.492079,0.6503332,0.30771467,0.4407975,0.7463897,0.17864567,0.74324775,0.40942365,0.42728227,0.64138204,0.9003928,0.62334937
0.49800277,0.64595854,0.7665908,0.45058602,0.7782127,0.37327138,0.64665073,0.5929934,0.13979957,0.47147325,0.72566575,0.6544815,0.7222654,0.6938504,0.16851209,0.4825188,0.3921018,0.5085976,0.50902045,-0.056241997,0.42535427,0.43361756,0.60377216,0.6551908,0.24755037,0.57268494,-0.017181853,0.36365637,0.45677918,0.5025433,0.6794472,0.26700547,0.42665344,0.7886489,0.1336757,0.7892878,0.37639722,0.3973089,0.67914397,0.9486475,0.6524261
0.49544898,0.67667603,0.80908585,0.4435538,0.82356197,0.33631536,0.7053175,0.62331957,0.091808155,0.4692156,0.7699161,0.67021257,0.74067044,0.72072095,0.12514924,0.48855042,0.38863137,0.49948302,0.50821704,-0.13196518,0.39833876,0.4113456,0.6047605,0.68525285,0.18461207,0.59302014,-0.07240963,0.3372421,0.45461988,0.5027255,0.7095682,0.23433425,0.41750693,0.82052916,0.07170698,0.82992953,0.35003588,0.37143767,0.7187529,0.9809157,0.6725499
0.48780966,0.6985505,0.82251257,0.43351278,0.87140685,0.3010139,0.76101846,0.64224076,0.051032085,0.46097663,0.80144805,0.67655843,0.7770572,0.76148385,0.072497174,0.48797974,0.3532427,0.48162842,0.5028948,-0.18537542,0.36726627,0.39960134,0.58869666,0.6953273,0.1304419,0.6048026,-0.12900975,0.3247729,0.4694026,0.5169379,0.7454077,0.1748059,0.40392596,0.86126375,0.009049516,0.88181376,0.31983873,0.3475741,0.7580081,1.0239246,0.70073104
