solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,total_pjm_reg_purchases,total_pjm_rmccp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,system_energy_price_da,system_energy_price_rt,marginal_loss_price_rt,gross_inadv_interchange_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.7357127,0.96917045,0.8987453,0.74344116,0.7462917,0.99367,0.8442959,0.67977834,0.7137188,0.6614109,0.806844,0.6996462,0.64736545,1.1259133,0.78144526,0.831579,0.65391403,0.65718806,0.655645,0.69134396,0.6702249,0.6466291,0.67751366,0.63877386,0.6819142,0.6541925,0.6398514,0.90359974,0.7730725,0.78617793,0.65146285
0.46595222,0.75999796,0.6833259,0.49882656,0.48838374,0.8059128,0.6566534,0.4336923,0.4399936,0.43523318,0.547253,0.46660757,0.40117756,1.0189178,0.5641257,0.57713664,0.41480315,0.43689677,0.41257936,0.49930966,0.4440781,0.40661594,0.4356219,0.40151972,0.41694355,0.405342,0.39536437,0.7617473,0.6652545,0.67420554,0.4221071
0.2888441,0.57046634,0.5076152,0.32481784,0.3067856,0.64251,0.49161732,0.26483077,0.2691515,0.2741874,0.36026898,0.29929528,0.23998052,0.88380224,0.38619694,0.384359,0.25357202,0.27855772,0.25284266,0.33675945,0.2809607,0.24859425,0.26740357,0.2450621,0.2502107,0.2474267,0.23728564,0.62729526,0.5541353,0.56524616,0.2645205
0.17373969,0.41729152,0.38293126,0.2086966,0.18577458,0.51096195,0.35497004,0.15452391,0.16037557,0.1648293,0.22953576,0.18597676,0.13775657,0.7769638,0.25330308,0.24610133,0.1494948,0.17455909,0.15163028,0.2190399,0.17048728,0.14535451,0.15802035,0.14460461,0.14624135,0.14791252,0.13604227,0.5033818,0.4444063,0.45851135,0.15989009
0.103664316,0.29546398,0.28545368,0.13166654,0.10736998,0.4060005,0.24785186,0.085918725,0.09415015,0.094275065,0.14015986,0.11241027,0.07554115,0.69037557,0.15921609,0.14969493,0.08496445,0.10607709,0.087322876,0.1364565,0.0991291,0.080897614,0.09008764,0.08209103,0.08327954,0.08976154,0.07407983,0.39300674,0.3471365,0.36351866,0.09344318
0.060859807,0.19979036,0.20920604,0.083250545,0.06000104,0.3275527,0.16860688,0.045153607,0.054140132,0.051067837,0.08249722,0.066640586,0.03940758,0.624042,0.09553777,0.086769424,0.046254463,0.06271081,0.050794184,0.08164944,0.055379536,0.042885676,0.049553666,0.044752974,0.04632799,0.057860043,0.0385371,0.3086752,0.26274687,0.28191817,0.054159135
0.036475662,0.12978257,0.14960755,0.050619252,0.03279198,0.2743684,0.11131392,0.022360882,0.03128143,0.026141273,0.04672233,0.039106615,0.019122643,0.5757366,0.054631356,0.04761071,0.02430194,0.03487246,0.029891882,0.04647667,0.029470762,0.021439813,0.026047602,0.023278903,0.025754927,0.040738627,0.01881608,0.24368103,0.19360945,0.21454069,0.031222342
0.022012422,0.0801317,0.10450099,0.031198086,0.017412728,0.23924583,0.07093207,0.010344205,0.017755864,0.012651645,0.025695613,0.02269809,0.008706046,0.5379325,0.029620474,0.024678798,0.012170707,0.018110754,0.018501783,0.02516476,0.014695122,0.010054391,0.012933449,0.011403002,0.013385327,0.03408442,0.008548098,0.19391823,0.14115506,0.16076446,0.018192086
0.013136928,0.048007406,0.07102884,0.01914187,0.009055493,0.21153209,0.04372244,0.004477594,0.009603694,0.005739017,0.0135659,0.0128664,0.0036781554,0.510137,0.015176887,0.012140539,0.0057046646,0.008448653,0.012062872,0.013174131,0.006867579,0.004388131,0.005872417,0.005093582,0.0064691673,0.030609636,0.0035797595,0.16383094,0.10423791,0.12287538,0.010385374
