total_losses,wind_generation_mw,solar_generation_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,rmccp,rmpcp,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,system_energy_price_da,congestion_price_da,marginal_loss_price_da,system_energy_price_rt,congestion_price_rt,marginal_loss_price_rt,net_actual_interchange_mw,net_sched_interchange_mw,net_inadv_interchange_mw,gross_actual_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0986807,0.7878247,0.9565642,0.9730688,0.9094066,1.0839533,0.79382193,1.0319095,1.0636096,0.77202827,0.7698866,1.1086519,0.8972201,0.7495407,1.059897,1.0442076,0.73826313,0.87642705,0.86207634,0.7093506,0.808752,0.72546077,0.7305405,0.79300034,0.8847688,0.7133061,0.8026317,0.9411526,0.9554404,0.7119503,0.734968,0.7545728,0.940718,0.72387296,1.0007211,0.7910392,0.959081,0.9135876,0.78547823,0.8487507,0.98232925,0.8441783,0.71560055,0.79648226,0.7443662,0.95909697
0.98902047,0.56616515,0.7938068,0.859866,0.7959725,0.95772743,0.62406325,0.99214643,0.92256105,0.56045526,0.5887078,0.9698223,0.7019195,0.54294306,0.9267845,1.0556388,0.52746993,0.77010155,0.8112351,0.4646009,0.6290806,0.51822084,0.5087375,0.59569937,0.8466822,0.46474153,0.66620153,0.83225816,0.8137491,0.48601365,0.5210195,0.56578165,0.768004,0.5227239,0.95242757,0.6069025,0.82402223,0.8785629,0.58244526,0.79488873,0.77872604,0.6648053,0.52361774,0.643163,0.5173317,0.81745183
0.869558,0.4077533,0.6521891,0.75334674,0.6927202,0.831651,0.47799334,0.9029607,0.79909784,0.39607906,0.44244924,0.8481257,0.54031855,0.39048824,0.78265035,1.0149614,0.36774236,0.65470916,0.74825007,0.30020162,0.4898892,0.3509046,0.35007724,0.44062352,0.80592775,0.29687175,0.54297733,0.7076425,0.67242485,0.32024765,0.36162445,0.4137977,0.6072694,0.37164474,0.8869117,0.43807924,0.67092997,0.8171473,0.42066818,0.7137442,0.61413306,0.52593744,0.3797646,0.504881,0.35386083,0.6751275
0.76501197,0.29872087,0.51921946,0.6563799,0.5894302,0.724421,0.36863315,0.81323254,0.67504454,0.27098694,0.33585924,0.75022066,0.40808946,0.28215364,0.65541756,0.940649,0.25002563,0.5437465,0.67278975,0.18680647,0.36220273,0.22907548,0.23061316,0.31545725,0.75193614,0.18329072,0.41950005,0.58914375,0.5399604,0.20251462,0.25042176,0.30147043,0.47493052,0.25510612,0.8189493,0.3129735,0.5504626,0.75607944,0.29241407,0.6484174,0.4867095,0.4137546,0.26580322,0.38717762,0.24050495,0.54259413
0.65868556,0.2130381,0.4127316,0.5821828,0.506018,0.62685615,0.29268184,0.72696453,0.57745475,0.18091582,0.25155103,0.65464497,0.3062993,0.2031958,0.5443868,0.86624557,0.16586572,0.45239407,0.6039894,0.11175368,0.26277092,0.14439183,0.14695431,0.21827596,0.69729537,0.10882549,0.31849635,0.48594514,0.42531052,0.12393216,0.17297111,0.2173102,0.37390578,0.17070593,0.7468881,0.2186181,0.45042196,0.6963987,0.20288959,0.58009183,0.39033878,0.32950786,0.18641528,0.2881317,0.15818557,0.42849654
0.56567365,0.15566082,0.3203935,0.515191,0.42679834,0.5420126,0.23768453,0.6346152,0.49539796,0.116256505,0.1953141,0.57015914,0.23183283,0.15158632,0.4449,0.79776007,0.10668848,0.37533957,0.53193116,0.063887075,0.18498254,0.08796099,0.09067467,0.14697339,0.63740754,0.06189253,0.23395632,0.3956872,0.34258395,0.07384174,0.12210667,0.15821873,0.29225504,0.10957764,0.676967,0.15274288,0.36928082,0.6311098,0.13727488,0.51136047,0.31409702,0.25872514,0.12736337,0.21091832,0.104852796,0.32788426
0.4869668,0.11685151,0.24796963,0.4740197,0.37241754,0.46865582,0.2073891,0.56735784,0.42773017,0.072378136,0.15923174,0.49991325,0.17862178,0.111726075,0.36356294,0.73835504,0.06633012,0.30873662,0.45958662,0.034857538,0.12036785,0.051390726,0.052986115,0.095626086,0.5742071,0.03314228,0.16153678,0.31254047,0.2661803,0.041812073,0.08359978,0.11504001,0.23093137,0.068160966,0.59846175,0.105333954,0.2939092,0.536205,0.08828274,0.43162593,0.25621554,0.20637332,0.085703544,0.15476687,0.06674495,0.24631257
0.41404897,0.0868865,0.1912732,0.42741415,0.31998408,0.40423888,0.17919078,0.507469,0.3754707,0.044012822,0.1322887,0.44004822,0.1475355,0.08444091,0.28792614,0.6774678,0.0396194,0.26025456,0.40355408,0.017899487,0.07946676,0.02858056,0.029313495,0.06026613,0.5160472,0.016650239,0.11324788,0.25086436,0.2080588,0.022300633,0.060985427,0.08609698,0.18536171,0.04011278,0.5394591,0.073249616,0.24072422,0.47490406,0.05903839,0.36635268,0.20195663,0.16075273,0.056859434,0.111728705,0.042587757,0.1803289
0.35664746,0.06385681,0.14560913,0.38965553,0.27900848,0.35561973,0.15977263,0.448594,0.33171666,0.025255844,0.11108517,0.37676492,0.12540725,0.06543907,0.22691536,0.6221532,0.02258793,0.22081259,0.34257686,0.008662378,0.051606923,0.014992945,0.015597993,0.03706405,0.45825058,0.007844445,0.07776715,0.19507739,0.16609558,0.011192291,0.046293266,0.06824955,0.14838086,0.02248531,0.48952663,0.051079713,0.19259405,0.4262983,0.039840978,0.32522196,0.16216476,0.12709934,0.036458377,0.08041502,0.027735084,0.12744631
