target,中文名,初筛,候选数,选中数,全量R2,选中再训练R2,未选中R2,选中字段
bus_115_va_deg,节点115电压相角,否,24,10,0.9619991833873299,0.9579471354187676,0.8883788478573158,area_1_load_actual_mw|gen_fuel_coal_mw|system_losses_mw|area_2_net_export_mw|gen_fuel_solar_mw|area_3_net_export_mw|area_3_load_day_ahead_mw|gen_fuel_wind_mw|gen_fuel_nuclear_mw|gen_fuel_hydro_mw
bus_215_va_deg,节点215电压相角,否,24,8,0.9883109653661862,0.9769256777023149,0.8829774641113393,gen_fuel_natural_gas_mw|area_1_load_day_ahead_mw|gen_fuel_coal_mw|gen_fuel_solar_mw|gen_fuel_wind_mw|system_losses_mw|area_3_net_export_mw|gen_fuel_hydro_mw
bus_315_va_deg,节点315电压相角,否,24,11,0.9718562297909319,0.9694948081685452,0.9174765671072945,system_losses_mw|gen_fuel_natural_gas_mw|gen_fuel_wind_mw|area_1_load_day_ahead_mw|area_2_load_actual_mw|gen_fuel_solar_mw|area_2_net_export_mw|area_3_load_day_ahead_mw|area_3_net_export_mw|gen_fuel_hydro_mw|gen_fuel_nuclear_mw
branch_ab1_loading_pct,线路AB1负载率,否,21,9,0.9516535845379651,0.9501960206792456,0.858658272527115,reserve_spin_r1_mw|gen_fuel_coal_mw|reserve_spin_r2_mw|gen_fuel_natural_gas_mw|system_losses_mw|gen_fuel_wind_mw|gen_fuel_hydro_mw|area_3_load_day_ahead_mw|gen_fuel_nuclear_mw
branch_ab2_loading_pct,线路AB2负载率,否,21,7,0.9663430352299719,0.9598002431090993,0.8732284873502754,reserve_spin_r1_mw|gen_fuel_wind_mw|gen_fuel_natural_gas_mw|gen_fuel_solar_mw|gen_fuel_coal_mw|reserve_spin_r3_mw|gen_fuel_hydro_mw
branch_ab3_loading_pct,线路AB3负载率,否,21,9,0.9190641875881893,0.9217909393088259,0.7414045700027179,gen_fuel_coal_mw|gen_fuel_natural_gas_mw|area_2_load_actual_mw|area_1_load_actual_mw|gen_fuel_wind_mw|system_losses_mw|gen_fuel_hydro_mw|reserve_spin_r3_mw|gen_fuel_solar_mw
branch_ca_1_loading_pct,线路CA-1负载率,否,21,9,0.9609273489635466,0.959219656874412,0.8160110919410957,gen_fuel_natural_gas_mw|gen_fuel_wind_mw|gen_fuel_solar_mw|gen_fuel_coal_mw|system_losses_mw|area_3_load_actual_mw|area_1_load_day_ahead_mw|gen_fuel_hydro_mw|gen_fuel_nuclear_mw
branch_cb_1_loading_pct,线路CB-1负载率,否,21,10,0.9596187420655976,0.9576264682549391,0.7701147636192553,gen_fuel_natural_gas_mw|gen_fuel_wind_mw|gen_fuel_coal_mw|gen_fuel_solar_mw|system_losses_mw|area_3_load_actual_mw|area_1_load_day_ahead_mw|gen_fuel_hydro_mw|gen_fuel_nuclear_mw|reserve_reg_up_mw
gen_121_nuclear_1_pg_mw,机组121核电出力,否,19,9,0.9733896875228619,0.9594209359073772,0.8443363918222557,gen_fuel_coal_mw|area_1_load_actual_mw|system_losses_mw|gen_fuel_natural_gas_mw|area_1_net_export_mw|area_2_net_export_mw|area_3_load_day_ahead_mw|reserve_reg_up_mw|gen_fuel_hydro_mw
gen_218_cc_1_pg_mw,机组218联合循环出力,否,22,6,0.9768874971244057,0.9451765567477457,0.8616061381821194,reserve_spin_r2_mw|gen_fuel_hydro_mw|gen_fuel_solar_mw|gen_fuel_coal_mw|gen_fuel_wind_mw|system_losses_mw
gen_317_wind_1_pg_mw,机组317风电出力,否,22,11,0.9588731740596829,0.9615608267493212,0.7157883849621329,area_1_net_export_mw|area_3_net_export_mw|area_2_net_export_mw|gen_fuel_natural_gas_mw|gen_fuel_coal_mw|gen_fuel_solar_mw|reserve_spin_r2_mw|gen_fuel_hydro_mw|reserve_spin_r3_mw|system_losses_mw|gen_fuel_nuclear_mw
