方法,说明,n,前n个字段
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.9369700069874172,marginal_loss_price_rt|prelim_load_avg_hourly|total_lmp_rt|gen_fuel_coal_pct|gen_fuel_gas_mw|gen_fuel_nuclear_mw|gen_fuel_other_renewables_mw|gross_sched_interchange_mw|gen_fuel_wind_mw|da_as_as_req_mw_primary_reserve|gen_fuel_multiple_fuels_mw|gross_inadv_interchange_mw|da_as_as_mw_thirty_minutes_reserve|gen_fuel_solar_pct|gen_fuel_hydro_pct|system_energy_price_da|total_pjm_reg_purchases|da_as_nsr_mw_primary_reserve|gen_fuel_oil_mw
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.9360861091182959,wind_generation_mw|marginal_loss_price_rt|system_energy_price_da|da_as_as_mw_thirty_minutes_reserve|gross_sched_interchange_mw|forecast_load_mw_latest_available|gen_fuel_coal_pct|gen_fuel_wind_mw|prelim_load_avg_hourly|gross_inadv_interchange_mw|gen_fuel_nuclear_mw|gen_fuel_gas_mw|gen_fuel_multiple_fuels_mw|gen_fuel_other_renewables_mw|solar_generation_mw|total_lmp_rt|system_energy_price_rt|gen_fuel_coal_mw|da_as_nsr_mw_primary_reserve
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.9264720885469618,gen_fuel_nuclear_mw|wind_generation_mw|prelim_load_avg_hourly|gross_inadv_interchange_mw|system_energy_price_da|marginal_loss_price_rt|gen_fuel_coal_pct|total_pjm_assigned_reg|da_as_nsr_mw_primary_reserve|solar_generation_mw|da_as_as_mw_thirty_minutes_reserve|gen_fuel_wind_mw|da_as_as_req_mw_synchronized_reserve|gross_sched_interchange_mw|forecast_load_mw_latest_available|system_energy_price_rt|gen_fuel_hydro_mw|gen_fuel_gas_mw|total_pjm_rt_load_mwh
XGBoost,树模型特征重要性（2016）,0.9444695116500166,gen_fuel_coal_mw|prelim_load_avg_hourly|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_nuclear_mw|gen_fuel_wind_mw|marginal_loss_price_rt|forecast_load_mw_latest_available|wind_generation_mw|da_as_as_req_mw_primary_reserve|gen_fuel_solar_pct|da_as_as_mw_thirty_minutes_reserve|gen_fuel_oil_mw|gen_fuel_coal_pct|gen_fuel_other_renewables_mw|system_energy_price_da|gross_sched_interchange_mw|gen_fuel_solar_mw|total_lmp_rt|gen_fuel_multiple_fuels_mw
Lasso,线性稀疏（1996）,0.9374723431760864,prelim_load_avg_hourly|total_pjm_rt_load_mwh|gen_fuel_gas_mw|solar_generation_mw|gen_fuel_coal_pct|gen_fuel_coal_mw|marginal_loss_price_rt|system_energy_price_rt|gen_fuel_hydro_mw|gen_fuel_nuclear_pct|total_pjm_rmccp_cr|rmccp|gen_fuel_multiple_fuels_mw|gen_fuel_solar_pct|gen_fuel_nuclear_mw|system_energy_price_da|total_pjm_reg_purchases|da_as_as_req_mw_primary_reserve|gen_fuel_oil_pct
Pearson,相关系数排序（只看两两关系）,0.9220940670145186,gen_fuel_coal_mw|prelim_load_avg_hourly|gen_fuel_coal_pct|forecast_load_mw_latest_available|total_pjm_rt_load_mwh|gen_fuel_nuclear_mw|gross_inadv_interchange_mw|gen_fuel_nuclear_pct|gen_fuel_gas_mw|system_energy_price_da|gen_fuel_other_renewables_pct|marginal_loss_price_rt|gen_fuel_oil_mw|da_as_as_mw_primary_reserve|gen_fuel_oil_pct|total_lmp_rt|system_energy_price_rt|wind_generation_mw|gen_fuel_wind_mw
