wind_generation_mw,solar_generation_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,rmccp,rmpcp,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,system_energy_price_da,system_energy_price_rt,marginal_loss_price_rt,net_inadv_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.776393,0.940737,1.0310166,0.91166764,1.2028311,1.020326,1.0278674,1.0621251,0.8249628,0.73099345,1.148836,0.8913943,0.73437285,1.0122491,1.1433364,0.7114927,0.9232725,0.8219903,0.69701505,0.86887896,0.7099882,0.7973674,0.78472173,0.85981166,0.7552053,0.8786378,0.8164084,0.9279985,0.7193734,0.7794085,0.7696773,0.86413735,0.6902323,0.98493415,0.94523823,1.0068251,0.7193909,0.75640047,0.9582209
0.57748413,0.79143524,0.9516276,0.7697442,1.050998,0.92714727,1.027036,0.94547814,0.5693365,0.53487045,1.0342928,0.65579945,0.53775895,0.84404147,1.1935109,0.5035771,0.74902207,0.62948143,0.46600854,0.7640712,0.4877333,0.5922559,0.579214,0.7597003,0.51157296,0.7669595,0.68985885,0.7326198,0.5068423,0.5867507,0.5774819,0.65211254,0.47259846,0.9161536,0.88158256,0.97418016,0.49589106,0.5709634,0.82305115
0.42051506,0.650618,0.8669146,0.64464706,0.93057895,0.8405049,0.95697844,0.82389826,0.38383698,0.38674098,0.94446284,0.48757145,0.39879936,0.6900807,1.1361152,0.35190836,0.5890887,0.47355154,0.30806616,0.6487456,0.31765223,0.41326085,0.41201782,0.64504665,0.34915805,0.6480106,0.57304883,0.5600502,0.34781986,0.4384445,0.41948947,0.49141315,0.31405455,0.8546153,0.8018236,0.92337966,0.33306864,0.40916374,0.70563745
0.31209877,0.5418664,0.7869707,0.55249196,0.83359706,0.751894,0.86253244,0.7226232,0.24811031,0.28346923,0.8453111,0.3704102,0.30514008,0.5680238,1.0466133,0.2380691,0.46433833,0.33497253,0.19403507,0.5400056,0.20037672,0.2761564,0.2811958,0.5389874,0.23503734,0.5297233,0.455508,0.41823596,0.23713367,0.32430378,0.30652604,0.36583582,0.20342393,0.78547,0.7029285,0.87168235,0.21866229,0.27802128,0.58677626
0.23447785,0.44208738,0.71226144,0.48399577,0.75023025,0.68201756,0.7773046,0.6257254,0.15836377,0.21109672,0.7637286,0.28769603,0.2368854,0.45862845,0.96293265,0.15927252,0.3710026,0.23497891,0.11690705,0.43250895,0.12040547,0.18154125,0.18612759,0.43869987,0.15288195,0.41893858,0.3617589,0.30967593,0.15903394,0.23966348,0.22928333,0.2723506,0.12748082,0.70941925,0.6098335,0.80988,0.14106734,0.18362135,0.47449535
0.18261142,0.35888708,0.6534641,0.42127192,0.68052524,0.61903954,0.69267243,0.5396999,0.096451305,0.16257572,0.6874382,0.23565209,0.19841354,0.38038072,0.88999623,0.10320367,0.2976535,0.16000432,0.06731553,0.341663,0.06948005,0.11371925,0.11861636,0.34642795,0.09574895,0.32164663,0.28295362,0.2312069,0.10454796,0.18033957,0.17060167,0.2046656,0.07737389,0.6392003,0.5204949,0.74926627,0.089865915,0.11848267,0.3790235
0.14352818,0.2892929,0.59243655,0.37272426,0.6214167,0.5544464,0.61870635,0.46024632,0.056726214,0.12565367,0.61397755,0.20955093,0.16856813,0.32372248,0.8193333,0.065541275,0.24087282,0.10559053,0.036706764,0.2670065,0.037969384,0.06813212,0.07274925,0.2678091,0.057911873,0.24268834,0.21595232,0.17295867,0.06666084,0.13910155,0.12707923,0.1533071,0.04514193,0.5705971,0.43853956,0.6870619,0.056402672,0.07375232,0.296253
0.11795072,0.23092969,0.5434011,0.33442628,0.56891054,0.50271165,0.5622731,0.39343867,0.03215128,0.10055607,0.55339897,0.19660221,0.15336472,0.28635994,0.75796705,0.040159073,0.19918354,0.06779254,0.01892061,0.2012725,0.019671546,0.038929135,0.04345332,0.20371896,0.03410546,0.17943698,0.15866455,0.12824287,0.040495932,0.10421741,0.0985715,0.1125308,0.025008757,0.5080324,0.36863768,0.6291024,0.033060625,0.043983586,0.2273744
0.100878276,0.18635449,0.50547576,0.2992104,0.5191643,0.46829578,0.50880975,0.34128937,0.017486386,0.08283799,0.48797253,0.19263747,0.14929275,0.25618157,0.70010555,0.02339736,0.16701742,0.041749906,0.009184278,0.14803542,0.009561704,0.021190016,0.024594875,0.15098578,0.019350389,0.12976332,0.11520381,0.09922119,0.023763139,0.080332324,0.07494443,0.086197354,0.012944011,0.45239818,0.30650213,0.5707928,0.019430943,0.024793798,0.17150123
0.088070385,0.14836943,0.47309327,0.27299535,0.47507477,0.43092808,0.45797145,0.29450426,0.009192161,0.06839148,0.4289054,0.20012641,0.15198047,0.23935385,0.6489112,0.012951177,0.1437504,0.023335349,0.004176138,0.10683929,0.004339434,0.0108272135,0.013357181,0.106018595,0.0106711285,0.08949423,0.07980718,0.08035122,0.013048691,0.06534225,0.05753877,0.0663082,0.006280887,0.39666948,0.2366662,0.49952677,0.010663417,0.013286922,0.1256098
0.07887849,0.11536534,0.45206156,0.258975,0.42810088,0.39995882,0.4155888,0.25338718,0.004380358,0.05696578,0.37819856,0.2093185,0.15355621,0.23012249,0.59041286,0.0067092646,0.122728564,0.013197263,0.0017707904,0.07416691,0.0018205749,0.0051388894,0.0068317642,0.07467803,0.005537574,0.06180433,0.056070764,0.062325604,0.006406684,0.052086614,0.046890065,0.04909991,0.0028233842,0.35236079,0.19466448,0.44047758,0.0056242472,0.0066506728,0.092011444
0.070578866,0.08852003,0.4361962,0.24551293,0.37977612,0.3742341,0.37323016,0.21877426,0.0019647577,0.046446986,0.33448523,0.22077894,0.16110533,0.22252658,0.5404152,0.0032414866,0.10693784,0.0071208696,0.0006925087,0.051264193,0.00070300186,0.0022544374,0.0032483502,0.051889554,0.0026852598,0.040724445,0.03735876,0.052024588,0.002894376,0.04455552,0.03678648,0.03706967,0.00116689,0.31429163,0.15961654,0.39023182,0.0026965688,0.0031042467,0.06741346
