目标,中文名,达标水平,预算n,先达标的方法,方法,测试R2,全量R2,候选数,选中字段
bus_115_va_deg,节点115电压相角,95%,5,DGatingDNN,DGatingDNN,0.9651589780973167,0.9880940106453325,42,area_1_fuel_coal_mw|area_1_fuel_wind_mw|area_1_fuel_natural_gas_mw|area_1_fuel_nuclear_mw|area_1_fuel_hydro_mw
bus_115_va_deg,节点115电压相角,95%,5,DGatingDNN,STG,0.9157712039549383,0.9880940106453325,42,area_1_fuel_wind_mw|area_1_fuel_coal_mw|gen_fuel_nuclear_mw|system_losses_mw|area_1_fuel_solar_mw
bus_115_va_deg,节点115电压相角,95%,5,DGatingDNN,LassoNet,0.9228171697331456,0.9880940106453325,42,system_losses_mw|area_1_fuel_wind_mw|area_1_fuel_natural_gas_mw|area_3_net_export_mw|area_1_fuel_hydro_mw
bus_115_va_deg,节点115电压相角,95%,5,DGatingDNN,XGBoost,0.9408918127843829,0.9880940106453325,42,system_losses_mw|area_1_fuel_wind_mw|gen_fuel_nuclear_mw|area_1_fuel_hydro_mw|area_1_fuel_natural_gas_mw
bus_115_va_deg,节点115电压相角,95%,5,DGatingDNN,Lasso,0.9403248231189926,0.9880940106453325,42,area_1_fuel_wind_mw|gen_fuel_nuclear_mw|area_1_fuel_natural_gas_mw|system_losses_mw|area_1_fuel_hydro_mw
bus_115_va_deg,节点115电压相角,95%,5,DGatingDNN,Pearson,0.8668157115056565,0.9880940106453325,42,system_losses_mw|area_1_fuel_wind_mw|gen_fuel_wind_mw|area_3_fuel_wind_mw|reserve_reg_up_mw
bus_115_va_deg,节点115电压相角,97%,5,DGatingDNN,DGatingDNN,0.9651589780973167,0.9880940106453325,42,area_1_fuel_coal_mw|area_1_fuel_wind_mw|area_1_fuel_natural_gas_mw|area_1_fuel_nuclear_mw|area_1_fuel_hydro_mw
bus_115_va_deg,节点115电压相角,97%,5,DGatingDNN,STG,0.9157712039549383,0.9880940106453325,42,area_1_fuel_wind_mw|area_1_fuel_coal_mw|gen_fuel_nuclear_mw|system_losses_mw|area_1_fuel_solar_mw
bus_115_va_deg,节点115电压相角,97%,5,DGatingDNN,LassoNet,0.9228171697331456,0.9880940106453325,42,system_losses_mw|area_1_fuel_wind_mw|area_1_fuel_natural_gas_mw|area_3_net_export_mw|area_1_fuel_hydro_mw
bus_115_va_deg,节点115电压相角,97%,5,DGatingDNN,XGBoost,0.9408918127843829,0.9880940106453325,42,system_losses_mw|area_1_fuel_wind_mw|gen_fuel_nuclear_mw|area_1_fuel_hydro_mw|area_1_fuel_natural_gas_mw
bus_115_va_deg,节点115电压相角,97%,5,DGatingDNN,Lasso,0.9403248231189926,0.9880940106453325,42,area_1_fuel_wind_mw|gen_fuel_nuclear_mw|area_1_fuel_natural_gas_mw|system_losses_mw|area_1_fuel_hydro_mw
bus_115_va_deg,节点115电压相角,97%,5,DGatingDNN,Pearson,0.8668157115056565,0.9880940106453325,42,system_losses_mw|area_1_fuel_wind_mw|gen_fuel_wind_mw|area_3_fuel_wind_mw|reserve_reg_up_mw
