total_gen,total_losses,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_oil_mw,gen_fuel_storage_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,metered_load_mw,rmccp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_assigned_reg,total_pjm_rmccp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_nsr_mw_primary_reserve,congestion_price_da,marginal_loss_price_da,system_energy_price_rt,total_lmp_rt,congestion_price_rt,marginal_loss_price_rt,net_actual_interchange_mw,net_sched_interchange_mw,gross_actual_interchange_mw,gross_inadv_interchange_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.89502084,1.0055531,1.0359576,0.90974575,0.84760994,0.814684,1.055323,0.8188305,0.7789464,0.83366495,0.78306246,0.7633074,0.8271165,0.95056754,0.90064555,0.7660575,0.8133449,0.9718721,1.0227531,0.79891044,0.79140633,0.8982095,0.961864,0.7724211,0.94649357,0.99875045,1.0801424,0.78363955,0.77509546,0.73947793,0.75270885,0.92337894,0.7602199,1.0449796,1.1431221,0.9308721,0.9823144,0.9901895,0.8577189,0.83660674,0.9545853,0.7423323,0.8136784
0.7358292,0.86883605,0.95759416,0.7635514,0.7480811,0.6549279,0.9726079,0.6471289,0.61387897,0.67405146,0.59711355,0.5627817,0.6306582,0.8711833,0.718476,0.55143654,0.6995664,0.80877155,0.96139085,0.70503837,0.59748703,0.7887624,0.8069007,0.5821656,0.89616853,0.97836673,1.0901713,0.5713837,0.56432825,0.56335706,0.54225147,0.866701,0.5504267,0.9711812,1.1437298,0.81429446,0.9276858,0.9051052,0.7877928,0.67294294,0.8303489,0.5559917,0.67406034
0.60184824,0.7583877,0.8971675,0.64080685,0.6547738,0.50733876,0.9104621,0.5023211,0.48590216,0.52590686,0.43211257,0.40011212,0.48820323,0.8200125,0.58711594,0.3898013,0.59101534,0.6792827,0.89952224,0.6078294,0.43251443,0.685323,0.68581,0.42878023,0.8132472,0.94898546,1.0782866,0.4016789,0.39694464,0.4262341,0.37927604,0.80945146,0.39982107,0.906833,1.1311142,0.69590974,0.85077333,0.8183343,0.7023954,0.5352747,0.71807057,0.42366087,0.592223
0.4722903,0.65949154,0.82579917,0.53925484,0.569191,0.3816418,0.8393903,0.38627762,0.3717944,0.40945542,0.29741624,0.272824,0.37566188,0.7621026,0.48010775,0.26518342,0.4908814,0.55631703,0.83428526,0.5188978,0.3026168,0.5849293,0.57596,0.30545068,0.7406013,0.90575135,1.0465406,0.27240372,0.26685014,0.31285754,0.26031858,0.7497427,0.28340057,0.86270666,1.0938052,0.5635825,0.780314,0.7471964,0.6231529,0.40497643,0.6152363,0.31205714,0.50274116
0.37122685,0.5722547,0.7696349,0.4547104,0.5005411,0.28596422,0.780715,0.2874364,0.2928758,0.3079582,0.1984698,0.17778227,0.28087375,0.7094758,0.39734432,0.17398952,0.4023652,0.45300174,0.7702019,0.43594387,0.2056617,0.48862123,0.49388084,0.2147688,0.6661714,0.8768793,1.0336916,0.17993379,0.17291439,0.22302172,0.1731603,0.70568746,0.19796203,0.814076,1.0743983,0.45998803,0.7057582,0.65502137,0.5385099,0.30423254,0.5260511,0.23315887,0.4343759
0.28634775,0.49376747,0.6992438,0.38691226,0.4355972,0.20944788,0.717459,0.21154301,0.2227231,0.22950573,0.12869936,0.11409352,0.2107602,0.6554081,0.34013262,0.10869328,0.32488313,0.36333174,0.7098753,0.36433837,0.13556558,0.40565285,0.41449666,0.14566278,0.5852603,0.8360652,1.007079,0.11440543,0.10771207,0.15432246,0.11150604,0.6619299,0.1363343,0.7678408,1.0438637,0.3628359,0.6228465,0.5723654,0.45717606,0.22490697,0.44240034,0.16636382,0.35969755
0.2132655,0.43131962,0.64428157,0.32353538,0.3849658,0.14821203,0.6531628,0.15378605,0.16854526,0.16893797,0.07994538,0.06956676,0.15191047,0.6013825,0.29229128,0.06508695,0.25662106,0.28264016,0.6491351,0.29095244,0.086002424,0.33478972,0.34848064,0.09544408,0.5055701,0.78982776,0.9757894,0.07026181,0.064067505,0.103653595,0.06936423,0.6261137,0.09352728,0.7220958,1.0188686,0.30427298,0.56570107,0.5056709,0.3841564,0.16592954,0.3799526,0.123620816,0.30624136
0.16053514,0.38269556,0.59107155,0.2760824,0.34743798,0.10761854,0.5970976,0.1092919,0.12801762,0.1265658,0.047799356,0.041008845,0.10767134,0.55930364,0.25489947,0.037126888,0.19978821,0.21782976,0.5918484,0.23343399,0.052341424,0.27151006,0.30027846,0.061534666,0.43457204,0.741045,0.95438355,0.041931354,0.036760017,0.068150826,0.040904377,0.5833558,0.062493518,0.6706713,1.0013528,0.23243003,0.480616,0.43976995,0.3107251,0.11947878,0.32953268,0.09132072,0.26821992
0.11654776,0.3450128,0.5431377,0.23283902,0.30725685,0.07576724,0.5443122,0.07722504,0.094946906,0.091687016,0.02699541,0.022979802,0.0737709,0.51153064,0.22189784,0.020043494,0.15405387,0.16498545,0.54427415,0.18469729,0.03054633,0.2324313,0.26040068,0.03835069,0.3737957,0.68760484,0.9219347,0.023395525,0.01990718,0.042917594,0.023325793,0.5502291,0.041929964,0.6264312,0.9842194,0.18720591,0.43114215,0.3786597,0.26578,0.08423765,0.29423505,0.066929035,0.2370135
0.08291109,0.31417558,0.49863943,0.20346573,0.2696147,0.054340538,0.48807296,0.052325234,0.06792768,0.0699452,0.014396856,0.012316503,0.04989852,0.4666958,0.20130937,0.010173049,0.117511585,0.12510692,0.49566042,0.14138201,0.017135628,0.20362104,0.2241951,0.022821609,0.31118912,0.6359085,0.8999147,0.012513679,0.0101993345,0.025780784,0.012540466,0.5144903,0.028124515,0.6018545,0.9497739,0.14653787,0.3854045,0.33983558,0.22786291,0.056998264,0.26315075,0.04727938,0.20604858
0.056418628,0.2882538,0.464912,0.16489232,0.23810227,0.037171252,0.441157,0.0342835,0.04854883,0.05265341,0.007260036,0.006200519,0.03166818,0.4220291,0.17511481,0.004834741,0.08716779,0.08776563,0.4573762,0.10590751,0.009069416,0.17192361,0.20244296,0.012850192,0.27099636,0.57134545,0.86715883,0.0062501407,0.0048664487,0.014681266,0.0062723244,0.48823524,0.018614678,0.5695069,0.93456846,0.11752694,0.34066936,0.29300404,0.18874359,0.037470248,0.251745,0.033292845,0.18484613
