选中字段,替身对象,残差比
da_as_as_mw_thirty_minutes_reserve,da_as_total_mw_thirty_minutes_reserve,9.117723462555773e-15
da_as_ss_mw_primary_reserve,da_as_ss_mw_synchronized_reserve,1.2872255708561549e-14
da_as_ss_mw_primary_reserve,da_as_ss_mw_thirty_minutes_reserve,1.2872255708561549e-14
da_as_as_mw_synchronized_reserve,da_as_total_mw_synchronized_reserve,7.419885859172678e-14
