total_gen,total_losses,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_coal_pct,gen_fuel_hydro_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,metered_load_mw,rmccp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_rmccp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,congestion_price_da,system_energy_price_rt,total_lmp_rt,congestion_price_rt,marginal_loss_price_rt,net_actual_interchange_mw,net_sched_interchange_mw,gross_actual_interchange_mw,gross_inadv_interchange_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0487763,1.1269323,0.71745056,0.930357,0.8680456,0.92750096,0.79099715,0.741657,0.8425405,0.7050534,0.8066408,0.9725058,0.84601545,0.94799006,0.9671697,0.7996591,0.73543185,0.89985466,0.9906333,0.9524932,0.8843977,1.0332621,0.8773317,0.69468206,0.8214946,0.7771665,0.9899438,0.80853575,0.7914409,0.8033239,0.7142589,0.7439109,1.2098805,1.0572859,1.0271438,1.0025581,0.8319108,0.93253845,0.98475325,0.75847393,0.823554,0.82057786
0.9546084,1.148651,0.58673555,0.8004467,0.84041506,0.8692097,0.6178453,0.5446304,0.7553254,0.5222384,0.65868807,0.8776305,0.7451628,0.8392255,0.9180966,0.61878824,0.55013335,0.7580506,0.88962644,0.8329787,0.845944,0.923997,0.73350585,0.5674171,0.7627782,0.66149515,0.9354234,0.6218693,0.687672,0.7027418,0.56769705,0.609563,1.2366576,1.0478846,0.97005856,0.9422522,0.70734507,0.88084,0.9011653,0.63878417,0.7216989,0.7233992
0.84051186,1.1373446,0.47690317,0.70522606,0.81831676,0.8027233,0.5305023,0.43437293,0.6923203,0.38554174,0.5334639,0.81410027,0.6555028,0.74600583,0.88324964,0.49830064,0.38900807,0.6429383,0.78969806,0.72980464,0.8019448,0.8453837,0.62128115,0.44664332,0.6819414,0.5952063,0.89627993,0.4794568,0.58859724,0.5869853,0.47503808,0.49599805,1.2556115,1.048113,0.9177039,0.8905794,0.5990861,0.83904535,0.8144181,0.52107966,0.6208435,0.6361454
0.72610354,1.1135595,0.3800877,0.5856792,0.78801733,0.7222862,0.47736013,0.35302097,0.64204216,0.27679452,0.43074724,0.7288664,0.53952116,0.6656703,0.8183731,0.3985341,0.27213496,0.5298498,0.69042724,0.6171555,0.7369098,0.759639,0.50098366,0.36955667,0.62120694,0.5651268,0.8566696,0.36319736,0.5118437,0.5060934,0.3819578,0.41331938,1.2441878,1.0366805,0.82374376,0.82794285,0.5116095,0.77663153,0.75341475,0.42331228,0.5266235,0.550252
0.66034406,1.0941434,0.30896172,0.4908839,0.7644896,0.64460623,0.41810557,0.28783143,0.5747789,0.19668548,0.36306787,0.64595556,0.44478318,0.5906737,0.7847846,0.31141293,0.18938299,0.43066525,0.5792688,0.5029009,0.68433654,0.676512,0.46103215,0.32000315,0.5665398,0.5226833,0.8425968,0.2794873,0.46265817,0.46666834,0.30727705,0.33344975,1.2535,1.0337179,0.75429153,0.75542605,0.44071645,0.73128444,0.71617,0.33648324,0.44279015,0.49253178
0.61141443,1.0788275,0.24662776,0.4266617,0.75270164,0.58564025,0.39363897,0.24081148,0.5252391,0.13529943,0.31083485,0.5911587,0.37455124,0.5394476,0.7423156,0.25201705,0.12511654,0.3626731,0.5052173,0.4294935,0.6120447,0.6117077,0.402819,0.27269018,0.5243985,0.50706947,0.8326137,0.21091515,0.40973452,0.4532246,0.2516615,0.27983922,1.2350044,0.9875604,0.67316896,0.690144,0.3914984,0.69741297,0.65254027,0.2578198,0.36568293,0.44587287
0.5325248,1.0554831,0.20020784,0.34065497,0.7369826,0.53348804,0.36428237,0.21000737,0.4927448,0.09081241,0.2526121,0.570936,0.3154676,0.48301694,0.6936197,0.22002994,0.08330418,0.28545633,0.42939192,0.34808418,0.56144476,0.5494498,0.35580972,0.23698086,0.48134398,0.5022501,0.792353,0.14836498,0.35940224,0.39475748,0.20696606,0.23289967,1.2183058,0.9946384,0.6311736,0.64946645,0.33939055,0.66264766,0.616465,0.20252305,0.3058854,0.39715353
0.4774758,1.0551565,0.16217029,0.28449628,0.7077038,0.4878747,0.34940195,0.17537028,0.4775303,0.05825281,0.21621034,0.5169247,0.2697423,0.44316047,0.6749796,0.1825854,0.05199094,0.22408888,0.35571867,0.27784893,0.5144524,0.49546108,0.30559018,0.2092546,0.43836194,0.46238947,0.74418837,0.106262684,0.32298058,0.38483182,0.16316037,0.18133654,1.2233092,0.9642519,0.5836457,0.6013491,0.32188553,0.63767785,0.5654319,0.15081994,0.25870466,0.3491108
0.45748714,1.0448955,0.1484895,0.24553992,0.71276927,0.44244018,0.31557724,0.14842567,0.4496179,0.038238764,0.17933542,0.48658583,0.22185878,0.4155782,0.6502243,0.15413928,0.033483937,0.17992279,0.29777545,0.22647133,0.47296503,0.4570722,0.27218604,0.19130105,0.4014416,0.45418105,0.72369856,0.073749945,0.29474518,0.37634256,0.13657811,0.1500767,1.2000816,0.93155485,0.53645235,0.56149834,0.28938943,0.60796016,0.52894664,0.10994535,0.22205158,0.3218338
