solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmccp,total_pjm_rt_load_mwh,total_pjm_reg_purchases,total_pjm_assigned_reg,total_pjm_rmccp_cr,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_ss_mw_primary_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,system_energy_price_rt,total_lmp_rt,marginal_loss_price_rt,gross_sched_interchange_mw,gross_inadv_interchange_mw
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.4992763,0.4709213,0.45887217,0.43380952,0.42785525,0.48857066,0.44768724,0.43367064,0.46562505,0.46656686,0.4780545,0.48484743,0.42725018,0.4855745,0.45262563,0.4338587,0.4662563,0.48775905,0.49218094,0.45773894,0.42097604,0.47271025,0.50116706,0.4947787,0.41810387,0.41657037,0.3908462,0.37867448,0.4621785,0.4317694,0.46476182,0.4356761,0.42917097,0.43147,0.44457752,0.43900156,0.54745275,0.6489615
0.47315806,0.4106222,0.41203776,0.42840835,0.4071025,0.49564043,0.4388088,0.41138676,0.4580593,0.44507438,0.44831002,0.4574129,0.4255204,0.47864398,0.39750957,0.40169358,0.414222,0.46305585,0.4780995,0.41861737,0.35207576,0.45250902,0.5122636,0.47297862,0.40349594,0.39927635,0.32150984,0.32599118,0.45318907,0.405265,0.45927134,0.41175914,0.36283338,0.4249661,0.44277805,0.43123546,0.6011267,0.7562164
0.4823403,0.3788576,0.38178393,0.40862888,0.40573934,0.5080818,0.41962904,0.41981918,0.4634117,0.40270218,0.42337808,0.45364687,0.40721014,0.49239013,0.36800033,0.37895697,0.37640646,0.43601888,0.46002397,0.38517684,0.25943774,0.4322706,0.52941495,0.4691119,0.37360433,0.38546026,0.24806894,0.2775226,0.46316501,0.36566442,0.4579785,0.3740983,0.33212933,0.40491584,0.4245395,0.41877654,0.6409671,0.8262355
0.47811207,0.35134032,0.362752,0.40369576,0.3876087,0.5277848,0.40144292,0.4125566,0.4598267,0.3639699,0.38722938,0.44366118,0.38539404,0.5001558,0.34854603,0.36938092,0.33034956,0.41121742,0.4396681,0.36382997,0.1805829,0.41084102,0.53593177,0.46140933,0.32719037,0.3541476,0.17315501,0.22811626,0.44777212,0.31626108,0.44722584,0.3343383,0.2955269,0.37973484,0.4048527,0.4049031,0.67990106,0.89611995
0.46428883,0.3149083,0.34586093,0.39259192,0.3870238,0.55646384,0.3700334,0.38098547,0.45327517,0.32345104,0.35734016,0.47904894,0.37872478,0.52832204,0.31623048,0.34401777,0.29935777,0.38699907,0.44201523,0.3456288,0.09682163,0.405346,0.5399744,0.45672068,0.28894487,0.35562807,0.085191764,0.18137932,0.42855793,0.26172823,0.43061736,0.2924483,0.2808216,0.3481115,0.38421348,0.397525,0.7061687,0.9613872
0.45252603,0.27299103,0.32479134,0.38483164,0.39813408,0.57877904,0.35365862,0.38753542,0.44930872,0.28039905,0.33271644,0.5116979,0.3575271,0.57086694,0.2980864,0.32570362,0.26964277,0.35206,0.42164004,0.32536113,0.005730851,0.3950173,0.5474643,0.44172984,0.24380885,0.34105867,0.024049355,0.11906129,0.39200822,0.19654594,0.42210665,0.23148876,0.2471897,0.32126245,0.36449176,0.38567752,0.73060733,1.0
0.4550296,0.2392573,0.32368213,0.35941672,0.39848703,0.5990822,0.3419035,0.3918758,0.44288203,0.24118151,0.28823635,0.5608827,0.34897283,0.5765846,0.27990872,0.2873758,0.23115271,0.3172019,0.4052011,0.3000472,0.0,0.39495724,0.5760164,0.43368402,0.1929023,0.32279223,0.0,0.068391405,0.3647473,0.14421408,0.41657302,0.17227697,0.21945688,0.28994784,0.33957806,0.36906633,0.7645422,1.0
0.4534253,0.1875982,0.2995954,0.34362027,0.3980694,0.6323364,0.31916806,0.37728837,0.44600445,0.19537576,0.24705087,0.58578545,0.3364036,0.6071688,0.25218335,0.24947864,0.21015176,0.28789705,0.38836098,0.2720926,0.0,0.38126004,0.58500016,0.42364636,0.124112114,0.29777607,0.0,0.003835291,0.34805396,0.07716422,0.4154228,0.11239824,0.19358762,0.26998624,0.3140912,0.34785238,0.8198283,1.0
0.43938744,0.14089143,0.28518122,0.33870137,0.38212973,0.65353984,0.2977178,0.38806456,0.4459702,0.15072602,0.19449589,0.6125556,0.3264326,0.6489338,0.2517999,0.22254236,0.18431999,0.24312782,0.36686638,0.23920083,0.0,0.37067622,0.6061329,0.40177217,0.06356811,0.26953164,0.0,0.0,0.32841268,0.012133352,0.41503268,0.0481796,0.15521426,0.23762694,0.2814055,0.3234099,0.8600139,1.0
0.41471186,0.10032174,0.26169643,0.3049664,0.36141813,0.68318385,0.26633558,0.39158997,0.43589535,0.10551931,0.16235763,0.6602758,0.31967458,0.6767889,0.22521996,0.19153096,0.15652837,0.19773602,0.35601926,0.19853921,0.0,0.35513866,0.60842896,0.38406318,0.00069153425,0.24307601,0.0,0.0,0.3212051,0.0,0.40961924,0.0,0.12598793,0.19022007,0.24925457,0.31420642,0.9038372,1.0
0.42027125,0.052165937,0.24504083,0.28538597,0.35530236,0.7241943,0.25091362,0.3885343,0.42239672,0.044613115,0.12838498,0.6961579,0.30067015,0.72598135,0.22839642,0.15832596,0.11466275,0.12906142,0.33912688,0.16562445,0.0,0.33249202,0.6296162,0.37227374,0.0,0.21858986,0.0,0.0,0.3262716,0.0,0.41355264,0.0,0.08481283,0.14875196,0.2077381,0.29804814,0.9370078,1.0
0.41496855,0.007871855,0.22491145,0.2655267,0.34567183,0.7511434,0.23891579,0.39601064,0.40647694,0.0,0.07457094,0.735465,0.28607577,0.7651458,0.19844511,0.104745634,0.084879465,0.07412856,0.3169164,0.11521563,0.0,0.3138141,0.64615905,0.35089943,0.0,0.18550664,0.0,0.0,0.31950808,0.0,0.42418265,0.0,0.036074623,0.093405135,0.15639423,0.27664855,0.9577484,1.0
0.42374608,0.0,0.20122811,0.24326496,0.34315783,0.78606343,0.22611512,0.41313198,0.40119123,0.0,0.04504689,0.75712115,0.28394258,0.7993597,0.17729814,0.07326471,0.055601347,0.029531796,0.29594776,0.07644196,0.0,0.2861084,0.6678492,0.32715297,0.0,0.15535717,0.0,0.0,0.30143556,0.0,0.42166236,0.0,0.0,0.04055145,0.11669802,0.24503362,0.9939971,1.0
0.42963415,0.0,0.18914841,0.21554157,0.32648852,0.8227317,0.19029231,0.42576772,0.3978283,0.0,0.0031997198,0.81202245,0.26750392,0.83800083,0.1731799,0.048218537,0.021639822,0.0,0.27061152,0.03880693,0.0,0.26344404,0.6969729,0.30197623,0.0,0.11544483,0.0,0.0,0.30349523,0.0,0.4209826,0.0,0.0,0.0,0.07173517,0.22120875,1.0,1.0
0.41077554,0.0,0.16073585,0.19763844,0.30347154,0.84418464,0.1799926,0.44293004,0.39461306,0.0,0.0,0.83823264,0.2597088,0.86551934,0.1530485,0.023494761,0.0,0.0,0.23602825,0.0010053732,0.0,0.23424843,0.71438307,0.27498722,0.0,0.065856986,0.0,0.0,0.29032338,0.0,0.41597226,0.0,0.0,0.0,0.013636572,0.1858467,1.0,1.0
0.41174054,0.0,0.13643537,0.17236431,0.29147032,0.8768876,0.1727812,0.47128877,0.3859654,0.0,0.0,0.88613683,0.2606599,0.90776885,0.13658795,0.0,0.0,0.0,0.22353801,0.0,0.0,0.20101963,0.74618274,0.27008456,0.0,0.018710297,0.0,0.0,0.30392906,0.0,0.40768978,0.0,0.0,0.0,0.0,0.14978695,1.0,1.0
0.41209817,0.0,0.118333675,0.14873695,0.27034387,0.9093192,0.15399979,0.50626206,0.38565966,0.0,0.0,0.9401749,0.22941853,0.9413643,0.11592821,0.0,0.0,0.0,0.1929118,0.0,0.0,0.17679548,0.76665586,0.22987734,0.0,0.0,0.0,0.0,0.29957557,0.0,0.39551398,0.0,0.0,0.0,0.0,0.10935735,1.0,1.0
0.43286994,0.0,0.09991676,0.1305353,0.2483918,0.96069187,0.12653403,0.54927784,0.39405036,0.0,0.0,0.9751616,0.21832475,0.98865205,0.09879,0.0,0.0,0.0,0.1703269,0.0,0.0,0.17502338,0.7850474,0.1971946,0.0,0.0,0.0,0.0,0.2991003,0.0,0.3971629,0.0,0.0,0.0,0.0,0.07065292,1.0,1.0
0.44181308,0.0,0.07320797,0.10709026,0.21879065,0.99499696,0.12494821,0.58998203,0.39943546,0.0,0.0,1.0,0.21453547,1.0,0.062933184,0.0,0.0,0.0,0.14592229,0.0,0.0,0.15670468,0.8057082,0.18021756,0.0,0.0,0.0,0.0,0.3200356,0.0,0.39198336,0.0,0.0,0.0,0.0,0.017233297,1.0,1.0
0.43223056,0.0,0.05752984,0.06783733,0.18635304,1.0,0.11492982,0.6170937,0.3782,0.0,0.0,1.0,0.19758618,1.0,0.023104802,0.0,0.0,0.0,0.110676564,0.0,0.0,0.14809288,0.8294289,0.15650219,0.0,0.0,0.0,0.0,0.3237356,0.0,0.39849117,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.432482,0.0,0.023129601,0.0343645,0.15812162,1.0,0.10719012,0.6379737,0.3720608,0.0,0.0,1.0,0.19129947,1.0,0.0008038262,0.0,0.0,0.0,0.08804113,0.0,0.0,0.13417517,0.8602746,0.1173095,0.0,0.0,0.0,0.0,0.35578138,0.0,0.39996463,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.44168153,0.0,0.0,0.0018368823,0.11784502,1.0,0.08343634,0.6713992,0.35418308,0.0,0.0,1.0,0.15232164,1.0,0.0,0.0,0.0,0.0,0.052693587,0.0,0.0,0.12413505,0.8802609,0.07774211,0.0,0.0,0.0,0.0,0.3529262,0.0,0.41185993,0.0,0.0,0.0,0.0,0.0,1.0,1.0
