total_gen,total_losses,wind_generation_mw,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,metered_load_mw,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_ss_mw_primary_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,system_energy_price_rt,total_lmp_rt,congestion_price_rt,marginal_loss_price_rt,net_actual_interchange_mw,net_sched_interchange_mw,net_inadv_interchange_mw,gross_actual_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.4803323,0.54500264,0.4121984,0.4330999,0.4595196,0.48494554,0.43451825,0.52521294,0.5770702,0.5054992,0.5022291,0.38769668,0.46724173,0.49622545,0.44037682,0.4381044,0.5141627,0.541585,0.4435555,0.51635677,0.45326155,0.45307666,0.4869749,0.454033,0.38930547,0.42246118,0.42510065,0.42739427,0.4512586,0.45573118,0.40479073,0.42226368,0.41415504,0.42974833,0.4963645,0.5290204,0.5299116,0.50758916,0.4883551,0.4640394,0.5376423,0.52007246,0.43774143,0.52098626,0.5378467,0.55032116,0.43376073,0.45183435,0.45556313,0.45705518,0.43524233,0.4252385,0.52686536,0.5121756,0.37545368,0.4490606,0.4376115,0.37619895
0.4507611,0.57621765,0.38620147,0.3816303,0.44164103,0.4960343,0.4136381,0.52602607,0.6723894,0.49736494,0.5172785,0.3216774,0.41810057,0.49120295,0.42327335,0.41670868,0.5012374,0.5529897,0.4339759,0.5380609,0.4387281,0.41855606,0.4944608,0.43484515,0.35633394,0.38236085,0.3690724,0.38899192,0.41990098,0.42366257,0.32656536,0.38661587,0.3577456,0.41618082,0.48767382,0.5213513,0.55086476,0.49318144,0.49982885,0.440806,0.58043826,0.54245293,0.4578604,0.51519513,0.5782518,0.57986885,0.40620083,0.40219775,0.4190403,0.42927483,0.3872112,0.36671454,0.53361154,0.5049382,0.26428708,0.41576743,0.40866557,0.32469898
0.44041,0.6006357,0.35102847,0.32655567,0.43571636,0.50416976,0.42681497,0.54563546,0.7393071,0.5159868,0.5167874,0.22492233,0.37798598,0.49912053,0.4520673,0.44136268,0.515515,0.56932235,0.43862766,0.55077165,0.4228283,0.39155042,0.47434938,0.41573074,0.30925065,0.345269,0.30209133,0.3443246,0.38151914,0.39250088,0.22999217,0.3422004,0.29215905,0.4017417,0.4814765,0.517788,0.5516395,0.4879613,0.49348587,0.424568,0.62112534,0.57561105,0.45531335,0.5216794,0.62667596,0.5960863,0.3441053,0.35558584,0.38091913,0.3893872,0.34147373,0.3059933,0.5388824,0.51299214,0.15247948,0.37871748,0.379451,0.25246188
0.42598018,0.6455314,0.30745962,0.27187255,0.4179373,0.51046157,0.4206453,0.56293786,0.8110379,0.50857854,0.51593345,0.15118095,0.33153275,0.48104468,0.4952156,0.4720434,0.5230954,0.57872605,0.43471882,0.55735767,0.40455037,0.36551285,0.46297243,0.3974592,0.2618474,0.3080382,0.23510861,0.2993263,0.34061983,0.36939642,0.12906268,0.29418814,0.21733648,0.38228196,0.478338,0.5140739,0.5660508,0.48532146,0.48955727,0.40612033,0.6579196,0.59403247,0.4678901,0.52225244,0.66402,0.6315701,0.30458057,0.30169284,0.34134835,0.33476913,0.31133822,0.23879004,0.54649377,0.5253934,0.03928087,0.35716137,0.35702536,0.16707833
0.3972529,0.65931445,0.26387563,0.21805361,0.42383197,0.5200774,0.41781798,0.5709785,0.8611292,0.50905746,0.5030999,0.08584937,0.28138536,0.4877801,0.5350334,0.47536418,0.5196524,0.59397316,0.43367493,0.5489258,0.37308544,0.33022973,0.4616833,0.37627268,0.20621222,0.2676493,0.14293012,0.24661389,0.29272532,0.3165012,0.028268699,0.25163412,0.14454232,0.3548237,0.46734154,0.51461893,0.5689297,0.48058867,0.4954896,0.39417675,0.68491566,0.62123746,0.47816363,0.51536226,0.6863044,0.6692127,0.23795688,0.24393973,0.29606816,0.30218536,0.2570974,0.15681086,0.55392337,0.5265919,0.0,0.3255911,0.33151603,0.09184288
0.3700297,0.6838122,0.23268828,0.17136152,0.41182962,0.528302,0.41859975,0.5772848,0.92213076,0.5105071,0.5045227,0.021202765,0.23414442,0.489336,0.5728177,0.49201468,0.5391876,0.6088501,0.42232177,0.5507479,0.35413828,0.2959126,0.45085397,0.3461129,0.14810036,0.22649032,0.047995552,0.19247937,0.25423554,0.2871532,0.0,0.20426436,0.07325191,0.3265243,0.46781406,0.5056227,0.5710078,0.46158072,0.49341574,0.36184973,0.71563584,0.64741343,0.4817846,0.5174975,0.7359574,0.70510715,0.17643955,0.17533202,0.25074586,0.25931218,0.21470587,0.08044219,0.54908526,0.5312117,0.0,0.2901122,0.3052078,0.02077052
0.34531578,0.71736777,0.19733053,0.12001071,0.41264316,0.54561967,0.41149357,0.59022677,0.96911067,0.5024277,0.4942113,0.0,0.17170036,0.49292395,0.6107223,0.5057219,0.543341,0.6229809,0.43211254,0.56164527,0.3427799,0.25774327,0.42934972,0.33701253,0.07702086,0.20024443,0.0,0.11792641,0.21461274,0.24334453,0.0,0.148823,0.0,0.29419017,0.4533278,0.49828452,0.56056833,0.4602358,0.4918569,0.33096686,0.76420593,0.66185683,0.4896092,0.52298653,0.760348,0.7292928,0.114832334,0.09987555,0.20527267,0.21176566,0.18464881,0.006437091,0.5511604,0.54085225,0.0,0.25190142,0.2945432,0.0
0.32046214,0.7451317,0.14131698,0.07062762,0.44152972,0.5590773,0.41494143,0.6069717,1.0,0.49607515,0.5165603,0.0,0.09919714,0.48857743,0.6681872,0.52331567,0.56022465,0.6433109,0.4429404,0.5575738,0.33203372,0.22277682,0.40498748,0.32349318,0.011547733,0.15470523,0.0,0.035436064,0.18122241,0.21334714,0.0,0.08665358,0.0,0.25792718,0.44382507,0.49210715,0.56003445,0.46064374,0.48242447,0.28254923,0.812704,0.69070375,0.4962426,0.52668875,0.79537493,0.7595111,0.060268026,0.028494189,0.14887457,0.15085472,0.14175269,0.0,0.5420894,0.5315513,0.0,0.22027221,0.28280836,0.0
0.2806953,0.76923686,0.08858751,0.03316782,0.43785864,0.5750074,0.4102753,0.6149802,1.0,0.48992002,0.5090716,0.0,0.028405936,0.4695336,0.7283827,0.5507612,0.55427665,0.6617629,0.43370983,0.5612209,0.2886421,0.19150206,0.39001265,0.30074948,0.0,0.10485445,0.0,0.0,0.1459687,0.17974855,0.0,0.04258905,0.0,0.22089006,0.42371365,0.48628184,0.56277573,0.45758832,0.4725121,0.24426758,0.8515908,0.7023266,0.49975115,0.5051526,0.8441894,0.79950404,0.0,0.0,0.09796827,0.09958939,0.0905458,0.0,0.5403857,0.5180443,0.0,0.17509861,0.25647092,0.0
