方法,说明,n,前n个字段
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.9740320185686978,marginal_loss_price_da|da_as_as_mw_thirty_minutes_reserve|da_as_mcp_synchronized_reserve|net_sched_interchange_mw|total_losses|total_lmp_rt|congestion_price_da|gen_fuel_oil_mw|prelim_load_avg_hourly|gross_sched_interchange_mw|gen_fuel_coal_pct|total_pjm_reg_purchases
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.9655241823010632,gross_sched_interchange_mw|total_losses|congestion_price_da|marginal_loss_price_da|da_as_mcp_primary_reserve|da_as_mcp_synchronized_reserve|da_as_as_mw_thirty_minutes_reserve|gen_fuel_oil_mw|system_energy_price_rt|da_as_as_req_mw_thirty_minutes_reserve|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_primary_reserve
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.9624031166839976,marginal_loss_price_da|gen_fuel_oil_mw|da_as_mcp_synchronized_reserve|forecast_load_mw_latest_available|congestion_price_da|da_as_as_mw_thirty_minutes_reserve|gen_fuel_coal_mw|gross_inadv_interchange_mw|total_pjm_reg_purchases|congestion_price_rt|total_losses|gross_actual_interchange_mw
XGBoost,树模型特征重要性（2016）,0.9512435171905603,marginal_loss_price_da|total_lmp_rt|da_as_mcp_synchronized_reserve|gen_fuel_oil_mw|system_energy_price_rt|da_as_mcp_primary_reserve|marginal_loss_price_rt|metered_load_mw|congestion_price_da|forecast_load_mw_latest_available|da_as_as_mw_thirty_minutes_reserve|prelim_load_avg_hourly
Lasso,线性稀疏（1996）,0.9655015143130663,da_as_mcp_synchronized_reserve|marginal_loss_price_da|gen_fuel_oil_mw|da_as_as_mw_thirty_minutes_reserve|congestion_price_da|gen_fuel_coal_mw|da_as_mcp_primary_reserve|gross_sched_interchange_mw|congestion_price_rt|total_losses|total_pjm_reg_purchases|net_actual_interchange_mw
Pearson,相关系数排序（只看两两关系）,0.934469249668219,marginal_loss_price_da|gen_fuel_oil_mw|gen_fuel_oil_pct|da_as_mcp_synchronized_reserve|da_as_mcp_primary_reserve|total_lmp_rt|system_energy_price_rt|forecast_load_mw_latest_available|prelim_load_avg_hourly|metered_load_mw|marginal_loss_price_rt|total_pjm_rt_load_mwh
