k,DGatingDNN,STG,LassoNet,XGBoost,Lasso,Pearson
1,0.07970107151626715,0.07970107151626715,0.5129072704952302,0.5129072704952302,0.5129072704952302,0.5129072704952302
3,0.8048446767657953,0.7957942519797097,0.7847858467819067,0.7847858467819067,0.8058252834256573,0.7847858467819067
5,0.8802923483327089,0.8927156247352547,0.8365427270693752,0.8847000023521364,0.8742925620886661,0.8052632971546385
10,0.9576264682549391,0.9555458754124354,0.951888592932436,0.9583793964155227,0.9570871254972696,0.9250964847550786
15,0.9577760899623308,0.9587917790856582,0.9601049478785901,0.9592326313755071,0.9577530554547963,0.9581776659570655
21,0.9582241740538111,0.9575145040283944,0.9594903867464807,0.9595535966110981,0.9598598333605984,0.9597302385730005
