方法,说明,n,前n个字段
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.9576264682549391,gen_fuel_natural_gas_mw|gen_fuel_wind_mw|gen_fuel_coal_mw|gen_fuel_solar_mw|system_losses_mw|area_3_load_actual_mw|area_1_load_day_ahead_mw|gen_fuel_hydro_mw|gen_fuel_nuclear_mw|reserve_reg_up_mw
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.9555458754124354,gen_fuel_natural_gas_mw|gen_fuel_wind_mw|system_losses_mw|gen_fuel_hydro_mw|gen_fuel_coal_mw|area_1_load_day_ahead_mw|gen_fuel_nuclear_mw|gen_fuel_solar_mw|area_3_load_day_ahead_mw|reserve_reg_up_mw
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.951888592932436,gen_fuel_wind_mw|system_losses_mw|gen_fuel_solar_mw|reserve_reg_up_mw|gen_fuel_hydro_mw|gen_fuel_coal_mw|area_3_load_day_ahead_mw|area_3_load_actual_mw|gen_fuel_natural_gas_mw|gen_fuel_nuclear_mw
XGBoost,树模型特征重要性（2016）,0.9583793964155227,gen_fuel_wind_mw|system_losses_mw|gen_fuel_solar_mw|gen_fuel_natural_gas_mw|gen_fuel_coal_mw|gen_fuel_hydro_mw|area_1_load_day_ahead_mw|gen_fuel_nuclear_mw|reserve_spin_r3_mw|area_3_load_actual_mw
Lasso,线性稀疏（1996）,0.9570871254972696,gen_fuel_wind_mw|gen_fuel_natural_gas_mw|gen_fuel_coal_mw|reserve_spin_r3_mw|gen_fuel_solar_mw|system_losses_mw|gen_fuel_hydro_mw|reserve_spin_r1_mw|gen_fuel_nuclear_mw|area_1_load_actual_mw
Pearson,相关系数排序（只看两两关系）,0.9250964847550786,gen_fuel_wind_mw|system_losses_mw|gen_fuel_solar_mw|reserve_reg_up_mw|reserve_reg_down_mw|gen_fuel_nuclear_mw|gen_fuel_coal_mw|gen_fuel_hydro_mw|area_3_load_actual_mw|reserve_spin_r3_mw
