方法,说明,n,前n个字段
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.9598002431090993,reserve_spin_r1_mw|gen_fuel_wind_mw|gen_fuel_natural_gas_mw|gen_fuel_solar_mw|gen_fuel_coal_mw|reserve_spin_r3_mw|gen_fuel_hydro_mw
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.9583783372396324,gen_fuel_coal_mw|gen_fuel_hydro_mw|gen_fuel_wind_mw|system_losses_mw|gen_fuel_solar_mw|gen_fuel_natural_gas_mw|area_1_load_actual_mw
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.9391148918482248,system_losses_mw|gen_fuel_solar_mw|reserve_spin_r1_mw|area_1_load_day_ahead_mw|gen_fuel_wind_mw|gen_fuel_hydro_mw|gen_fuel_natural_gas_mw
XGBoost,树模型特征重要性（2016）,0.9449122354438859,system_losses_mw|gen_fuel_solar_mw|area_1_load_day_ahead_mw|gen_fuel_coal_mw|area_1_load_actual_mw|gen_fuel_wind_mw|gen_fuel_nuclear_mw
Lasso,线性稀疏（1996）,0.9548404134711919,gen_fuel_wind_mw|gen_fuel_natural_gas_mw|gen_fuel_hydro_mw|area_1_load_actual_mw|reserve_spin_r3_mw|gen_fuel_coal_mw|reserve_spin_r1_mw
Pearson,相关系数排序（只看两两关系）,0.6983969829236398,system_losses_mw|reserve_spin_r2_mw|area_2_load_actual_mw|area_2_load_day_ahead_mw|reserve_spin_r1_mw|area_1_load_actual_mw|area_1_load_day_ahead_mw
