wind_generation_mw,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_ss_mw_primary_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,system_energy_price_rt,total_lmp_rt,marginal_loss_price_rt,net_inadv_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
0.14090094,0.036011823,0.10631187,0.61619866,0.6404282,0.6458293,1.0,0.61125207,0.69635236,0.0,0.0,0.32932702,0.82565415,0.8362901,0.42681065,0.67294437,0.51533675,0.5190044,0.06864683,0.14698488,0.391455,0.25163963,0.47280073,0.0,0.0,0.20109296,0.0,0.0,0.057157762,0.37225145,0.18373936,0.5168104,0.47813863,0.62183195,0.44659486,0.5917913,0.27577457,0.94506913,0.700923,0.5351124,0.23575263,1.0,0.111197025,0.28204533,0.21832009,0.0,0.013138333,0.08098822
0.08574522,0.0,0.067468606,0.6429415,0.66080797,0.6526686,1.0,0.61275345,0.716937,0.0,0.0,0.3131032,0.8642611,0.86817205,0.43409494,0.6712559,0.5163547,0.5082819,0.018349353,0.10563933,0.37494615,0.22706634,0.452564,0.0,0.0,0.14969103,0.0,0.0,0.0,0.38305402,0.1409765,0.53216124,0.46198633,0.61945844,0.42507884,0.59147954,0.22710633,0.9847863,0.7256082,0.5448177,0.19928844,1.0,0.05382626,0.25535813,0.17464426,0.0,0.0,0.021256363
0.03510286,0.0,0.023087667,0.67004275,0.6807685,0.66403896,1.0,0.6131369,0.74055046,0.0,0.0,0.2817609,0.8978323,0.9222046,0.41598624,0.6838046,0.5078169,0.50508606,0.0,0.06495124,0.36562592,0.19863226,0.43229416,0.0,0.0,0.10184517,0.0,0.0,0.0,0.41836953,0.090695664,0.54032004,0.44163364,0.6117787,0.40378624,0.5972821,0.184028,1.0,0.75826675,0.5751085,0.16573709,1.0,0.0,0.22739904,0.124126,0.0,0.0,0.0
0.005027586,0.0,0.0,0.6882846,0.69813955,0.67857647,1.0,0.6126598,0.7528254,0.0,0.0,0.26870677,0.9395967,0.96628344,0.40657246,0.69705087,0.5103034,0.50004214,0.0,0.032493018,0.3743883,0.17048141,0.40480936,0.0,0.0,0.061887417,0.0,0.0,0.0,0.4393361,0.037554123,0.5550595,0.4315092,0.61770236,0.38750777,0.5946304,0.12237604,1.0,0.79135615,0.5862668,0.13011226,1.0,0.0,0.18745644,0.06529328,0.0,0.0,0.0
0.0,0.0,0.0,0.7108839,0.70901346,0.7036573,1.0,0.6198356,0.78060776,0.0,0.0,0.24414046,0.9614497,0.9963504,0.38858217,0.7059671,0.5037333,0.48563275,0.0,0.0,0.362485,0.113757774,0.3827079,0.0,0.0,0.017115157,0.0,0.0,0.0,0.46248826,0.0,0.5619369,0.41213897,0.6233688,0.36087754,0.59839416,0.06908843,1.0,0.82629555,0.5932974,0.08319128,1.0,0.0,0.1526679,0.013612032,0.0,0.0,0.0
0.0,0.0,0.0,0.72971416,0.72011805,0.7057284,1.0,0.61216897,0.80806917,0.0,0.0,0.21292076,0.9894734,1.0,0.35504097,0.7185447,0.5037985,0.4665317,0.0,0.0,0.33404985,0.072314784,0.35446116,0.0,0.0,0.0,0.0,0.0,0.0,0.4915698,0.0,0.5719235,0.3882465,0.6278712,0.3456269,0.6085762,0.017131478,1.0,0.8559574,0.6011626,0.020998389,1.0,0.0,0.10088574,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.7605587,0.7396027,0.7245488,1.0,0.61944646,0.83834064,0.0,0.0,0.19279249,1.0,1.0,0.32054135,0.7356974,0.5077304,0.46076685,0.0,0.0,0.3122414,0.026178373,0.32943463,0.0,0.0,0.0,0.0,0.0,0.0,0.52763563,0.0,0.5905834,0.35908586,0.62212336,0.3086208,0.6162942,0.0,1.0,0.87055093,0.6184319,0.0,1.0,0.0,0.045842823,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.7965727,0.7403296,0.7384294,1.0,0.6195551,0.8701084,0.0,0.0,0.16004708,1.0,1.0,0.29759723,0.74147236,0.49418944,0.44066286,0.0,0.0,0.29636753,0.0,0.291923,0.0,0.0,0.0,0.0,0.0,0.0,0.54728705,0.0,0.59580535,0.3383494,0.61655545,0.2809683,0.6196217,0.0,1.0,0.89558077,0.6250274,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.817599,0.75887424,0.756868,1.0,0.6137919,0.8972364,0.0,0.0,0.13446906,1.0,1.0,0.2764765,0.7609792,0.49124527,0.41505092,0.0,0.0,0.28308368,0.0,0.25539455,0.0,0.0,0.0,0.0,0.0,0.0,0.57032794,0.0,0.60578513,0.31106746,0.605749,0.25192627,0.6210426,0.0,1.0,0.908145,0.62169737,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.8422002,0.7815725,0.7800047,1.0,0.6176351,0.94662356,0.0,0.0,0.11375366,1.0,1.0,0.25094995,0.7753622,0.48665178,0.38751078,0.0,0.0,0.2687666,0.0,0.22082375,0.0,0.0,0.0,0.0,0.0,0.0,0.5961901,0.0,0.63175774,0.27989537,0.6017472,0.20547168,0.62656355,0.0,1.0,0.9150562,0.6525962,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.8746634,0.78403133,0.80380344,1.0,0.6182933,0.9962378,0.0,0.0,0.08934001,1.0,1.0,0.21604805,0.79140943,0.48869103,0.36495364,0.0,0.0,0.2464555,0.0,0.17601301,0.0,0.0,0.0,0.0,0.0,0.0,0.62433594,0.0,0.62327504,0.24039163,0.59737784,0.15821458,0.6201375,0.0,1.0,0.9515072,0.6736069,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.9125364,0.80378413,0.8310533,1.0,0.6244356,1.0,0.0,0.0,0.05637495,1.0,1.0,0.18430075,0.81487584,0.4945749,0.34836012,0.0,0.0,0.23763138,0.0,0.13533582,0.0,0.0,0.0,0.0,0.0,0.0,0.6566721,0.0,0.6129491,0.19565123,0.5848253,0.10512894,0.624584,0.0,1.0,0.98566294,0.6911202,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.94021696,0.8237999,0.86125666,1.0,0.6178667,1.0,0.0,0.0,0.035011075,1.0,1.0,0.16036995,0.8230898,0.50526077,0.3165456,0.0,0.0,0.22441047,0.0,0.09887335,0.0,0.0,0.0,0.0,0.0,0.0,0.6692604,0.0,0.6285222,0.16024607,0.5747061,0.053111028,0.62656134,0.0,1.0,1.0,0.70582527,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.97963494,0.83664197,0.88766754,1.0,0.6172874,1.0,0.0,0.0,0.007883875,1.0,1.0,0.09565518,0.8437302,0.507983,0.29244936,0.0,0.0,0.19691561,0.0,0.04220206,0.0,0.0,0.0,0.0,0.0,0.0,0.6858234,0.0,0.6287907,0.118311755,0.55872,0.0,0.6271867,0.0,1.0,1.0,0.7177804,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.8615059,0.8969864,1.0,0.61153257,1.0,0.0,0.0,0.0,1.0,1.0,0.03820663,0.8507027,0.5016119,0.24514435,0.0,0.0,0.17557703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7188357,0.0,0.644964,0.070384786,0.54508424,0.0,0.63445723,0.0,1.0,1.0,0.73941547,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.8866595,0.9191336,1.0,0.6037497,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.87081105,0.51665473,0.20525783,0.0,0.0,0.15327008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74044275,0.0,0.6621533,0.010184895,0.532698,0.0,0.63952994,0.0,1.0,1.0,0.7678374,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.91272867,0.9462132,1.0,0.5940603,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.88918746,0.5319219,0.16394044,0.0,0.0,0.12927884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76515937,0.0,0.6837169,0.0,0.5215833,0.0,0.6409446,0.0,1.0,1.0,0.7884181,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.92735505,0.95842177,1.0,0.59783584,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.89740366,0.534033,0.122994535,0.0,0.0,0.099482656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79465514,0.0,0.7080006,0.0,0.5017223,0.0,0.65402937,0.0,1.0,1.0,0.79981494,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.9467723,0.9726955,1.0,0.5948411,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.9051191,0.5386154,0.073955126,0.0,0.0,0.07883623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7997298,0.0,0.73120624,0.0,0.48653966,0.0,0.6616973,0.0,1.0,1.0,0.8158287,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.97676307,0.993515,1.0,0.5986791,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.9220975,0.52832747,0.02108943,0.0,0.0,0.0437123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82215464,0.0,0.75533813,0.0,0.45972142,0.0,0.6669012,0.0,1.0,1.0,0.84044737,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.99214125,1.0,1.0,0.6060281,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.9339494,0.54244065,0.0,0.0,0.0,0.017040782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.851152,0.0,0.7860804,0.0,0.4432874,0.0,0.67731214,0.0,1.0,1.0,0.8642525,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
