system_losses_mw,gen_fuel_nuclear_mw,gen_fuel_wind_mw,gen_fuel_solar_mw,area_1_fuel_nuclear_mw,area_1_fuel_wind_mw,area_1_fuel_solar_mw,area_2_fuel_natural_gas_mw,area_2_fuel_solar_mw,area_3_fuel_wind_mw,area_3_fuel_solar_mw,hour_of_day
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0503485,0.7108279,1.0608307,0.6757657,0.76699245,1.0787324,0.9372494,0.68564564,0.7587055,0.7213715,1.047653,0.6690692
0.95045036,0.51467216,0.92079794,0.44889155,0.6495715,1.0098181,0.7596658,0.5065539,0.55950403,0.5569711,0.9754139,0.4623943
0.879779,0.3622423,0.81388986,0.29032964,0.5563798,0.9262429,0.60279953,0.36994612,0.41684264,0.431696,0.8864699,0.31635466
0.80206674,0.25606754,0.71433705,0.18308084,0.48787045,0.83867383,0.4748498,0.2656409,0.31254926,0.3414857,0.8168756,0.21609746
0.7498274,0.17524034,0.6182523,0.10988435,0.43096143,0.7762857,0.3699521,0.19264494,0.25272658,0.27283168,0.74789125,0.14475709
0.6908103,0.11760149,0.5384932,0.06356846,0.38849849,0.7200895,0.28267342,0.13536009,0.19878438,0.21711862,0.6950666,0.09602107
0.6406531,0.0758784,0.4733442,0.034836944,0.34850588,0.6734852,0.20914374,0.09136749,0.15894993,0.17655453,0.64571226,0.065610826
0.6009793,0.04756332,0.4142615,0.01810232,0.31486505,0.6237519,0.1573937,0.06108472,0.12874654,0.14508116,0.6092696,0.043087453
0.56696177,0.028553206,0.370866,0.00884821,0.28626952,0.58521056,0.11310283,0.036668994,0.10725014,0.11738698,0.568239,0.027923837
0.5296396,0.016282022,0.3345154,0.004066186,0.26189944,0.5510326,0.08039636,0.020471545,0.08838655,0.09645498,0.53601414,0.017385665
0.5055571,0.0087765185,0.31007043,0.001740813,0.24048877,0.5196146,0.054873835,0.010610921,0.07275127,0.07742294,0.5040819,0.009911144
0.48058343,0.0044657406,0.29074213,0.00069074106,0.21936955,0.49545595,0.036187626,0.004873049,0.06144825,0.062074393,0.47130933,0.005295648
0.44903466,0.0021437218,0.2728932,0.0002525712,0.20547056,0.46602798,0.023194054,0.0020524806,0.050333202,0.04866757,0.44986656,0.002443116
0.4263534,0.00096271123,0.26649475,8.45359e-05,0.1937707,0.4414523,0.013987838,0.00077829557,0.04287872,0.037165787,0.4235125,0.0010030722
0.41150236,0.00040289227,0.25892544,2.5738724e-05,0.17807071,0.42309937,0.007957372,0.00026888453,0.035107713,0.026662255,0.40743867,0.00036044058
0.38621756,0.00015682123,0.26413995,7.079125e-06,0.16873237,0.40424696,0.004401193,8.44923e-05,0.03024424,0.018470408,0.3838066,0.000115738905
0.3739544,5.640647e-05,0.25827634,1.7461492e-06,0.1567217,0.3843885,0.0022645742,2.4059706e-05,0.025234794,0.011652214,0.36548424,3.3007353e-05
0.35935512,1.8650828e-05,0.25708804,3.8321954e-07,0.14836463,0.3679835,0.0010960316,6.157714e-06,0.02100304,0.006877863,0.35017052,8.40022e-06
0.34352183,5.633877e-06,0.25104582,7.419346e-08,0.13791546,0.3543769,0.0004980998,1.4085749e-06,0.017420676,0.0037169778,0.33272922,1.900805e-06
0.3328222,1.5447696e-06,0.24944834,1.2554302e-08,0.13433477,0.33790496,0.00021148745,2.8548945e-07,0.013996013,0.0018750068,0.3181483,3.8004134e-07
0.3189529,3.8169844e-07,0.24631397,1.8378988e-09,0.12804554,0.32543534,8.3661405e-05,5.0834885e-08,0.011043768,0.0008822442,0.3074045,6.661657e-08
0.30846313,8.433866e-08,0.24735202,2.3021422e-10,0.12088872,0.3067582,3.0704883e-05,7.875154e-09,0.008432619,0.00038666592,0.29485828,1.01418545e-08
0.29504395,1.6524092e-08,0.24049339,2.4375498e-11,0.11650281,0.30031943,1.040482e-05,1.0500937e-09,0.006140798,0.00015738819,0.283972,1.3268621e-09
0.2857493,2.8445108e-09,0.24331531,2.152841e-12,0.11310636,0.28806183,3.2382077e-06,1.1911795e-10,0.0042816405,5.9598948e-05,0.2760225,1.4743408e-10
0.2770307,4.2594434e-10,0.23974104,1.563068e-13,0.11043681,0.2776946,9.199101e-07,1.134887e-11,0.002819972,2.0872665e-05,0.26320338,1.3734954e-11
0.26916263,5.4880364e-11,0.23373587,9.181187e-15,0.10310102,0.26804757,2.3691769e-07,8.954973e-13,0.0017375972,6.729017e-06,0.25932893,1.0576903e-12
0.26002607,6.012152e-12,0.22900218,4.2867035e-16,0.10013907,0.25918028,5.491139e-08,5.7628164e-14,0.0010183085,1.9869246e-06,0.24391186,6.628788e-14
0.2511638,5.527602e-13,0.22531663,1.5603497e-17,0.09729178,0.24925749,1.1360197e-08,2.973907e-15,0.0005525227,5.3389965e-07,0.23970564,3.323768e-15
0.24330193,4.204877e-14,0.23025574,4.3339084e-19,0.09181919,0.24366045,2.079749e-09,1.2079962e-16,0.00028349648,1.296316e-07,0.2347349,1.3084936e-16
0.24024267,2.605531e-15,0.22493938,8.969656e-21,0.09224169,0.23707654,3.3370237e-10,3.7838893e-18,0.00013663288,2.8219006e-08,0.22656336,3.9612786e-18
0.23037185,1.2927614e-16,0.22662024,1.3472172e-22,0.08662861,0.23020053,4.6441753e-11,8.9349206e-20,6.193577e-05,5.4611897e-09,0.22243018,9.012316e-20
0.22857061,5.039909e-18,0.22809033,1.42582e-24,0.08626309,0.22341637,5.5427256e-12,1.5509048e-21,2.6363477e-05,9.310114e-10,0.21546462,1.502076e-21
