epoch,b_meta
0,0.0
1,0.016041165217757225
2,0.02098630554974079
3,0.02410055696964264
4,0.02623393014073372
5,0.0281671192497015
6,0.029194632545113564
7,0.029308997094631195
8,0.029151424765586853
9,0.02789541333913803
10,0.027392208576202393
11,0.026358287781476974
12,0.025243055075407028
13,0.024048008024692535
14,0.022898344323039055
15,0.02288525551557541
16,0.021159522235393524
17,0.021317658945918083
18,0.019857831299304962
19,0.019611196592450142
20,0.018366364762187004
21,0.01818825863301754
22,0.018219906836748123
23,0.01793157123029232
24,0.01703641191124916
25,0.016165409237146378
26,0.016737136989831924
27,0.018021102994680405
28,0.015304111875593662
29,0.014851664192974567
30,0.01481736171990633
31,0.0144421998411417
32,0.013878030702471733
33,0.01493801735341549
34,0.016262179240584373
35,0.015612447634339333
36,0.015394274145364761
37,0.01497571635991335
38,0.016531264409422874
39,0.015023738145828247
40,0.015271705575287342
41,0.012955687008798122
42,0.0135989123955369
43,0.011697974987328053
44,0.013815537095069885
45,0.01398972887545824
46,0.012874947860836983
47,0.014072855934500694
48,0.014347823336720467
49,0.012557641603052616
50,0.0130318533629179
51,0.0015928790671750903
52,-0.011574012227356434
53,-0.023984847590327263
54,-0.03564680367708206
55,-0.04905826225876808
56,-0.05936160311102867
57,-0.0701197162270546
58,-0.08031676709651947
59,-0.09069366008043289
60,-0.10180054605007172
61,-0.11201631277799606
62,-0.12374045699834824
63,-0.13435833156108856
64,-0.1435212939977646
65,-0.15450772643089294
66,-0.1652212291955948
67,-0.1741832196712494
68,-0.1829245686531067
69,-0.1928699016571045
70,-0.20192451775074005
71,-0.21111465990543365
72,-0.22026588022708893
73,-0.23027220368385315
74,-0.2377389669418335
75,-0.2459448277950287
76,-0.25499358773231506
77,-0.2630714476108551
78,-0.2726711630821228
79,-0.28122153878211975
80,-0.2897242605686188
81,-0.29762330651283264
82,-0.30712997913360596
83,-0.314484179019928
84,-0.32334718108177185
85,-0.3304595947265625
86,-0.33740556240081787
87,-0.34428131580352783
88,-0.35216593742370605
89,-0.3597325384616852
90,-0.3689252436161041
91,-0.3755331337451935
92,-0.38308459520339966
93,-0.3900259733200073
94,-0.39839842915534973
95,-0.4060349762439728
96,-0.4138684570789337
97,-0.4212663173675537
98,-0.4277814030647278
99,-0.4346420168876648
100,-0.4413718581199646
101,-0.4500892758369446
102,-0.45647305250167847
103,-0.46373504400253296
104,-0.4697703719139099
105,-0.4780775308609009
106,-0.48518916964530945
107,-0.49223557114601135
108,-0.498489111661911
109,-0.5047791600227356
110,-0.5117976069450378
111,-0.5180957913398743
112,-0.5241999626159668
113,-0.5310056209564209
114,-0.5363432765007019
115,-0.5427217483520508
116,-0.5485142469406128
117,-0.554627001285553
118,-0.5611458420753479
119,-0.5674671530723572
120,-0.5728507041931152
121,-0.5794711709022522
122,-0.58536297082901
123,-0.5909222364425659
124,-0.5965438485145569
125,-0.6037022471427917
126,-0.6083608269691467
127,-0.6139410138130188
128,-0.619131326675415
129,-0.6255528330802917
130,-0.630403995513916
131,-0.635791540145874
132,-0.6412451267242432
133,-0.6467804312705994
134,-0.6518566012382507
135,-0.6571581959724426
136,-0.6630380749702454
137,-0.6674559116363525
138,-0.6730153560638428
139,-0.678372859954834
140,-0.6834377646446228
141,-0.6887578368186951
142,-0.6930619478225708
143,-0.6988765597343445
144,-0.7037174701690674
145,-0.7078530788421631
146,-0.7127059698104858
147,-0.7179503440856934
148,-0.7224562764167786
149,-0.726534903049469
150,-0.7316216826438904
151,-0.7369179129600525
152,-0.7418949604034424
153,-0.7464532852172852
154,-0.7513725757598877
155,-0.7552973628044128
156,-0.7600783705711365
157,-0.764213502407074
158,-0.7679533958435059
159,-0.772307813167572
160,-0.776293933391571
161,-0.7802233695983887
162,-0.7841325402259827
163,-0.7886713147163391
164,-0.7931354641914368
165,-0.7970588207244873
166,-0.8009093999862671
167,-0.8049840927124023
168,-0.8090076446533203
169,-0.8134356737136841
170,-0.8170952200889587
171,-0.8206231594085693
172,-0.8248644471168518
173,-0.8291250467300415
174,-0.8328880667686462
175,-0.8364564180374146
176,-0.8407431840896606
177,-0.8440902829170227
178,-0.8476550579071045
179,-0.8507968187332153
180,-0.8548582792282104
181,-0.8580605387687683
182,-0.8612897992134094
183,-0.8650459051132202
184,-0.8684560060501099
185,-0.8721280694007874
186,-0.8755905032157898
187,-0.8788120746612549
188,-0.8820845484733582
189,-0.8854767680168152
190,-0.8890191316604614
191,-0.8921285271644592
192,-0.8954403400421143
193,-0.8984949588775635
194,-0.9020739197731018
195,-0.9058331251144409
196,-0.9091716408729553
197,-0.9117071032524109
198,-0.9152012467384338
199,-0.918312132358551
200,-0.920875608921051
