epoch,train_standardized_mse,validation_standardized_mse,selection_objective,validation_r2,n_active_at_0_01
1,0.6946525128246828,0.33943694829940796,0.33943694829940796,0.6567138882419725,24
2,0.21391854070190028,0.1508951187133789,0.1508951187133789,0.8473937553537282,24
3,0.13128361159665347,0.11922905594110489,0.11922905594110489,0.8794188984910409,24
4,0.1066081734276004,0.10834703594446182,0.10834703594446182,0.8904243228399463,24
5,0.09518510910331544,0.08968860656023026,0.08968860656023026,0.9092943372039464,24
6,0.0839385497217141,0.09448598325252533,0.09448598325252533,0.9044425447707816,24
7,0.07920930895738658,0.08515296131372452,0.08515296131372452,0.9138814188521135,24
8,0.07656967925924563,0.08778863400220871,0.08778863400220871,0.9112158474059945,24
9,0.07152458805307291,0.0906364768743515,0.0906364768743515,0.9083357126592959,24
10,0.0709693411452406,0.08130604028701782,0.08130604028701782,0.9177719603126839,24
11,0.06618422424213484,0.08077778667211533,0.08077778667211533,0.9183062006136102,24
12,0.06282829888596424,0.07770930975675583,0.07770930975675583,0.9214094804179994,24
13,0.05942144524548433,0.07363808155059814,0.07363808155059814,0.9255268644428266,24
14,0.056428033119296596,0.07962135970592499,0.07962135970592499,0.9194757382497638,24
15,0.05521601078823989,0.0639592707157135,0.0639592707157135,0.9353154430696583,24
16,0.0498254656229379,0.0627172440290451,0.0627172440290451,0.936571548022958,24
17,0.052244164301694485,0.061481744050979614,0.061481744050979614,0.9378210621262448,24
18,0.04961273414806918,0.05707592889666557,0.05707592889666557,0.9422768378531623,24
19,0.04408597664043511,0.07129610329866409,0.07129610329866409,0.9278954035209601,24
20,0.04543572439701238,0.056676242500543594,0.056676242500543594,0.942681052045245,24
21,0.04218025673750398,0.05621834844350815,0.05621834844350815,0.9431441387710661,24
22,0.039454444926583544,0.0568668395280838,0.0568668395280838,0.9424882913949278,24
23,0.039039157120124346,0.05601416155695915,0.05601416155695915,0.9433506396576866,24
24,0.046163848395869574,0.052753180265426636,0.052753180265426636,0.9466486015956637,24
25,0.036507677502576295,0.047745708376169205,0.047745708376169205,0.9517128657831548,24
26,0.03793414579383258,0.04903237894177437,0.04903237894177437,0.9504116032174225,24
27,0.03719689304623498,0.052535563707351685,0.052535563707351685,0.9468686979015971,24
28,0.03565526835707658,0.049173504114151,0.049173504114151,0.9502688704899027,24
29,0.03411334816296146,0.04775073379278183,0.04775073379278183,0.9517077785319921,24
30,0.03239564583064211,0.04371531680226326,0.04371531680226326,0.9557889569835137,24
31,0.03200349833261253,0.048495955765247345,0.048495955765247345,0.9509541000852525,24
32,0.0326029722134673,0.05875823274254799,0.05875823274254799,0.9405754476729774,24
33,0.036507959331573026,0.050113726407289505,0.050113726407289505,0.9493179840730623,24
34,0.030880079807673638,0.04977073892951012,0.04977073892951012,0.9496648654726031,24
35,0.03259582007782523,0.040911149233579636,0.040911149233579636,0.9586249213717603,24
36,0.028332654406148735,0.04134923219680786,0.04134923219680786,0.9581818815825539,24
37,0.03048249787578896,0.04635178670287132,0.04635178670287132,0.9531225840874721,24
38,0.02851746764540595,0.05036291852593422,0.05036291852593422,0.9490659593396352,24
39,0.029327806234408216,0.03954331576824188,0.03954331576824188,0.9600082731524406,24
40,0.028301782599149214,0.03823641687631607,0.03823641687631607,0.9613299872862461,24
41,0.02657597885505286,0.03943224623799324,0.03943224623799324,0.9601206010331946,24
42,0.03351775926832296,0.042343731969594955,0.042343731969594955,0.9571760905473355,24
43,0.026712604131241782,0.04226711019873619,0.04226711019873619,0.9572535848504162,24
44,0.02598201536083268,0.03934014216065407,0.03934014216065407,0.9602137454533538,24
45,0.02768081518843838,0.036405984312295914,0.036405984312295914,0.9631811796194022,24
46,0.026005531015891335,0.034641332924366,0.034641332924366,0.9649658433135463,24
47,0.02663268166107641,0.03362836316227913,0.03362836316227913,0.9659903004686161,24
48,0.02494923011069571,0.03460391238331795,0.03460391238331795,0.9650036799829773,24
49,0.02322947053225419,0.035098180174827576,0.035098180174827576,0.9645038104995821,24
50,0.02294053621959758,0.032270148396492004,0.032270148396492004,0.9673639134722091,24
51,0.02243855261354766,0.03412848338484764,0.03412848338484764,0.9654845084808484,24
52,0.0236653601708316,0.03522578254342079,0.03522578254342079,0.9643747590507311,24
53,0.02581706221373576,0.036597371101379395,0.036597371101379395,0.9629876202746493,24
54,0.02339603877538499,0.03443673253059387,0.03443673253059387,0.9651727594511209,24
55,0.021990772285822854,0.032250966876745224,0.032250966876745224,0.9673833144958519,24
56,0.020220641650274037,0.04437772184610367,0.04437772184610367,0.9551190315344,24
57,0.021580509414863648,0.045693960040807724,0.045693960040807724,0.9537878900645047,24
58,0.02696100890723699,0.03430739417672157,0.03430739417672157,0.9653035684342846,24
59,0.02224459638849395,0.03302133455872536,0.03302133455872536,0.9666042082505821,24
60,0.020030498497367447,0.03151366859674454,0.03151366859674454,0.9681289721682192,24
61,0.02403939174271262,0.030300429090857506,0.030300429090857506,0.9693559682210922,24
62,0.019238124463389697,0.03198086470365524,0.03198086470365524,0.9676564739331468,24
63,0.018872833391439435,0.02865748666226864,0.02865748666226864,0.9710175434732767,24
64,0.019241182451065517,0.03204435110092163,0.03204435110092163,0.9675922668961593,24
65,0.0200069684113534,0.030017374083399773,0.030017374083399773,0.9696422364828018,24
66,0.018855431856358486,0.030618002638220787,0.030618002638220787,0.9690347926526827,24
67,0.018479160247061574,0.030268961563706398,0.030268961563706398,0.9693877927374371,24
68,0.018424598795526024,0.026719829067587852,0.026719829067587852,0.9729771736679751,24
69,0.016978066923580313,0.029034148901700974,0.029034148901700974,0.9706366051123176,24
70,0.01784561830769713,0.02724962867796421,0.02724962867796421,0.9724413670949401,24
71,0.01773528828271698,0.03008563071489334,0.03008563071489334,0.969573208060281,24
72,0.018012066024537976,0.028536800295114517,0.028536800295114517,0.971139593779132,24
73,0.017895570028483597,0.030115073546767235,0.030115073546767235,0.9695434323475389,24
74,0.020560834101154654,0.03031395934522152,0.03031395934522152,0.9693422894372785,24
75,0.020909058168850397,0.036220479756593704,0.036220479756593704,0.9633687717822007,24
76,0.017197778267287828,0.027562757954001427,0.027562757954001427,0.9721246879105286,24
77,0.016679195193337517,0.025538340210914612,0.025538340210914612,0.9741720576090842,24
78,0.015927667775607644,0.02705395221710205,0.02705395221710205,0.9726392649170593,24
79,0.01710490829059242,0.025859137997031212,0.025859137997031212,0.9738476230299553,24
80,0.01545318550198165,0.028061171993613243,0.028061171993613243,0.9716206212189821,24
81,0.016240828970499294,0.025245070457458496,0.025245070457458496,0.9744686547908008,24
82,0.01503976493426729,0.030049394816160202,0.030049394816160202,0.9696098509641806,24
83,0.015893484442146395,0.04191858693957329,0.04191858693957329,0.9576060542911018,24
84,0.018330134195987578,0.02538648247718811,0.02538648247718811,0.9743256379052385,24
85,0.015030044626030118,0.0272037573158741,0.0272037573158741,0.9724877574042355,24
86,0.019248133387705025,0.024095656350255013,0.024095656350255013,0.9756311029211178,24
87,0.014518175172336549,0.02540314570069313,0.02540314570069313,0.9743087848311707,24
88,0.01562043241235484,0.031072307378053665,0.031072307378053665,0.9685753472482725,24
89,0.01946890865596194,0.025020170956850052,0.025020170956850052,0.9746961049670637,24
90,0.014200631623618697,0.02431515045464039,0.02431515045464039,0.9754091221204592,24
91,0.01440139021785056,0.028936807066202164,0.028936807066202164,0.9707350467221216,24
92,0.014167532518690254,0.024209359660744667,0.024209359660744667,0.9755161167014348,24
93,0.015716326735954956,0.02559543028473854,0.02559543028473854,0.9741143218230662,24
94,0.014699354323042858,0.02408665232360363,0.02408665232360363,0.9756402138115743,24
95,0.014478478510727744,0.023396434262394905,0.023396434262394905,0.9763382549987333,24
96,0.013165007704698039,0.03703569993376732,0.03703569993376732,0.9625443137408594,24
97,0.01413349783297679,0.024155402556061745,0.024155402556061745,0.9755706791694669,24
98,0.01371474592372649,0.024106744676828384,0.024106744676828384,0.9756198938173596,24
99,0.012835188786982133,0.02437128685414791,0.02437128685414791,0.9753523472362838,24
100,0.014361665268303195,0.022469712421298027,0.022469712421298027,0.9772754879525748,24
101,0.012851486380030834,0.024081163108348846,0.024081163108348846,0.9756457628747174,24
102,0.013133596275644055,0.023844227194786072,0.023844227194786072,0.9758853800318089,24
103,0.012656040025830134,0.021418964490294456,0.021418964490294456,0.9783381470408925,24
104,0.012538718282037264,0.027711674571037292,0.027711674571037292,0.9719740737108964,24
105,0.013386643938259715,0.02398516796529293,0.02398516796529293,0.9757428450745183,24
106,0.014091594480996056,0.02760864794254303,0.02760864794254303,0.972078266329786,24
107,0.012222047062032046,0.024389203637838364,0.024389203637838364,0.9753342270896014,24
108,0.01332478018001294,0.024930782616138458,0.024930782616138458,0.9747865100934746,24
109,0.013154422787970044,0.028402090072631836,0.028402090072631836,0.9712758305580601,24
110,0.012571276281884567,0.023125382140278816,0.023125382140278816,0.9766123820261604,24
111,0.014052432339163418,0.031749092042446136,0.031749092042446136,0.9678908785919255,24
112,0.014657357892126969,0.02215956710278988,0.02215956710278988,0.9775891460270796,24
113,0.012375755735297936,0.021887607872486115,0.021887607872486115,0.9778641887976866,24
114,0.011543236551691203,0.022796351462602615,0.022796351462602615,0.9769451410973506,24
115,0.011958949065330349,0.02052805945277214,0.02052805945277214,0.9792391597782546,24
116,0.011209192130102357,0.020735077559947968,0.020735077559947968,0.9790297899728291,24
117,0.011892382736592303,0.02456609718501568,0.02456609718501568,0.9751553309086365,24
118,0.011294433052688546,0.023891210556030273,0.023891210556030273,0.9758378628958354,24
119,0.01110435528944264,0.02189193293452263,0.02189193293452263,0.9778598115204351,24
120,0.010965297415655011,0.02338721789419651,0.02338721789419651,0.9763475707049588,24
121,0.010972249621577517,0.029684636741876602,0.029684636741876602,0.9699787447178717,24
122,0.013803727351608956,0.021541256457567215,0.021541256457567215,0.9782144694369712,24
123,0.012928984329715206,0.0334111787378788,0.0334111787378788,0.9662099578687295,24
124,0.01585726775156265,0.022650303319096565,0.022650303319096565,0.9770928449040819,24
125,0.010527540970667614,0.019854547455906868,0.019854547455906868,0.9799203073428338,24
126,0.010892680502589368,0.026459157466888428,0.026459157466888428,0.973240793050649,24
127,0.011803774743007039,0.025788838043808937,0.025788838043808937,0.9739187118118534,24
128,0.011842808719523246,0.023080216720700264,0.023080216720700264,0.9766580580408386,24
129,0.011872576984710793,0.020451588556170464,0.020451588556170464,0.979316493642804,24
130,0.010686081818989057,0.02205071412026882,0.02205071412026882,0.9776992351769724,24
131,0.012764423523309096,0.026695098727941513,0.026695098727941513,0.9730021772581188,24
132,0.013724065277296455,0.033963195979595184,0.033963195979595184,0.9656516594412982,24
133,0.016184089678686862,0.021819990128278732,0.021819990128278732,0.9779325723489238,24
134,0.010348965781065226,0.021218745037913322,0.021218745037913322,0.9785406386798083,24
135,0.009845623993129993,0.022267665714025497,0.022267665714025497,0.9774798192956391,24
136,0.010439581946071743,0.02206125110387802,0.02206125110387802,0.9776885771668405,24
137,0.011896712498263096,0.021922845393419266,0.021922845393419266,0.9778285455332942,24
138,0.010421082343501399,0.01942603290081024,0.01942603290081024,0.98035367981227,24
139,0.0095423059807648,0.02195952646434307,0.02195952646434307,0.9777914547628481,24
140,0.0096266282581171,0.021543223410844803,0.021543223410844803,0.9782124799644871,24
