field,gate_seed_42,gate_seed_43,gate_seed_44,gate_mean,gate_std,selection_frequency,consensus_active
area_1_net_export_mw,0.36200258135795593,0.3476928770542145,0.35454919934272766,0.3547482192516327,0.005843606777489185,3,1
area_3_net_export_mw,0.30082476139068604,0.2868178188800812,0.306221604347229,0.2979547083377838,0.00817738939076662,3,1
area_2_net_export_mw,0.2728980779647827,0.2557525038719177,0.2805865406990051,0.26974570751190186,0.010380604304373264,3,1
gen_fuel_coal_mw,0.05654530227184296,0.02493550442159176,0.05598728358745575,0.04582269862294197,0.01477123238146305,3,1
gen_fuel_natural_gas_mw,0.036668263375759125,0.022539855912327766,0.03550656512379646,0.031571563333272934,0.006403965409845114,3,1
gen_fuel_wind_mw,0.0165899395942688,0.016973217949271202,0.013390511274337769,0.015651224181056023,0.0016062043141573668,3,1
gen_fuel_solar_mw,0.023399876430630684,1.209287752813851e-27,0.02159920334815979,0.01499969232827425,0.010631829500198364,2,1
reserve_spin_r1_mw,0.0,0.03228555992245674,0.0,0.01076185330748558,0.015219558030366898,1,0
gen_fuel_hydro_mw,0.003053925232961774,0.0037383155431598425,0.0018959417939186096,0.00289606093429029,0.0007603841950185597,0,0
gen_fuel_nuclear_mw,3.7894354853470975e-17,1.4882544400644283e-19,8.857270385881355e-14,2.953691639689081e-14,4.174460595447217e-14,0,0
area_3_load_day_ahead_mw,6.423564104599449e-19,0.0,0.0,2.1411880348664829e-19,3.028097033006492e-19,0,0
system_losses_mw,4.586812139364865e-19,0.0,5.101260400015385e-21,1.5459416282429643e-19,2.1503210135578633e-19,0,0
area_1_load_day_ahead_mw,7.232567062854355e-35,0.0,0.0,2.4108556876181185e-35,0.0,0,0
reserve_spin_r3_mw,0.0,0.0,1.2536725455184393e-36,4.178908335589628e-37,0.0,0,0
area_1_load_actual_mw,0.0,0.0,0.0,0.0,0.0,0,0
area_2_load_actual_mw,0.0,0.0,0.0,0.0,0.0,0,0
area_3_load_actual_mw,0.0,0.0,0.0,0.0,0.0,0,0
system_load_actual_mw,0.0,0.0,0.0,0.0,0.0,0,0
area_2_load_day_ahead_mw,0.0,0.0,0.0,0.0,0.0,0,0
system_load_day_ahead_mw,0.0,0.0,0.0,0.0,0.0,0,0
system_generation_mw,0.0,0.0,0.0,0.0,0.0,0,0
reserve_reg_up_mw,0.0,0.0,0.0,0.0,0.0,0,0
reserve_reg_down_mw,0.0,0.0,0.0,0.0,0.0,0,0
reserve_spin_r2_mw,0.0,0.0,0.0,0.0,0.0,0,0
