solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmccp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_assigned_reg,total_pjm_rmccp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,gross_inadv_interchange_mw
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.42019904,0.4613638,0.40477067,0.4504423,0.48089698,0.40905407,0.48327282,0.40158617,0.47143832,0.3969546,0.407865,0.43017837,0.511345,0.40569964,0.5292314,0.4687344,0.39029968,0.4238497,0.43531448,0.52299654,0.503554,0.44917023,0.42741734,0.41790438,0.5140953,0.4150242,0.39433578,0.45176437,0.4229285,0.38572863,0.4685166,0.4061738,0.56276757,0.44954383
0.3817545,0.44791144,0.34715658,0.41580725,0.46132937,0.40485272,0.4666736,0.35224277,0.47048953,0.3571221,0.3598468,0.3876524,0.5216818,0.3221735,0.5325381,0.45065638,0.33813158,0.37677485,0.38019666,0.56294954,0.5058905,0.4563622,0.3760303,0.36188185,0.539322,0.37512884,0.3625517,0.42453524,0.39332062,0.3009093,0.46751615,0.31914335,0.5894036,0.43040487
0.35532618,0.430216,0.31229743,0.38023794,0.45165098,0.40196612,0.47021252,0.29931307,0.48739737,0.33021903,0.35357922,0.34871,0.5279569,0.24012777,0.53320575,0.45703256,0.28015733,0.32863095,0.33586165,0.56829506,0.49932203,0.4634435,0.3285953,0.33042562,0.5332418,0.36850446,0.35513315,0.38157502,0.38168284,0.22204155,0.4713267,0.28029627,0.6165701,0.40822995
0.3179252,0.40580988,0.27285367,0.338488,0.46076673,0.38992113,0.46612468,0.27120614,0.49874413,0.30918467,0.36527026,0.33223686,0.5368672,0.17711326,0.55436236,0.4664876,0.24597643,0.26641938,0.2925924,0.57900393,0.4993047,0.45989832,0.27877128,0.2986011,0.542816,0.36055586,0.35232615,0.37342858,0.3648571,0.15665303,0.4776339,0.265926,0.6359877,0.40329516
0.2777923,0.4029249,0.24100974,0.30652916,0.4709646,0.35519227,0.45617485,0.2517525,0.4928508,0.2548715,0.35511944,0.2967827,0.55782473,0.10568135,0.5601779,0.46120897,0.20200369,0.24139747,0.2520839,0.5964689,0.48720908,0.45217565,0.2256955,0.26835483,0.55932546,0.35119298,0.35076475,0.35823837,0.36248758,0.09634503,0.4691725,0.22732638,0.66087097,0.38880795
0.23671252,0.38446227,0.19736446,0.28864825,0.4762805,0.35950315,0.4478665,0.23282479,0.5059359,0.23417741,0.37486824,0.27112877,0.56900144,0.04007681,0.5552364,0.4546585,0.16405997,0.20437281,0.21723531,0.604428,0.48241115,0.44834352,0.18605155,0.25536844,0.5705617,0.34927902,0.34526536,0.3305991,0.34208634,0.032770816,0.46296626,0.20912191,0.6810318,0.36976874
0.20210592,0.36954674,0.16008803,0.26736528,0.47742087,0.37615037,0.44817957,0.21799776,0.51208234,0.2719346,0.370547,0.25951084,0.56860936,-0.0170719,0.56372195,0.44224006,0.108730085,0.16226359,0.19559164,0.6196717,0.47361597,0.44541922,0.12655248,0.2520771,0.5719952,0.32503402,0.34331027,0.31405818,0.3243739,-0.01683062,0.45997223,0.18969208,0.69733566,0.3513654
0.17909224,0.3619234,0.11851554,0.26395524,0.46278483,0.36989263,0.4487349,0.20519343,0.5413579,0.2629589,0.39070782,0.24280393,0.56672645,-0.08335515,0.5805052,0.44188297,0.052897424,0.13275848,0.1730967,0.64470345,0.47195178,0.43923938,0.07815153,0.23721065,0.59164554,0.32616127,0.32921174,0.2978256,0.32177517,-0.063742414,0.43659946,0.17646854,0.7267244,0.34036964
0.16332549,0.3332999,0.0814147,0.23441349,0.46362716,0.34430638,0.43787172,0.21400127,0.5441189,0.25994432,0.40922138,0.23984109,0.5705098,-0.13701265,0.59154326,0.43243456,0.024738451,0.09297887,0.1558513,0.6575351,0.45668617,0.42852885,0.0561828,0.23597977,0.6070893,0.31264138,0.3346735,0.27135795,0.3075951,-0.09212334,0.4367131,0.15743276,0.7527761,0.32417893
