目标,中文名,达标水平,预算n,先达标的方法,方法,测试R2,全量R2,候选数,选中字段
net_actual_interchange_mw,净实际交换功率,95%,8,DGatingDNN,DGatingDNN,0.8768631845313392,0.9019507440038257,33,system_energy_price_da|gen_fuel_nuclear_mw|gen_fuel_multiple_fuels_pct|gen_fuel_other_renewables_mw|gross_sched_interchange_mw|marginal_loss_price_rt|gen_fuel_coal_mw|da_as_as_req_mw_thirty_minutes_reserve
net_actual_interchange_mw,净实际交换功率,95%,8,DGatingDNN,STG,0.5598477851867132,0.9019507440038257,33,wind_generation_mw|system_energy_price_da|da_as_as_mw_thirty_minutes_reserve|da_as_as_req_mw_thirty_minutes_reserve|da_as_as_req_mw_primary_reserve|total_pjm_rmpcp_cr|total_pjm_assigned_reg|marginal_loss_price_rt
net_actual_interchange_mw,净实际交换功率,95%,8,DGatingDNN,LassoNet,0.7978366821895567,0.9019507440038257,33,gross_sched_interchange_mw|da_as_as_req_mw_thirty_minutes_reserve|total_pjm_assigned_reg|gen_fuel_multiple_fuels_pct|gen_fuel_gas_mw|da_as_as_mw_synchronized_reserve|total_pjm_rmpcp_cr|system_energy_price_da
net_actual_interchange_mw,净实际交换功率,95%,8,DGatingDNN,XGBoost,0.8025900993120088,0.9019507440038257,33,da_as_as_req_mw_thirty_minutes_reserve|da_as_as_req_mw_primary_reserve|gen_fuel_multiple_fuels_pct|gross_sched_interchange_mw|gen_fuel_nuclear_mw|system_energy_price_da|marginal_loss_price_rt|total_pjm_reg_purchases
net_actual_interchange_mw,净实际交换功率,95%,8,DGatingDNN,Lasso,0.7947884688045358,0.9019507440038257,33,gross_sched_interchange_mw|da_as_as_req_mw_thirty_minutes_reserve|da_as_as_mw_thirty_minutes_reserve|total_pjm_assigned_reg|da_as_as_req_mw_primary_reserve|gen_fuel_multiple_fuels_pct|gen_fuel_nuclear_mw|da_as_as_req_mw_synchronized_reserve
net_actual_interchange_mw,净实际交换功率,95%,8,DGatingDNN,Pearson,0.7751729566401546,0.9019507440038257,33,gross_sched_interchange_mw|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_nuclear_mw|da_as_as_mw_thirty_minutes_reserve|da_as_as_mw_primary_reserve|da_as_as_mw_synchronized_reserve
net_actual_interchange_mw,净实际交换功率,97%,9,DGatingDNN,DGatingDNN,0.8893725796087707,0.9019507440038257,33,system_energy_price_da|gen_fuel_nuclear_mw|gen_fuel_multiple_fuels_pct|gen_fuel_other_renewables_mw|gross_sched_interchange_mw|marginal_loss_price_rt|gen_fuel_coal_mw|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_coal_pct
net_actual_interchange_mw,净实际交换功率,97%,9,DGatingDNN,STG,0.6189646692438899,0.9019507440038257,33,wind_generation_mw|system_energy_price_da|da_as_as_mw_thirty_minutes_reserve|da_as_as_req_mw_thirty_minutes_reserve|da_as_as_req_mw_primary_reserve|total_pjm_rmpcp_cr|total_pjm_assigned_reg|marginal_loss_price_rt|gen_fuel_other_renewables_pct
net_actual_interchange_mw,净实际交换功率,97%,9,DGatingDNN,LassoNet,0.8318047942683439,0.9019507440038257,33,gross_sched_interchange_mw|da_as_as_req_mw_thirty_minutes_reserve|total_pjm_assigned_reg|gen_fuel_multiple_fuels_pct|gen_fuel_gas_mw|da_as_as_mw_synchronized_reserve|total_pjm_rmpcp_cr|system_energy_price_da|gen_fuel_coal_pct
net_actual_interchange_mw,净实际交换功率,97%,9,DGatingDNN,XGBoost,0.8082435726276798,0.9019507440038257,33,da_as_as_req_mw_thirty_minutes_reserve|da_as_as_req_mw_primary_reserve|gen_fuel_multiple_fuels_pct|gross_sched_interchange_mw|gen_fuel_nuclear_mw|system_energy_price_da|marginal_loss_price_rt|total_pjm_reg_purchases|total_pjm_assigned_reg
net_actual_interchange_mw,净实际交换功率,97%,9,DGatingDNN,Lasso,0.8145761507578843,0.9019507440038257,33,gross_sched_interchange_mw|da_as_as_req_mw_thirty_minutes_reserve|da_as_as_mw_thirty_minutes_reserve|total_pjm_assigned_reg|da_as_as_req_mw_primary_reserve|gen_fuel_multiple_fuels_pct|gen_fuel_nuclear_mw|da_as_as_req_mw_synchronized_reserve|da_as_nsr_mw_primary_reserve
net_actual_interchange_mw,净实际交换功率,97%,9,DGatingDNN,Pearson,0.8002142500955473,0.9019507440038257,33,gross_sched_interchange_mw|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_nuclear_mw|da_as_as_mw_thirty_minutes_reserve|da_as_as_mw_primary_reserve|da_as_as_mw_synchronized_reserve|gen_fuel_multiple_fuels_pct
gross_actual_interchange_mw,总实际交换功率,95%,7,DGatingDNN,DGatingDNN,0.8399801857185691,0.8665549333724907,38,gross_inadv_interchange_mw|gen_fuel_multiple_fuels_pct|gen_fuel_nuclear_mw|gross_sched_interchange_mw|gen_fuel_other_renewables_mw|gen_fuel_gas_pct|gen_fuel_coal_pct
