epoch,feature_index,feature,gate_logit
3,4,gen_fuel_nuclear_mw,1.3181264
3,5,gen_fuel_gas_mw,1.4564345
3,6,da_as_as_req_mw_thirty_minutes_reserve,0.4220649
3,7,da_as_as_req_mw_primary_reserve,0.31649482
3,8,da_as_as_req_mw_synchronized_reserve,0.31031245
3,9,total_pjm_assigned_reg,-0.39368385
3,10,da_as_as_mw_primary_reserve,0.72392565
3,11,da_as_total_mw_primary_reserve,0.67527217
3,12,da_as_as_mw_synchronized_reserve,0.7823507
3,13,total_pjm_reg_purchases,-0.41846848
3,14,gen_fuel_other_renewables_mw,0.51513857
3,15,total_lmp_da,-0.8122602
3,16,total_pjm_rmpcp_cr,0.2053577
3,17,forecast_load_mw_day_ahead,1.0217171
3,18,total_pjm_rmccp_cr,-1.411431
3,19,gen_fuel_wind_mw,0.20336705
3,20,da_as_total_mw_synchronized_reserve,0.83322006
3,21,system_energy_price_da,-0.69374603
3,22,gen_fuel_multiple_fuels_pct,-0.8237154
3,23,gen_fuel_multiple_fuels_mw,-0.38741052
3,24,marginal_loss_price_rt,-1.3537308
3,25,gen_fuel_gas_pct,0.4167791
3,26,marginal_loss_price_da,-0.60828763
3,27,total_lmp_rt,-1.1382657
3,28,rmccp,-1.0016352
3,29,system_energy_price_rt,-0.9437607
3,30,rmpcp,0.004283339
3,31,gen_fuel_wind_pct,-0.58205307
3,32,gen_fuel_coal_mw,0.82615554
3,33,wind_generation_mw,0.210248
3,34,gross_inadv_interchange_mw,0.73465514
3,35,gen_fuel_oil_mw,-0.08122657
3,36,da_as_mcp_primary_reserve,-0.7586289
3,37,total_pjm_rt_load_mwh,0.7726591
3,38,metered_load_mw,0.77971643
3,39,forecast_load_mw_latest_available,0.71279186
3,40,prelim_load_avg_hourly,0.7091708
3,41,gross_actual_interchange_mw,0.39443076
3,42,gen_fuel_hydro_mw,0.22657353
3,43,total_pjm_loc_credit,0.30354887
3,44,total_losses,-0.110498145
3,45,net_inadv_interchange_mw,0.30991238
3,46,da_as_nsr_mw_primary_reserve,0.005763501
3,47,total_pjm_self_sched_reg,0.1798158
3,48,da_as_ss_mw_synchronized_reserve,-0.15829562
3,49,da_as_ss_mw_thirty_minutes_reserve,-0.20196421
3,50,da_as_ss_mw_primary_reserve,-0.14796789
3,51,gen_fuel_solar_mw,-0.021302372
3,52,gen_fuel_coal_pct,-0.22017194
3,53,congestion_price_rt,-0.45271748
3,54,da_as_mcp_synchronized_reserve,-0.69496626
3,55,congestion_price_da,-0.24654032
4,1,da_as_as_mw_thirty_minutes_reserve,1.9018912
4,2,da_as_total_mw_thirty_minutes_reserve,1.8605216
4,3,gross_sched_interchange_mw,1.7790982
4,4,gen_fuel_nuclear_mw,1.5651419
4,5,gen_fuel_gas_mw,1.8125935
4,6,da_as_as_req_mw_thirty_minutes_reserve,0.3731419
4,7,da_as_as_req_mw_primary_reserve,0.25796962
4,8,da_as_as_req_mw_synchronized_reserve,0.26849753
4,9,total_pjm_assigned_reg,-0.57093
4,10,da_as_as_mw_primary_reserve,0.77780616
4,11,da_as_total_mw_primary_reserve,0.7215395
4,12,da_as_as_mw_synchronized_reserve,0.9011632
4,13,total_pjm_reg_purchases,-0.62427545
4,14,gen_fuel_other_renewables_mw,0.6291379
4,15,total_lmp_da,-1.107432
4,16,total_pjm_rmpcp_cr,0.19982868
4,17,forecast_load_mw_day_ahead,1.3057591
4,18,total_pjm_rmccp_cr,-1.6773182
4,19,gen_fuel_wind_mw,0.25145745
4,20,da_as_total_mw_synchronized_reserve,0.9542036
4,21,system_energy_price_da,-0.96486616
4,22,gen_fuel_multiple_fuels_pct,-1.1738704
4,23,gen_fuel_multiple_fuels_mw,-0.5339713
4,24,marginal_loss_price_rt,-1.7482146
4,25,gen_fuel_gas_pct,0.46025598
4,26,marginal_loss_price_da,-0.84857047
4,27,total_lmp_rt,-1.4231497
4,28,rmccp,-1.271504
4,29,system_energy_price_rt,-1.1881632
4,30,rmpcp,-0.03454508
4,31,gen_fuel_wind_pct,-0.79707754
4,32,gen_fuel_coal_mw,1.0384066
4,33,wind_generation_mw,0.2855424
4,34,gross_inadv_interchange_mw,0.96204317
4,35,gen_fuel_oil_mw,-0.0635391
4,36,da_as_mcp_primary_reserve,-0.970814
4,37,total_pjm_rt_load_mwh,1.0261515
4,38,metered_load_mw,1.0254097
4,39,forecast_load_mw_latest_available,0.9509429
4,40,prelim_load_avg_hourly,0.9463211
4,41,gross_actual_interchange_mw,0.5464895
4,42,gen_fuel_hydro_mw,0.35527593
4,43,total_pjm_loc_credit,0.4560224
4,44,total_losses,-0.15805489
4,45,net_inadv_interchange_mw,0.413305
4,46,da_as_nsr_mw_primary_reserve,0.047387116
4,47,total_pjm_self_sched_reg,0.23882776
4,48,da_as_ss_mw_synchronized_reserve,-0.18408313
4,49,da_as_ss_mw_thirty_minutes_reserve,-0.24405375
4,50,da_as_ss_mw_primary_reserve,-0.14817163
4,51,gen_fuel_solar_mw,0.01304245
4,52,gen_fuel_coal_pct,-0.3277053
4,53,congestion_price_rt,-0.6311724
4,54,da_as_mcp_synchronized_reserve,-0.89472044
4,55,congestion_price_da,-0.33268788
5,1,da_as_as_mw_thirty_minutes_reserve,2.058787
5,2,da_as_total_mw_thirty_minutes_reserve,2.027224
5,3,gross_sched_interchange_mw,1.8810048
5,4,gen_fuel_nuclear_mw,1.6518179
5,5,gen_fuel_gas_mw,2.0332327
5,6,da_as_as_req_mw_thirty_minutes_reserve,0.2069127
5,7,da_as_as_req_mw_primary_reserve,0.09422039
5,8,da_as_as_req_mw_synchronized_reserve,0.12686777
5,9,total_pjm_assigned_reg,-0.6617304
5,10,da_as_as_mw_primary_reserve,0.71845514
5,11,da_as_total_mw_primary_reserve,0.6607964
5,12,da_as_as_mw_synchronized_reserve,0.9105521
5,13,total_pjm_reg_purchases,-0.74641854
5,14,gen_fuel_other_renewables_mw,0.6883696
5,15,total_lmp_da,-1.2946323
5,16,total_pjm_rmpcp_cr,0.14394735
5,17,forecast_load_mw_day_ahead,1.5118269
5,18,total_pjm_rmccp_cr,-1.8344594
5,19,gen_fuel_wind_mw,0.34212708
5,20,da_as_total_mw_synchronized_reserve,0.9633916
5,21,system_energy_price_da,-1.1382847
5,22,gen_fuel_multiple_fuels_pct,-1.4076699
5,23,gen_fuel_multiple_fuels_mw,-0.60187703
5,24,marginal_loss_price_rt,-2.020809
5,25,gen_fuel_gas_pct,0.44609877
5,26,marginal_loss_price_da,-1.0109917
5,27,total_lmp_rt,-1.5993558
5,28,rmccp,-1.4377986
5,29,system_energy_price_rt,-1.3299001
5,30,rmpcp,-0.092957385
5,31,gen_fuel_wind_pct,-0.9194855
5,32,gen_fuel_coal_mw,1.1887969
5,33,wind_generation_mw,0.40096608
5,34,gross_inadv_interchange_mw,1.1500115
5,35,gen_fuel_oil_mw,-0.02574902
5,36,da_as_mcp_primary_reserve,-1.0914141
5,37,total_pjm_rt_load_mwh,1.239709
5,38,metered_load_mw,1.2311959
5,39,forecast_load_mw_latest_available,1.1558529
5,40,prelim_load_avg_hourly,1.1513269
5,41,gross_actual_interchange_mw,0.6969099
5,42,gen_fuel_hydro_mw,0.50377434
5,43,total_pjm_loc_credit,0.6114324
5,44,total_losses,-0.16131651
5,45,net_inadv_interchange_mw,0.51298666
