area_1_load_actual_mw,area_2_load_actual_mw,area_3_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,area_3_load_day_ahead_mw,system_load_day_ahead_mw,system_losses_mw,area_1_net_export_mw,area_2_net_export_mw,area_3_net_export_mw,reserve_reg_up_mw,reserve_reg_down_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,reserve_spin_r3_mw,gen_fuel_coal_mw,gen_fuel_nuclear_mw,gen_fuel_hydro_mw,gen_fuel_wind_mw,gen_fuel_solar_mw,area_1_fuel_coal_mw,area_1_fuel_natural_gas_mw,area_1_fuel_nuclear_mw,area_1_fuel_hydro_mw,area_1_fuel_wind_mw,area_1_fuel_solar_mw,area_1_generation_mw,area_2_fuel_coal_mw,area_2_fuel_natural_gas_mw,area_2_fuel_hydro_mw,area_2_fuel_solar_mw,area_2_generation_mw,area_3_fuel_coal_mw,area_3_fuel_hydro_mw,area_3_fuel_wind_mw,area_3_fuel_solar_mw,hour_of_day,day_of_week,month_of_year,is_weekend
0.0243668,0.0625591,0.22005163,0.003656102,0.0065749385,0.047057908,0.049681105,0.02997322,0.0040118913,0.002787702,0.006991602,0.046053655,0.016645972,0.012738566,0.0068576345,0.0025752285,0.571593,0.0035369508,0.0061651017,0.005230063,0.02423572,0.2946938,0.024408245,0.003264696,0.0024848848,0.0032442152,0.0032605592,0.10437567,0.004085867,0.009902222,0.006375796,0.0034466847,0.042081974,0.0053605847,0.325744,0.11342936,0.8714553,0.8202162,0.014114025,0.0027855784,0.0034097128,0.004955031
0.014625075,0.043460462,0.1969279,0.00154323,0.00302061,0.031074805,0.03509933,0.018710008,0.001642812,0.0011233801,0.0033352491,0.029950865,0.008807369,0.006583774,0.0033158527,0.0010322654,0.55567527,0.0014593693,0.0027178957,0.0022998105,0.01412993,0.26328036,0.014352233,0.0013390788,0.00096436427,0.0013557835,0.0013246256,0.07687078,0.0017469242,0.0050131255,0.0029937727,0.0014308351,0.026411789,0.0023400516,0.28738442,0.10442568,0.84277385,0.7997597,0.0074245404,0.0011281981,0.0014201144,0.002188541
0.008433765,0.02938869,0.17447911,0.0006027801,0.0012966774,0.01980742,0.023995813,0.011198541,0.0006209672,0.00041705198,0.0014903334,0.018951466,0.004412772,0.0032021857,0.0015042091,0.00038081195,0.5390248,0.0005559293,0.0011149081,0.0009400144,0.007876904,0.23334716,0.00807259,0.0005072858,0.00034347468,0.00052314065,0.0004954069,0.05525179,0.0006920387,0.0023871,0.0013134413,0.0005481119,0.015993152,0.0009493827,0.24951048,0.09659269,0.81476384,0.78268063,0.003704621,0.00042120615,0.0005466762,0.00089940464
0.004616719,0.019169964,0.15310143,0.00021675866,0.00051582174,0.012208768,0.015832622,0.006444671,0.00021485993,0.0001416899,0.0006182224,0.01130192,0.002085929,0.0014625975,0.00063605455,0.0001284114,0.52196074,0.00019442294,0.00042307941,0.00035521667,0.004183217,0.20623533,0.0043230173,0.00017625553,0.00011151447,0.00018562717,0.00016959295,0.038450014,0.00025265172,0.0010629349,0.00053646293,0.00019280595,0.009189102,0.00035557855,0.22168656,0.09006722,0.7828037,0.7648072,0.0017375739,0.00014394314,0.0001931962,0.00034170205
0.0024014243,0.012079011,0.13349856,7.124295e-05,0.00018941546,0.00723492,0.010083849,0.003542513,6.770104e-05,4.376274e-05,0.00023727778,0.006518444,0.00092570006,0.00062415656,0.00024965705,3.9336563e-05,0.5069469,6.199924e-05,0.00014759571,0.00012324996,0.0021086151,0.18117934,0.0021971092,5.5828852e-05,3.2774482e-05,6.0129794e-05,5.2799947e-05,0.02586906,8.4457606e-05,0.0004407254,0.00020274828,6.1836494e-05,0.005007533,0.00012223993,0.19748417,0.087234885,0.7468641,0.7489961,0.0007641621,4.4742188e-05,6.229119e-05,0.000119373435
0.0011796771,0.0072902506,0.114900485,2.1270807e-05,6.381965e-05,0.0041229753,0.006165545,0.0018574308,1.9296835e-05,1.220245e-05,8.376062e-05,0.0035808182,0.0003838155,0.00024755238,9.040316e-05,1.0864671e-05,0.48908094,1.7909435e-05,4.7028887e-05,3.9066075e-05,0.0010058351,0.15688892,0.0010541391,1.6004233e-05,8.656881e-06,1.7659584e-05,1.48385625e-05,0.016884392,2.5686973e-05,0.00016929602,7.049779e-05,1.7974933e-05,0.002601137,3.83445e-05,0.17817162,0.080008544,0.7292043,0.7286416,0.00031282395,1.2563696e-05,1.8203424e-05,3.808707e-05
0.0005485304,0.0042339824,0.09954317,5.7264356e-06,1.9612267e-05,0.002243812,0.0036333215,0.0009229282,4.9390596e-06,3.0493327e-06,2.7043021e-05,0.0018541537,0.00014790214,9.089091e-05,3.006211e-05,2.6873731e-06,0.47915182,4.6513487e-06,1.3595741e-05,1.1224264e-05,0.0004514489,0.13479799,0.0004762385,4.122015e-06,2.039244e-06,4.6705036e-06,3.7393477e-06,0.010654645,7.054532e-06,6.003248e-05,2.2415103e-05,4.698599e-06,0.0012764153,1.08939485e-05,0.16320384,0.077130385,0.7084763,0.7095198,0.00011879599,3.1636625e-06,4.788038e-06,1.1020629e-05
0.00024022833,0.0023701547,0.08500709,1.3796443e-06,5.459868e-06,0.0011600794,0.0020437296,0.00043251042,1.1265884e-06,6.775719e-07,7.944711e-06,0.0008851452,5.2660424e-05,3.0689367e-05,9.119469e-06,5.906145e-07,0.46656743,1.0778658e-06,3.5408389e-06,2.904384e-06,0.00018984184,0.1152589,0.0002016278,9.4622607e-07,4.248976e-07,1.1038534e-06,8.383242e-07,0.0064881546,1.737044e-06,1.9544103e-05,6.4739597e-06,1.0967476e-06,0.0005918005,2.7832002e-06,0.15118197,0.07391796,0.68459153,0.6909073,4.168513e-05,7.088597e-07,1.1249288e-06,2.871681e-06
9.824799e-05,0.0012632316,0.07137953,2.9515357e-07,1.3666553e-06,0.00057019974,0.0010965713,0.00019086408,2.2708288e-07,1.3273984e-07,2.1080016e-06,0.00039844753,1.7227541e-05,9.47682e-06,2.5057698e-06,1.1431405e-07,0.45129272,2.210435e-07,8.244251e-07,6.7151876e-07,7.4419884e-05,0.09748865,7.9594945e-05,1.9204211e-07,7.761383e-08,2.3125828e-07,1.6581687e-07,0.0038003265,3.8053054e-07,5.796989e-06,1.6867378e-06,2.2667709e-07,0.00025790426,6.3471316e-07,0.14020406,0.06903605,0.6612666,0.67448086,1.341599e-05,1.4013392e-07,2.3415872e-07,6.689561e-07
3.7413083e-05,0.0006403722,0.05909328,5.5580013e-08,3.052186e-07,0.0002649915,0.0005594527,7.888164e-05,4.008264e-08,2.2715529e-08,5.01522e-07,0.00016794814,5.1455986e-06,2.658273e-06,6.1926676e-07,1.9306748e-08,0.43473527,3.9755687e-08,1.7020584e-07,1.3758645e-07,2.7051083e-05,0.08153662,2.9147343e-05,3.415163e-08,1.2308991e-08,4.256967e-08,2.8672927e-08,0.0021343715,7.352487e-08,1.5564602e-06,3.9346702e-07,4.1115115e-08,0.000105105,1.2811338e-07,0.12861131,0.0650517,0.6399054,0.65836835,3.9359907e-06,2.4218469e-08,4.2801286e-08,1.3817258e-07
1.318217e-05,0.00030793092,0.048630867,9.1256505e-09,6.030988e-08,0.00011591691,0.00027111257,3.038219e-05,6.134641e-09,3.3615604e-09,1.0613596e-07,6.5582295e-05,1.3937236e-06,6.725805e-07,1.3657302e-07,2.8164977e-09,0.4234642,6.209835e-09,3.0881804e-08,2.47587e-08,9.066262e-06,0.06743199,9.847908e-06,5.269386e-09,1.6770182e-09,6.818968e-09,4.291335e-09,0.0011454622,1.2414645e-08,3.755903e-07,8.150513e-08,6.481475e-09,3.987853e-05,2.2683121e-08,0.12157752,0.061751783,0.6152531,0.6401686,1.0456042e-06,3.6225212e-09,6.803957e-09,2.508228e-08
