方法,说明,n,前n个字段
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.706211835252353,system_energy_price_da|da_as_as_req_mw_primary_reserve|total_losses|gross_inadv_interchange_mw|gen_fuel_gas_pct|gen_fuel_solar_mw|marginal_loss_price_da|gross_sched_interchange_mw|gen_fuel_nuclear_mw|gen_fuel_multiple_fuels_pct|gen_fuel_coal_pct|da_as_mcp_primary_reserve|gen_fuel_oil_pct|forecast_load_mw_latest_available|da_as_as_mw_synchronized_reserve|congestion_price_rt|total_pjm_reg_purchases|total_pjm_loc_credit|gen_fuel_hydro_pct|gross_actual_interchange_mw|da_as_as_mw_thirty_minutes_reserve|total_pjm_rmpcp_cr|gen_fuel_other_renewables_pct|total_pjm_rt_load_mwh|da_as_mcp_synchronized_reserve|total_pjm_rmccp_cr
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.7390600327987029,gross_inadv_interchange_mw|da_as_mcp_synchronized_reserve|da_as_as_req_mw_primary_reserve|total_pjm_loc_credit|gross_sched_interchange_mw|da_as_as_req_mw_synchronized_reserve|da_as_as_mw_synchronized_reserve|gen_fuel_solar_pct|da_as_as_mw_thirty_minutes_reserve|system_energy_price_da|marginal_loss_price_da|gen_fuel_multiple_fuels_pct|gen_fuel_coal_pct|gen_fuel_solar_mw|gen_fuel_nuclear_mw|congestion_price_rt|gross_actual_interchange_mw|gen_fuel_coal_mw|total_losses|gen_fuel_gas_pct|total_pjm_rmpcp_cr|da_as_mcp_primary_reserve|system_energy_price_rt|da_as_nsr_mw_primary_reserve|total_lmp_rt|da_as_as_mw_primary_reserve
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.7109553105870074,marginal_loss_price_da|gen_fuel_oil_mw|gross_inadv_interchange_mw|da_as_as_req_mw_synchronized_reserve|metered_load_mw|total_losses|gross_actual_interchange_mw|forecast_load_mw_latest_available|da_as_as_mw_synchronized_reserve|gen_fuel_solar_pct|da_as_mcp_primary_reserve|gross_sched_interchange_mw|congestion_price_rt|gen_fuel_nuclear_mw|rmccp|gen_fuel_multiple_fuels_mw|da_as_as_mw_thirty_minutes_reserve|total_pjm_rmpcp_cr|system_energy_price_da|total_pjm_assigned_reg|prelim_load_avg_hourly|total_pjm_loc_credit|gen_fuel_multiple_fuels_pct|da_as_as_req_mw_primary_reserve|total_pjm_rmccp_cr|total_pjm_rt_load_mwh
XGBoost,树模型特征重要性（2016）,0.7607958650823019,da_as_as_req_mw_primary_reserve|marginal_loss_price_da|gen_fuel_oil_mw|gen_fuel_oil_pct|metered_load_mw|da_as_as_mw_synchronized_reserve|gen_fuel_solar_pct|prelim_load_avg_hourly|congestion_price_rt|system_energy_price_da|forecast_load_mw_latest_available|gen_fuel_nuclear_mw|gen_fuel_solar_mw|gross_inadv_interchange_mw|gen_fuel_gas_mw|gross_actual_interchange_mw|gen_fuel_nuclear_pct|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_multiple_fuels_mw|gen_fuel_multiple_fuels_pct|da_as_mcp_primary_reserve|gen_fuel_other_renewables_pct|da_as_mcp_synchronized_reserve|gen_fuel_coal_pct|total_pjm_rt_load_mwh|total_losses
Lasso,线性稀疏（1996）,0.7142181284342954,marginal_loss_price_da|gen_fuel_oil_mw|da_as_as_req_mw_primary_reserve|gross_inadv_interchange_mw|da_as_mcp_primary_reserve|gen_fuel_nuclear_mw|gen_fuel_solar_pct|marginal_loss_price_rt|gross_sched_interchange_mw|total_pjm_rmccp_cr|total_pjm_rmpcp_cr|da_as_mcp_synchronized_reserve|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_thirty_minutes_reserve|da_as_as_mw_thirty_minutes_reserve|da_as_as_mw_synchronized_reserve|da_as_nsr_mw_primary_reserve|system_energy_price_da|system_energy_price_rt|total_lmp_rt|congestion_price_rt|gross_actual_interchange_mw|da_as_as_mw_primary_reserve|total_pjm_assigned_reg|total_gen|total_pjm_loc_credit
Pearson,相关系数排序（只看两两关系）,0.7154615524886142,marginal_loss_price_da|gen_fuel_oil_mw|system_energy_price_da|gen_fuel_oil_pct|forecast_load_mw_latest_available|prelim_load_avg_hourly|metered_load_mw|total_gen|total_pjm_rt_load_mwh|gen_fuel_gas_mw|marginal_loss_price_rt|gen_fuel_coal_mw|da_as_mcp_synchronized_reserve|da_as_mcp_primary_reserve|total_lmp_rt|system_energy_price_rt|total_losses|gross_inadv_interchange_mw|gen_fuel_nuclear_pct|gen_fuel_hydro_mw|gen_fuel_other_renewables_pct|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_nuclear_mw|gen_fuel_coal_pct
