area_1_load_actual_mw,area_2_load_actual_mw,area_3_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,area_3_load_day_ahead_mw,system_load_day_ahead_mw,system_generation_mw,system_losses_mw,reserve_reg_up_mw,reserve_reg_down_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,reserve_spin_r3_mw,gen_fuel_coal_mw,gen_fuel_natural_gas_mw,gen_fuel_nuclear_mw,gen_fuel_wind_mw,gen_fuel_solar_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.7089281,0.6614923,0.67556536,0.69673014,0.709186,0.69466704,0.69160753,0.72316,0.6892297,1.0903773,0.75272053,0.7125245,0.72401744,0.6694159,0.6984059,0.82763326,0.75073117,0.7389605,1.1132275,1.0736175
0.5034876,0.44911203,0.48998082,0.51103455,0.51954675,0.46484226,0.50598615,0.5610684,0.47521883,0.96952385,0.6059021,0.50336945,0.59997493,0.464204,0.5374291,0.96927255,0.6691558,0.5532683,0.98642886,0.98230666
0.38335815,0.30412343,0.36489508,0.36458892,0.39241672,0.30194572,0.36717173,0.45218495,0.33352998,0.87072414,0.49913368,0.36444572,0.51686156,0.31422412,0.4253075,0.92872137,0.58808553,0.42562148,0.8910923,0.9148688
0.30479842,0.19493958,0.27406266,0.2531335,0.29764342,0.19010948,0.26563382,0.37206122,0.2336921,0.79505295,0.408132,0.26431498,0.45502248,0.21284756,0.3460039,0.8713417,0.5257834,0.33360875,0.8040406,0.8562374
0.25040948,0.12229897,0.2043756,0.17484625,0.22877964,0.11871336,0.1933905,0.30837294,0.16592893,0.72180104,0.32448164,0.18951352,0.4087206,0.1441642,0.28661692,0.8083975,0.48365018,0.26774088,0.7301058,0.80084014
0.20912105,0.07318576,0.15105027,0.11467601,0.17772488,0.071578376,0.13737817,0.2598412,0.11628881,0.65966666,0.25683963,0.13281375,0.37368396,0.09577431,0.23953049,0.7583206,0.45017904,0.21024084,0.66237366,0.7565402
0.17942141,0.04242519,0.117139414,0.07494166,0.13897638,0.041942965,0.097949855,0.2261085,0.08128505,0.5972233,0.20242316,0.089463316,0.3519029,0.066276,0.20858897,0.7169797,0.43309456,0.1735844,0.60411334,0.7041918
0.15293016,0.02354389,0.09119741,0.047646273,0.1079197,0.023908468,0.07020144,0.1990258,0.056463666,0.5463756,0.159151,0.058629733,0.32995266,0.045383945,0.18811908,0.68188447,0.41955167,0.14781666,0.5663088,0.6657987
0.13320775,0.012304976,0.06942131,0.029378442,0.085421786,0.013131134,0.048079625,0.18006045,0.038586207,0.5041125,0.123014376,0.036964618,0.31695047,0.031224338,0.17055498,0.6469884,0.39798477,0.12872662,0.5286851,0.6364317
