area_1_load_actual_mw,area_2_load_actual_mw,area_3_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,area_3_load_day_ahead_mw,system_load_day_ahead_mw,system_generation_mw,system_losses_mw,area_1_net_export_mw,area_2_net_export_mw,area_3_net_export_mw,reserve_reg_up_mw,reserve_reg_down_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,reserve_spin_r3_mw,gen_fuel_coal_mw,gen_fuel_natural_gas_mw,gen_fuel_nuclear_mw,gen_fuel_hydro_mw,gen_fuel_wind_mw,gen_fuel_solar_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.6715739,0.6894219,0.69861317,0.6549009,0.70173776,0.6867918,0.7843877,0.6627738,0.68225414,0.97463834,0.8873335,0.94363844,0.79654527,0.7852338,0.70152706,0.6908901,0.6761741,0.73443717,0.6747064,0.7448967,0.77296317,0.85180384,1.1401973,1.0934074
0.47490245,0.506212,0.4728629,0.41358525,0.54292244,0.4880118,0.61328995,0.42386684,0.47538665,0.90436584,0.7109127,0.8088592,0.6750197,0.5928552,0.50080854,0.4841455,0.460788,0.52260894,0.52017105,0.52825725,0.64723444,0.66063267,1.0093074,0.96114945
0.33320242,0.3678008,0.31333244,0.25875774,0.42531946,0.35017985,0.4767016,0.27185526,0.31972516,0.8360109,0.5737835,0.6583152,0.5681353,0.44408578,0.35950166,0.35218275,0.30581617,0.36319607,0.3959918,0.37705678,0.5227862,0.5096,0.8823131,0.8391588
0.24319804,0.2743965,0.20078535,0.158004,0.34803978,0.2514983,0.37383428,0.17413148,0.21029997,0.75665915,0.4535847,0.5219477,0.4900626,0.325186,0.25793812,0.2670219,0.20138769,0.24823658,0.30354068,0.27789629,0.42807895,0.39387277,0.78051823,0.7348351
0.18043713,0.21069449,0.12608112,0.091709614,0.2876005,0.18349412,0.29554778,0.106846295,0.13695975,0.6986351,0.3484926,0.42276004,0.42454192,0.23954387,0.18531443,0.20492548,0.13131219,0.16874477,0.23430519,0.2066859,0.34873706,0.30305442,0.7042323,0.64954346
0.13970652,0.16770768,0.075283065,0.05125235,0.25770038,0.13814001,0.23958679,0.0643963,0.08778832,0.64157087,0.25890148,0.34580192,0.37697503,0.17384711,0.13318866,0.16560486,0.086365126,0.112893775,0.18660605,0.16445908,0.29582965,0.24219409,0.63437253,0.57856375
0.108819574,0.13591625,0.04304816,0.026854653,0.23682496,0.10416673,0.2065041,0.03676916,0.054172844,0.5929211,0.18694124,0.28911844,0.3298059,0.12637635,0.09804752,0.1356242,0.054622926,0.0761941,0.14996698,0.13398556,0.24657911,0.19962148,0.58035177,0.5123053
0.08644911,0.115591206,0.023318416,0.013070527,0.22398366,0.08130376,0.17786549,0.019965138,0.031988826,0.5490663,0.13392694,0.24068001,0.3000657,0.092929244,0.07403738,0.11477624,0.0343532,0.04855698,0.12378245,0.117976375,0.21418959,0.16662991,0.53559905,0.46344978
0.0675999,0.10062988,0.0117356535,0.0058524846,0.21656325,0.0640272,0.16298136,0.010136607,0.01768588,0.51205236,0.09371616,0.20714906,0.27141908,0.06651774,0.05565654,0.097237624,0.020309225,0.029972518,0.1014883,0.107987806,0.1850702,0.14367636,0.49647167,0.4168458
0.053441554,0.091505,0.005460313,0.002386451,0.21510649,0.051612493,0.14936508,0.004759232,0.0091979,0.47257045,0.065015815,0.18629155,0.24329655,0.049666967,0.044166114,0.08402077,0.011452905,0.016930511,0.08510805,0.100852646,0.16299047,0.12785004,0.4649688,0.37728354
