area_1_load_actual_mw,area_2_load_actual_mw,area_3_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,area_3_load_day_ahead_mw,system_losses_mw,area_1_net_export_mw,area_2_net_export_mw,area_3_net_export_mw,reserve_reg_up_mw,reserve_reg_down_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,reserve_spin_r3_mw,gen_fuel_coal_mw,gen_fuel_natural_gas_mw,gen_fuel_hydro_mw,gen_fuel_wind_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.7908984,0.68353426,0.66461676,0.722498,0.67296344,0.6829131,0.82357186,1.0102793,0.81194764,0.8562695,0.6413237,0.68534505,0.7719423,0.71179605,0.670431,1.0101194,0.9888032,0.65547985,1.1552556
0.72804224,0.47188377,0.52422947,0.63630563,0.47473407,0.5646605,0.7738391,0.93732154,0.70933974,0.7438703,0.5211435,0.5680893,0.6896338,0.5406634,0.5304479,0.9810369,1.0123655,0.51824594,1.0279661
0.6799679,0.32428074,0.44036943,0.58506316,0.3615074,0.49229506,0.6959912,0.88969696,0.6520687,0.63512355,0.43658188,0.47672254,0.6274935,0.41826335,0.4477805,0.9648146,0.9948319,0.4153541,0.90207815
0.6344309,0.21203305,0.37164807,0.5388631,0.2833163,0.4340245,0.647826,0.85003835,0.61840254,0.5334679,0.37786296,0.4059552,0.5707182,0.3188611,0.3812986,0.944879,0.96869016,0.33832222,0.8135311
0.60872006,0.13362767,0.31641793,0.50732934,0.22411847,0.38098562,0.61151004,0.8109399,0.5967782,0.45411485,0.33195826,0.34817275,0.52833796,0.23769586,0.3209033,0.9322574,0.9465565,0.272064,0.724691
0.5833105,0.08226644,0.27389988,0.47491562,0.1805216,0.33962256,0.59323424,0.7762184,0.5790954,0.37935513,0.2952957,0.30242202,0.49338612,0.1727275,0.2759132,0.9167932,0.92664623,0.21808219,0.65849096
0.5603913,0.048589174,0.23811017,0.44842005,0.14620845,0.30491465,0.5798015,0.74507165,0.57424086,0.32264265,0.25881693,0.2577603,0.46222898,0.123674326,0.23562092,0.908923,0.9023739,0.17340085,0.59903747
0.5494954,0.027693251,0.20490931,0.43136722,0.11908479,0.27332404,0.5709263,0.7249821,0.56316227,0.27199218,0.23359953,0.21963868,0.4439522,0.08648697,0.20058714,0.89721394,0.8750454,0.1382044,0.5383681
0.52978605,0.015105745,0.17914924,0.4073908,0.09768156,0.24830297,0.5690865,0.70786107,0.5520393,0.23036829,0.20525078,0.1862105,0.41782305,0.058683205,0.17251387,0.890807,0.8544752,0.11159876,0.50906587
0.5176585,0.0077783493,0.15694042,0.39109778,0.07939921,0.22804481,0.5581834,0.6866124,0.540971,0.19278908,0.18617253,0.15718637,0.39939624,0.038716488,0.147844,0.8793455,0.83068484,0.09489437,0.4735369
0.5056007,0.0037849331,0.13701843,0.3745477,0.06408083,0.21000093,0.5471374,0.6665972,0.53857297,0.15933768,0.16529256,0.13161856,0.3828685,0.024850782,0.12610666,0.8708731,0.81481755,0.084728785,0.4463454
0.49448118,0.001725311,0.117091075,0.35740796,0.051251363,0.19125059,0.54246897,0.64714026,0.5227137,0.13660936,0.15435445,0.10966818,0.36722112,0.015370415,0.106444955,0.86033773,0.7958614,0.07496636,0.40701416
0.48723334,0.00073585025,0.10417107,0.34497872,0.040950544,0.1845105,0.5314082,0.64141715,0.50789833,0.11328256,0.13825382,0.090627216,0.35536098,0.009160945,0.09248925,0.8524194,0.7756376,0.07348762,0.3871702
0.4744612,0.0002912248,0.09278174,0.32929274,0.032476902,0.17938858,0.5296985,0.621988,0.50212073,0.09808425,0.12681045,0.0748324,0.34043458,0.0052403724,0.08001102,0.84358,0.7579728,0.070112474,0.3650634
0.46680474,0.0001062762,0.08201509,0.3170113,0.025089057,0.17682885,0.51644385,0.60470736,0.49074826,0.088058464,0.11705774,0.0617714,0.3294066,0.0028677154,0.0687425,0.8348779,0.7425023,0.07062246,0.34152144
0.45770174,3.5597735e-05,0.07065488,0.30421773,0.018981861,0.17040484,0.50460064,0.5930402,0.48427778,0.07664077,0.10618718,0.050228514,0.31629926,0.0014890265,0.056960642,0.8281991,0.72747505,0.06940328,0.32761657
0.44754514,1.08784425e-05,0.0610864,0.2908316,0.014114515,0.1683208,0.4981406,0.57968324,0.47746596,0.06742054,0.098302685,0.040074497,0.303877,0.00073389686,0.047006402,0.81949973,0.71598816,0.068081886,0.3107008
0.4436761,3.0124804e-06,0.051815424,0.28159517,0.01017521,0.16649766,0.49398983,0.56992066,0.4627374,0.060625993,0.092226975,0.0318869,0.2960804,0.00034135795,0.037891243,0.8122821,0.7054705,0.070004694,0.29123446
0.4341421,7.5074894e-07,0.043959726,0.2694457,0.007129444,0.17065415,0.4858617,0.5576683,0.4565969,0.05419617,0.08643372,0.024972564,0.28501672,0.00014937157,0.030329399,0.80366623,0.68914956,0.068845354,0.2804713
0.42992306,1.6706565e-07,0.035957746,0.26038003,0.004811603,0.17099878,0.4774217,0.54770464,0.4492674,0.048710115,0.081919715,0.019527238,0.27659905,6.1174724e-05,0.023257753,0.7955523,0.67826355,0.06830164,0.2689172
0.42523563,3.2922234e-08,0.028343037,0.25112888,0.0031445145,0.16970372,0.47487503,0.5366891,0.44262794,0.043191925,0.076049596,0.01440516,0.2691193,2.3349181e-05,0.01706335,0.7895543,0.6680713,0.07070475,0.25374258
0.4229747,5.6926397e-09,0.02207849,0.2435976,0.0019810817,0.17399259,0.46666792,0.52695894,0.43478474,0.03905742,0.072440155,0.010512714,0.26254833,8.259439e-06,0.01225297,0.78078777,0.65406245,0.07296719,0.24419637
0.41951832,8.551238e-10,0.016567582,0.23558019,0.0012009834,0.17835842,0.46033737,0.51532584,0.42999297,0.035292722,0.068192266,0.0073728347,0.2559736,2.6931814e-06,0.00842277,0.7702222,0.64339966,0.07372857,0.23275484
0.415864,1.1038233e-10,0.011793764,0.22722895,0.00069886335,0.17439973,0.4558481,0.50153005,0.42405394,0.03282002,0.06429352,0.0050050104,0.24878916,8.044021e-07,0.005492335,0.76552194,0.6353352,0.071365066,0.22470604
0.40756434,1.2099123e-11,0.008222395,0.21665129,0.0003896769,0.17896977,0.45341676,0.49584872,0.41489875,0.02822183,0.06124137,0.0032853056,0.23934922,2.1865237e-07,0.003460511,0.7556189,0.62314695,0.07284012,0.21519662
0.4029023,1.11156e-12,0.005452273,0.20839389,0.00020742546,0.1741145,0.44758743,0.48422766,0.41038018,0.025224572,0.059686642,0.0020883763,0.23184936,5.3700116e-08,0.0020756922,0.7513032,0.6137543,0.07171471,0.20810325
0.40186507,8.4380114e-14,0.0035039072,0.20197761,0.000105196945,0.17479806,0.43974537,0.4789001,0.40208915,0.021708172,0.054725833,0.0012692357,0.22655353,1.1824417e-08,0.0011976244,0.7436242,0.6048584,0.071987875,0.2008996
0.40027434,5.2104884e-15,0.0021618525,0.1952216,5.0648505e-05,0.17517124,0.43534973,0.467928,0.3957609,0.019036494,0.053743422,0.0007467235,0.22087811,2.314755e-09,0.00065985427,0.73316634,0.5939593,0.07096285,0.19196714
0.39850366,2.5726416e-16,0.0012794094,0.18854879,2.3060196e-05,0.17622957,0.42855397,0.46003425,0.39111662,0.016153751,0.05098958,0.00041484265,0.21511053,3.9918302e-10,0.00034676332,0.72661024,0.58293253,0.07195608,0.18680051
0.39935833,9.965946e-18,0.00072530285,0.18307437,9.890497e-06,0.17572829,0.42538187,0.448999,0.38520688,0.013957491,0.050786432,0.00022047145,0.2108758,6.004182e-11,0.00017333699,0.7195867,0.5724257,0.07026149,0.18004322
0.39330712,2.9663506e-19,0.0003933064,0.17476279,3.97848e-06,0.17737529,0.4230617,0.44149718,0.37780294,0.01158208,0.04847828,0.00011115361,0.20345874,7.791829e-12,8.216261e-05,0.7129392,0.5671052,0.06656687,0.1734897
0.3887829,6.629006e-21,0.00020336838,0.16724262,1.4937283e-06,0.17775954,0.41830447,0.43318003,0.3732974,0.009760834,0.04673168,5.310004e-05,0.19662511,8.6216613e-13,3.6797588e-05,0.7055883,0.5603869,0.06660306,0.16750188
0.38922128,1.0840468e-22,0.0001000222,0.16164511,5.2072255e-07,0.17855231,0.4124242,0.42478782,0.37161496,0.007742257,0.044452228,2.3958375e-05,0.19199678,8.0296616e-14,1.5512245e-05,0.69926775,0.5508033,0.069175154,0.16172132
0.38882172,1.2606673e-24,4.6634777e-05,0.15628009,1.6759775e-07,0.18098429,0.41047934,0.4196135,0.361517,0.006114818,0.044068683,1.0172702e-05,0.18778999,6.206203e-15,6.1256887e-06,0.6913482,0.54308677,0.068761766,0.15639234
0.38369277,1.0097288e-26,2.0527626e-05,0.14846417,4.9499366e-08,0.1780144,0.40873742,0.411792,0.3569424,0.0048110327,0.04302625,4.0459777e-06,0.18052538,3.9197545e-16,2.2553922e-06,0.68598646,0.5334286,0.067677855,0.15234567
0.38371903,5.37309e-29,8.497027e-06,0.14311084,1.3326706e-08,0.17654243,0.39859876,0.40281639,0.3528878,0.0036322144,0.041994497,1.4994588e-06,0.17564909,1.9889604e-17,7.701688e-07,0.67781824,0.5259003,0.06382745,0.15058301
0.38081393,1.8237457e-31,3.2915125e-06,0.13654895,3.2472984e-09,0.17616922,0.40246692,0.39686546,0.34778723,0.0026441992,0.04041981,5.156278e-07,0.17028235,7.9583776e-19,2.4248635e-07,0.66968477,0.5161658,0.06515702,0.14615107
0.38282338,3.7692504e-34,1.1873398e-06,0.13180289,7.1058875e-10,0.17880164,0.39455062,0.39410275,0.34291747,0.0018768713,0.041002322,1.6355727e-07,0.16647385,2.459919e-20,6.99578e-08,0.6670341,0.51238906,0.064925335,0.13937192
0.37912804,4.496807e-37,3.9665528e-07,0.12536025,1.3846714e-10,0.17760038,0.3933286,0.3856935,0.3374573,0.0012997766,0.041363772,4.7562263e-08,0.16055705,5.741741e-22,1.836901e-08,0.6612517,0.5050988,0.06327537,0.13605477
0.37794325,2.91038e-40,1.2199662e-07,0.11973243,2.38083e-11,0.17685375,0.38652286,0.3736171,0.3361115,0.0008795223,0.038753435,1.2594602e-08,0.15558386,9.868376e-24,4.3576764e-09,0.65639013,0.49681,0.06239279,0.13235821
0.38301754,9.5e-44,3.4324337e-08,0.11607508,3.576335e-12,0.16686171,0.38208145,0.3711763,0.32676262,0.0005661685,0.037472315,3.0153748e-09,0.15318097,1.2143549e-25,9.2660335e-10,0.6501449,0.4914959,0.061086122,0.12725668
0.38295755,0.0,8.773557e-09,0.11076598,4.642679e-13,0.17096826,0.381167,0.3636696,0.32413203,0.00035496414,0.036382508,6.475791e-10,0.14895314,1.0368776e-27,1.7509e-10,0.6438726,0.4825052,0.06128631,0.12299543
0.38354483,0.0,2.0221593e-09,0.1058451,5.147486e-14,0.16806607,0.37290645,0.35952365,0.32280597,0.00021399553,0.037548468,1.2369059e-10,0.14492175,5.9305898e-30,2.9126986e-11,0.6358004,0.47937858,0.06146343,0.11898336
0.37555596,0.0,4.168659e-10,0.09827165,4.8119798e-15,0.16890164,0.3795389,0.3533316,0.31777018,0.00012402436,0.03678504,2.0817908e-11,0.1369962,2.183621e-32,4.2225884e-12,0.62826884,0.4671438,0.05855922,0.1157715
0.3769855,0.0,7.6189256e-11,0.09376557,3.7397468e-16,0.16351745,0.36966884,0.3485344,0.3122418,6.879305e-05,0.037156574,3.056423e-12,0.13337633,4.9465663e-35,5.2760064e-13,0.62641305,0.46434936,0.057692204,0.11315394
0.37453777,0.0,1.2227948e-11,0.08827402,2.3793685e-17,0.16818309,0.36759338,0.33767456,0.31066808,3.6560687e-05,0.035841048,3.8716345e-13,0.12824462,6.545063e-38,5.6135242e-14,0.62133425,0.46026814,0.056543447,0.11028269
0.375216,0.0,1.7055302e-12,0.083498605,1.2185641e-18,0.16717006,0.36198837,0.3328374,0.30377567,1.851272e-05,0.0355563,4.1810285e-14,0.12406947,4.7626e-41,5.019428e-15,0.616633,0.45492822,0.055965044,0.10582815
0.37575603,0.0,2.0440632e-13,0.07890962,4.9310682e-20,0.16675691,0.36080512,0.32881105,0.29659247,8.897216e-06,0.035424586,3.799344e-15,0.12007978,1.8e-44,3.7180313e-16,0.6114305,0.4472719,0.055795565,0.10160275
0.37776753,0.0,2.0792008e-14,0.07456484,1.5447576e-21,0.16743425,0.3537078,0.3227925,0.2965923,4.047616e-06,0.035968725,2.8639992e-16,0.116512656,0.0,2.2458074e-17,0.6033267,0.43953162,0.056617502,0.09785362
0.37582266,0.0,1.7709859e-15,0.0694876,3.6626705e-23,0.16639616,0.35144052,0.31628403,0.29117572,1.7364048e-06,0.034209024,1.763158e-17,0.11149947,0.0,1.08724e-18,0.5977872,0.434081,0.05396892,0.09476932
0.3761445,0.0,1.2446638e-16,0.06501123,6.4103483e-25,0.16186744,0.3519973,0.31041536,0.2882811,6.991405e-07,0.03356543,8.714102e-19,0.1074633,0.0,4.139248e-20,0.59064704,0.4259711,0.054958005,0.09048255
0.37635335,0.0,7.102289e-18,0.060543228,8.054112e-27,0.1590026,0.34402588,0.30537346,0.2874229,2.629252e-07,0.033935264,3.3930193e-20,0.10332495,0.0,1.2135653e-21,0.588869,0.42351267,0.055617213,0.08621289
0.37543935,0.0,3.232663e-19,0.055998717,7.0420515e-29,0.15514693,0.34079576,0.30524522,0.27963677,9.189053e-08,0.032908276,1.0194516e-21,0.09898046,0.0,2.6772876e-23,0.58262813,0.41841105,0.055475652,0.083806515
0.37256733,0.0,1.15099436e-20,0.051182102,4.1377255e-31,0.15840885,0.34182802,0.29942477,0.27445713,2.967883e-08,0.031754334,2.3099356e-23,0.093893744,0.0,4.3317476e-25,0.5784614,0.4117044,0.053706918,0.08027573
0.3750882,0.0,3.1376252e-22,0.04731983,1.5706539e-33,0.16122878,0.3347388,0.29345763,0.27389288,8.804402e-09,0.032472152,3.8480213e-25,0.0903213,0.0,4.9951593e-27,0.5703634,0.40209046,0.0538586,0.07792039
0.37325284,0.0,6.3945755e-24,0.04297699,3.682854e-36,0.15815398,0.33321464,0.28952262,0.26730272,2.3832458e-09,0.031547036,4.581259e-27,0.08562076,0.0,3.9761684e-29,0.56603193,0.40126663,0.05537359,0.07506862
0.37442616,0.0,9.489332e-26,0.03925023,5.066948e-39,0.15919666,0.32636306,0.28711522,0.26364347,5.84463e-10,0.031392533,3.7765518e-29,0.08193155,0.0,2.107645e-31,0.56141055,0.3951725,0.05288664,0.07056675
0.37285838,0.0,9.956081e-28,0.035365783,3.854e-42,0.15535595,0.32594442,0.2789834,0.26367176,1.2885702e-10,0.030903654,2.0803008e-31,0.07764556,0.0,7.143178e-34,0.5545411,0.39103168,0.052776694,0.06825575
0.37224236,0.0,7.145873e-30,0.03178677,1e-45,0.1539938,0.3268013,0.278971,0.25560427,2.532679e-11,0.031351775,7.355669e-34,0.07371583,0.0,1.4778537e-36,0.5526413,0.38715002,0.052084245,0.06493775
0.37551534,0.0,3.3808158e-32,0.02866829,0.0,0.156795,0.32251886,0.2749728,0.25486907,4.3976467e-12,0.030666713,1.5948168e-36,0.07057197,0.0,1.769698e-39,0.546058,0.3791414,0.05159947,0.06171114
0.37369132,0.0,1.010947e-34,0.025308145,0.0,0.15388286,0.31788296,0.2691512,0.2528592,6.6793305e-13,0.031006351,2.011763e-39,0.066467896,0.0,1.153e-42,0.5426917,0.37697172,0.050345253,0.058020335
0.37235108,0.0,1.8210922e-37,0.022164969,0.0,0.1485087,0.32213804,0.26415902,0.24894997,8.779025e-14,0.030043265,1.389e-42,0.06236437,0.0,0.0,0.5411093,0.37336203,0.05238462,0.054905653
0.37160635,0.0,1.86986e-40,0.019282855,0.0,0.15201426,0.31399706,0.26168868,0.24548958,9.8689545e-15,0.029658126,0.0,0.05848184,0.0,0.0,0.5349482,0.36801147,0.051659726,0.051916245
0.37454155,0.0,1.02e-43,0.016776403,0.0,0.1491792,0.30997446,0.25879943,0.2439451,9.368271e-16,0.030109933,0.0,0.055402312,0.0,0.0,0.5321356,0.3637969,0.05340814,0.05046992
