area_1_load_actual_mw,area_2_load_actual_mw,area_3_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,area_3_load_day_ahead_mw,system_load_day_ahead_mw,system_losses_mw,area_1_net_export_mw,area_2_net_export_mw,area_3_net_export_mw,reserve_reg_up_mw,reserve_reg_down_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,reserve_spin_r3_mw,gen_fuel_coal_mw,gen_fuel_nuclear_mw,gen_fuel_hydro_mw,gen_fuel_wind_mw,gen_fuel_solar_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.752302,0.65843374,0.8507754,0.70244044,0.81182516,0.6975498,0.68206954,0.7123119,0.6889753,0.70464915,0.72649175,0.83341366,0.73460174,0.74630475,0.7486981,0.6843288,0.8758241,1.0353667,0.740737,0.7434595,1.1964927,1.2092365
0.5856817,0.44354853,0.7979549,0.47223544,0.70199406,0.48821053,0.5217149,0.57363206,0.547372,0.5152431,0.5430888,0.74137497,0.5562787,0.5992209,0.6019524,0.50232804,0.8290953,0.9077272,0.54642713,0.53069735,1.2518052,1.1995368
0.46365407,0.31375012,0.75375605,0.3345595,0.6078475,0.36169395,0.40328598,0.47130188,0.49047697,0.36878774,0.40054256,0.6557286,0.43122032,0.48963338,0.49532083,0.37901172,0.78001976,0.8016668,0.39427498,0.37960106,1.2463652,1.1839036
0.35971898,0.21255136,0.7081095,0.23275761,0.52662987,0.26963556,0.30499583,0.3917198,0.4602865,0.2620993,0.30396116,0.5732408,0.32979628,0.40494004,0.3975335,0.28177133,0.7333132,0.7298061,0.28367653,0.2904511,1.2354606,1.172775
0.3014411,0.13845855,0.676535,0.16636144,0.44586015,0.20242848,0.23869786,0.32403925,0.4478807,0.19574703,0.22696172,0.5185465,0.2507569,0.35134634,0.3133694,0.20150469,0.70630586,0.6635693,0.19906834,0.24372846,1.2083843,1.1534072
0.25187355,0.08534066,0.6350426,0.11354687,0.38645566,0.15312512,0.18330643,0.27341598,0.42671534,0.14660712,0.1671974,0.47782776,0.19554119,0.29502627,0.24497837,0.1437821,0.6657022,0.6349471,0.15739255,0.22383912,1.1955518,1.1368754
0.2239123,0.050502744,0.61213684,0.076169275,0.34321198,0.11489561,0.13792972,0.23214698,0.4119609,0.11471681,0.12587546,0.43802974,0.1493977,0.26654556,0.19995722,0.10160321,0.64510584,0.60049677,0.11727554,0.21179661,1.1661551,1.1150905
0.20510498,0.028784849,0.58277696,0.05028684,0.30024734,0.08474034,0.101111695,0.19216941,0.38855726,0.0880386,0.09550766,0.4130925,0.11495764,0.23528634,0.16054882,0.06941389,0.6129217,0.5771119,0.0981849,0.21476142,1.1503773,1.097677
0.19172959,0.015824066,0.568755,0.032451615,0.27050686,0.061638556,0.073926315,0.1627282,0.3797098,0.068363555,0.07211688,0.38064682,0.08437992,0.2123431,0.1347759,0.04652553,0.5959683,0.56805164,0.078505225,0.20156835,1.1321777,1.0682946
0.18371733,0.008086617,0.54754823,0.019691497,0.25497448,0.043521274,0.05246632,0.13484347,0.36577398,0.053928327,0.05240271,0.3494155,0.062145554,0.19272028,0.115585096,0.029834893,0.5714749,0.54373455,0.065826416,0.19087434,1.1194286,1.0530385
0.17313798,0.0038671305,0.52933717,0.011329604,0.2369217,0.030096367,0.03646473,0.110458665,0.3522019,0.041284706,0.040364165,0.33466884,0.043790594,0.18071626,0.09649502,0.018178442,0.55024433,0.54631025,0.061968487,0.18518724,1.0878081,1.0402375
0.16919199,0.0017107928,0.515589,0.006180829,0.22780466,0.02014147,0.024859844,0.09161383,0.34012166,0.031845015,0.029236665,0.31005535,0.03080764,0.16091,0.08276607,0.010665847,0.533173,0.51843673,0.05657504,0.1877649,1.0722606,1.0254908
0.16666451,0.0007004385,0.49940702,0.0032016092,0.22323169,0.012954465,0.016322289,0.076135464,0.32273012,0.022545608,0.020668983,0.30141908,0.020793699,0.15135227,0.0715337,0.0059817214,0.51529944,0.5082348,0.056085136,0.17700112,1.0600158,1.0047493
0.16079053,0.00026468222,0.4878398,0.0015484776,0.21538591,0.008045803,0.01039813,0.06345724,0.32016498,0.01636308,0.014381939,0.28745982,0.013636301,0.13689429,0.06049538,0.0031796878,0.5029271,0.50477743,0.05538598,0.17758757,1.0298545,0.9933744
0.15822375,9.1643386e-05,0.47217396,0.00070317084,0.21153896,0.0047700466,0.006382038,0.051820964,0.30290946,0.011750646,0.009913378,0.2748108,0.0084779225,0.12582956,0.05190676,0.0015916084,0.48440397,0.486097,0.058276493,0.17977282,1.0217874,0.9766772
0.15861712,2.8935354e-05,0.4627451,0.00029817058,0.21294805,0.002714801,0.0037804183,0.043199323,0.29840568,0.008030745,0.006327128,0.26394707,0.0051134382,0.11570037,0.0449673,0.00075120886,0.47305927,0.48533672,0.05913933,0.16743201,1.0021806,0.96253216
0.15669903,8.273126e-06,0.45299,0.000116869465,0.21170539,0.0014542829,0.002147301,0.035101835,0.2902779,0.0054701595,0.0040138103,0.24809033,0.0029665383,0.1096024,0.037838597,0.00033082213,0.46125382,0.46654364,0.062429167,0.1647899,0.98596156,0.95443153
0.15652883,2.131308e-06,0.44001076,4.239959e-05,0.21362716,0.00074139365,0.0011592469,0.028100286,0.27920404,0.0033958952,0.002312088,0.23967785,0.0016468482,0.102600604,0.03179414,0.0001361098,0.44750226,0.45853466,0.06021226,0.16073994,0.97392005,0.9410545
0.15390956,4.9093205e-07,0.43483546,1.4158996e-05,0.21016908,0.00035692673,0.0005986751,0.022120377,0.2734022,0.002031225,0.0012520497,0.22865793,0.00086919876,0.09567538,0.025746647,5.2035317e-05,0.4407016,0.44789383,0.062163845,0.1566599,0.960119,0.92646444
0.15367208,1.00290656e-07,0.4217171,4.3224027e-06,0.2110391,0.0001620764,0.00029305284,0.017163608,0.264538,0.001148034,0.0006311951,0.22314478,0.00043719998,0.09044588,0.020737205,1.8394507e-05,0.4268748,0.44105247,0.06840297,0.1528294,0.9456502,0.91547453
0.14772451,1.8010462e-08,0.41227004,1.2002097e-06,0.20487377,6.921227e-05,0.00013560175,0.012907799,0.25367135,0.0006223121,0.0002990736,0.20316817,0.00020848606,0.08217128,0.01598934,5.9822014e-06,0.4153964,0.43520752,0.068979494,0.15327698,0.942983,0.90326715
0.14818825,2.8157976e-09,0.40456095,3.007751e-07,0.207962,2.75996e-05,5.913101e-05,0.009612485,0.24431801,0.0003097473,0.00013170471,0.21225592,9.3475464e-05,0.07682559,0.012496721,1.778646e-06,0.40730307,0.43324608,0.071990356,0.14821103,0.92331314,0.89000005
0.14277847,3.7919914e-10,0.3928181,6.753504e-08,0.2024989,1.0245113e-05,2.4158693e-05,0.006874066,0.23729755,0.00014811684,5.427683e-05,0.20102414,3.945379e-05,0.07061582,0.009215799,4.804619e-07,0.3945928,0.42576405,0.07062583,0.15281299,0.906207,0.88867855
0.14238094,4.3479376e-11,0.38542193,1.3474103e-08,0.20398305,3.520003e-06,9.210876e-06,0.004862525,0.23109639,6.653891e-05,2.0833442e-05,0.19491042,1.5561587e-05,0.06607417,0.0067886366,1.17077605e-07,0.3864397,0.41761166,0.0735815,0.14437939,0.90387887,0.87206715
0.14083235,4.191026e-12,0.37889305,2.367124e-09,0.20329858,1.1132155e-06,3.258492e-06,0.0032940118,0.22106987,2.8108618e-05,7.420384e-06,0.18382113,5.71393e-06,0.06177496,0.0048250435,2.5534872e-08,0.37867364,0.4108095,0.073033385,0.14701483,0.8973979,0.858984
0.13839601,3.3490992e-13,0.3719898,3.6258832e-10,0.20310329,3.219897e-07,1.063793e-06,0.002163506,0.21617569,1.1042931e-05,2.4294677e-06,0.17594403,1.9412787e-06,0.056926023,0.0033288337,4.9428746e-09,0.3700911,0.40867835,0.072059505,0.1453544,0.88219196,0.851151
0.13635689,2.1850843e-14,0.3637743,4.7908014e-11,0.2026901,8.460548e-08,3.1857755e-07,0.0013647219,0.2057333,4.0422046e-06,7.3021477e-07,0.16859661,6.069549e-07,0.05604396,0.002222407,8.4139135e-10,0.3616544,0.4082042,0.07225062,0.13834569,0.87634325,0.8389507
0.1334902,1.1445887e-15,0.35879833,5.3965326e-12,0.19979616,2.0048066e-08,8.693534e-08,0.000830154,0.19557378,1.3687242e-06,1.9993122e-07,0.17001173,1.7352458e-07,0.052811332,0.0014329937,1.2468736e-10,0.35636547,0.39925477,0.073142044,0.13989611,0.8674227,0.82950705
0.13133135,4.7254754e-17,0.35081345,5.1164536e-13,0.1991851,4.250082e-09,2.1464542e-08,0.0004857764,0.19142598,4.2656598e-07,4.9535235e-08,0.16781892,4.5052587e-08,0.051897876,0.00089426525,1.5910906e-11,0.34677973,0.39515185,0.071813375,0.13885663,0.8601666,0.8189699
0.12942642,1.5066276e-18,0.345549,4.0260686e-14,0.19897203,7.991184e-10,4.758253e-09,0.0002721375,0.19445904,1.2158753e-07,1.10222995e-08,0.1613491,1.0544468e-08,0.049182396,0.0005365256,1.7275252e-12,0.3393855,0.38805038,0.06858155,0.13536698,0.8414588,0.8183163
0.126692,3.626928e-20,0.3411396,2.5892855e-15,0.1965061,1.3201623e-10,9.391434e-10,0.00014515569,0.18655579,3.1480422e-08,2.1843662e-09,0.15775864,2.2068851e-09,0.046240523,0.00030951886,1.5752174e-13,0.3346868,0.38628244,0.06858434,0.13527389,0.83520484,0.8043926
0.1232967,6.429606e-22,0.33516335,1.338279e-16,0.19424711,1.896705e-11,1.6354214e-10,7.3682764e-05,0.17831576,7.3489543e-09,3.820586e-10,0.14820302,4.094455e-10,0.043242883,0.00017108928,1.1891572e-14,0.3265555,0.380937,0.070172444,0.13521801,0.82386345,0.8011289
0.12505963,8.163022e-24,0.3295926,5.4566566e-18,0.19966896,2.3436264e-12,2.4879742e-11,3.5593646e-05,0.17944176,1.5344311e-09,5.8398675e-11,0.14484446,6.6704565e-11,0.04028236,9.0592606e-05,7.316864e-16,0.3196575,0.37342623,0.0722532,0.13175732,0.81681585,0.7872771
0.121590324,7.1948644e-26,0.32601267,1.7196696e-19,0.19732417,2.4604418e-13,3.2711817e-12,1.6239948e-05,0.17485094,2.840658e-10,7.717682e-12,0.141723,9.444469e-12,0.038619835,4.5627952e-05,3.606901e-17,0.315312,0.36793283,0.07352373,0.12686741,0.80560553,0.78344274
0.11699173,4.251222e-28,0.31946352,4.095334e-21,0.19284147,2.1657553e-14,3.6737635e-13,6.981766e-06,0.16571915,4.618655e-11,8.715653e-13,0.1430655,1.1491624e-12,0.036958367,2.1827796e-05,1.3978469e-18,0.30830196,0.36622018,0.07097523,0.12924495,0.80054647,0.77387184
0.11647054,1.6187018e-30,0.3156754,7.187484e-23,0.1948583,1.5753286e-15,3.4794006e-14,2.816901e-06,0.16109607,6.5276135e-12,8.304223e-14,0.13514887,1.1869825e-13,0.03696602,9.883626e-06,4.1710967e-20,0.30358115,0.36216953,0.07497283,0.12699558,0.7925233,0.7656623
0.111668445,3.7971763e-33,0.31202406,9.040699e-25,0.18991132,9.3194635e-17,2.7403534e-15,1.0612129e-06,0.15713269,7.929592e-13,6.583025e-15,0.13560739,1.0269619e-14,0.036022607,4.21612e-06,9.364722e-22,0.29971898,0.36065325,0.068666995,0.12793052,0.78163296,0.75954014
0.10996194,5.2119195e-36,0.30674663,7.900027e-27,0.18967244,4.406405e-18,1.7675251e-16,3.7144562e-07,0.15513214,8.17862e-14,4.2760973e-16,0.13113907,7.334252e-16,0.03303285,1.6874142e-06,1.5420173e-23,0.29354566,0.35353512,0.07101909,0.1262765,0.77684265,0.75356543
0.10660226,3.942916e-39,0.30325994,4.6308447e-29,0.18695371,1.633461e-19,9.180936e-18,1.2011773e-07,0.14985864,7.0668586e-15,2.238159e-17,0.13087925,4.254839e-17,0.03135218,6.3044706e-07,1.8099421e-25,0.2895288,0.35287103,0.069311745,0.1228748,0.765563,0.74976397
0.106483616,1.533e-42,0.29780385,1.7503609e-31,0.18951228,4.6479464e-21,3.7700724e-19,3.566865e-08,0.14421616,5.041197e-16,9.267525e-19,0.1315512,1.9701138e-18,0.030900642,2.1873952e-07,1.4668658e-27,0.28326958,0.34832826,0.06708139,0.12678333,0.76043,0.738951
0.10516297,0.0,0.29579076,4.0784745e-34,0.19024181,9.916561e-23,1.19927884e-20,9.6622905e-09,0.1447943,2.9216886e-17,2.9748155e-20,0.12890781,7.1411375e-20,0.028804602,7.0076915e-08,7.919814e-30,0.27981618,0.3438026,0.0679096,0.11879436,0.75349355,0.731277
0.10217718,0.0,0.29353422,5.563724e-37,0.18811387,1.5456545e-24,2.8896036e-22,2.3707796e-09,0.14247862,1.3517029e-18,7.2385907e-22,0.12550955,1.9834866e-21,0.027012387,2.060318e-08,2.7355846e-32,0.27533045,0.34034684,0.06880406,0.121048816,0.74315596,0.72468966
0.100477986,0.0,0.28918725,4.18565e-40,0.18833132,1.7097218e-26,5.1438283e-24,5.228401e-10,0.13836616,4.896234e-20,1.30247136e-23,0.12131961,4.1229834e-23,0.027496321,5.5222946e-09,5.772475e-35,0.27025968,0.33235824,0.07087557,0.11582983,0.7361231,0.7217989
