gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,system_energy_price_da,system_energy_price_rt,marginal_loss_price_rt,gross_inadv_interchange_mw
0.033209246,0.023151673,0.0,0.0,0.0931362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24649446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010929393,0.0,0.060583588,1.4132577e-23,0.0034796193,0.01446758
0.033180255,0.02276112,0.0,0.0,0.09200411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24268048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0115461005,0.0,0.05969364,2.2404853e-25,0.0031796403,0.013752149
0.03275011,0.022512738,0.0,0.0,0.09062579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2386693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010913587,0.0,0.058693163,2.5269676e-27,0.0024234406,0.014388388
0.03258735,0.022500494,0.0,0.0,0.08917911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2357334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011462452,0.0,0.05838595,1.9633983e-29,0.0017975507,0.015258251
0.031860843,0.022136457,0.0,0.0,0.08952954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23231302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011137223,0.0,0.057806626,1.0135453e-31,0.0011397889,0.015018078
0.031604532,0.021016302,0.0,0.0,0.08864178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22921608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010876552,0.0,0.057228,3.3366396e-34,0.00061068236,0.014785989
0.031351704,0.020910649,0.0,0.0,0.0870935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22675814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01106277,0.0,0.057393346,6.685404e-37,0.00025698295,0.0145875765
0.030965142,0.02023163,0.0,0.0,0.08654555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22243543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010859714,0.0,0.056309164,7.72641e-40,8.633183e-05,0.014191316
0.030049315,0.020049466,0.0,0.0,0.085272014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22071943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010566227,0.0,0.055716332,4.83e-43,2.3630997e-05,0.014556882
0.030142412,0.01992719,0.0,0.0,0.085299194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21753909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010656358,0.0,0.05568548,0.0,5.598179e-06,0.01479973
0.02960596,0.019197071,0.0,0.0,0.08430173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21452667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010580053,0.0,0.054206558,0.0,1.1619029e-06,0.0140841715
0.029420301,0.01870483,0.0,0.0,0.08350016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.211912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010590821,0.0,0.05438289,0.0,2.1255342e-07,0.014253256
0.029573577,0.01922468,0.0,0.0,0.08202652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20924525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010642339,0.0,0.05352296,0.0,3.4092196e-08,0.014342565
0.029142573,0.018926196,0.0,0.0,0.08092412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20756678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010320194,0.0,0.052927695,0.0,4.7508135e-09,0.013764258
0.028611964,0.018870667,0.0,0.0,0.0808926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2035497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010598902,0.0,0.0533333,0.0,5.68884e-10,0.014497797
0.0282926,0.018692058,0.0,0.0,0.08038602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20186162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010264129,0.0,0.05254464,0.0,5.7822008e-11,0.014138253
0.02793341,0.018524319,0.0,0.0,0.079963684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19898996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010224241,0.0,0.05318219,0.0,4.921847e-12,0.014066008
