total_gen,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_storage_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,metered_load_mw,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_reg_purchases,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,system_energy_price_rt,total_lmp_rt,congestion_price_rt,marginal_loss_price_rt,net_actual_interchange_mw,net_sched_interchange_mw
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.42855865,0.50971156,0.50895214,0.51510465,0.5410946,0.58976215,0.4936665,0.529197,0.4642359,0.52234685,0.5453174,0.4728873,0.5628892,0.46200642,0.5392399,0.4189422,0.48696646,0.44318038,0.43615294,0.4313589,0.46354312,0.43361562,0.38883415,0.47717085,0.5087669,0.53060555,0.5242288,0.48819187,0.493057,0.5370123,0.4837005,0.49083164,0.53125924,0.51718813,0.44345868,0.41427705,0.44360808,0.475013,0.39974833,0.4292867,0.5195941,0.50982606
0.413082,0.53309554,0.5282205,0.51569587,0.53999585,0.6817386,0.5018764,0.53976214,0.43624336,0.5518519,0.5782254,0.44315514,0.59244204,0.45085818,0.52560544,0.357703,0.45832828,0.40854827,0.40800577,0.3790176,0.43910408,0.3810572,0.31168038,0.47468928,0.5097557,0.550931,0.5236018,0.49853352,0.47836116,0.5726326,0.5077566,0.48350602,0.55540365,0.5566615,0.39745897,0.36871368,0.43418118,0.438961,0.31953695,0.37213212,0.51091135,0.5065767
0.39383718,0.54713273,0.5552114,0.52505726,0.5539925,0.7589288,0.5023152,0.55751973,0.4046734,0.5901542,0.6184688,0.42709112,0.60553926,0.46265033,0.5317872,0.32977024,0.42544279,0.36305594,0.3726822,0.3231444,0.41044608,0.33371,0.22269584,0.4731281,0.5185239,0.55815756,0.52907157,0.5056123,0.46540916,0.6092964,0.5365451,0.49046063,0.6074652,0.5982866,0.3559012,0.31938508,0.4225976,0.4153853,0.22663741,0.34392783,0.5048535,0.5228456
0.36096025,0.5702953,0.5849242,0.55612844,0.5626513,0.82602525,0.5011516,0.5791409,0.35748014,0.6232939,0.66102934,0.43323264,0.6293945,0.44905326,0.53071696,0.28861693,0.3934185,0.32423738,0.33075428,0.27359563,0.3774165,0.31855133,0.12237776,0.4698107,0.5120974,0.5701388,0.52832836,0.52470577,0.4540706,0.6630043,0.5541198,0.5048757,0.6378483,0.63015985,0.32406363,0.26265356,0.40728834,0.374047,0.14708973,0.32061356,0.5126707,0.5450192
0.32750466,0.5924259,0.5875795,0.56080836,0.5693706,0.89811933,0.5014304,0.6018385,0.31430432,0.6600488,0.704173,0.41397664,0.65670127,0.4438607,0.5280747,0.26013416,0.37193698,0.28409028,0.27005333,0.2068223,0.34218502,0.29934564,0.01575475,0.47788772,0.5153568,0.57697827,0.52841985,0.5341956,0.4317766,0.70804805,0.57751995,0.5099478,0.6718358,0.65782267,0.2582368,0.21814881,0.38901713,0.33139718,0.06610547,0.28073493,0.51196456,0.5327168
0.30171034,0.6016209,0.6004881,0.573252,0.5732794,0.95171124,0.49393788,0.6249957,0.2656679,0.69206256,0.74488723,0.41963986,0.67598283,0.44032368,0.5168645,0.24072677,0.3424271,0.23774974,0.23633872,0.12607162,0.31892788,0.28708455,0.0,0.48975757,0.50789934,0.5892752,0.52740073,0.54573286,0.4087135,0.73404384,0.59543765,0.50189036,0.69612527,0.6857262,0.20653476,0.16749036,0.36003104,0.28933194,0.0,0.24866506,0.5248728,0.5481106
0.26382697,0.60920304,0.6139213,0.61515486,0.58573586,1.0,0.5016688,0.65508807,0.21464348,0.7185696,0.7890665,0.4351147,0.709503,0.44142216,0.5192368,0.21730633,0.31631425,0.18405272,0.19413617,0.062075634,0.2907672,0.242054,0.0,0.49011713,0.49580687,0.58231026,0.53309864,0.541957,0.37637693,0.7777782,0.607581,0.5173751,0.72766006,0.7188509,0.16287683,0.11962175,0.33772114,0.24626507,0.0,0.19835937,0.5218324,0.56674373
0.21641015,0.6248578,0.6389577,0.6131311,0.5957615,1.0,0.49120644,0.6731855,0.15848602,0.7519767,0.8094934,0.41516528,0.73021734,0.43132392,0.5122927,0.19800226,0.300981,0.13380225,0.13638292,0.0,0.24594852,0.24979532,0.0,0.49937347,0.48430037,0.5823064,0.54065335,0.5409818,0.35197353,0.8214414,0.6428716,0.5175234,0.7543642,0.7412137,0.08436201,0.07114655,0.30342022,0.19853012,0.0,0.15214369,0.5211785,0.5802551
0.18768086,0.634042,0.6663355,0.62203276,0.5999093,1.0,0.49453786,0.71146244,0.08037154,0.77795273,0.86650854,0.396413,0.74995023,0.4168027,0.49909222,0.15663002,0.28401664,0.07803001,0.08067317,0.0,0.20115754,0.23676948,0.0,0.51379865,0.4746519,0.5760844,0.5473142,0.54664993,0.3166983,0.862359,0.6663618,0.52993476,0.7921604,0.76299924,0.02846677,0.0025680151,0.26287302,0.14791569,0.0,0.11370454,0.52877206,0.5932019
0.15478222,0.6485623,0.68342346,0.6460515,0.61771256,1.0,0.4914368,0.74763656,0.023047041,0.8225504,0.9166121,0.36876535,0.77586466,0.39998117,0.49591595,0.12429647,0.25374857,0.01579794,0.014703574,0.0,0.16027004,0.24396817,0.0,0.5293736,0.47129247,0.57630527,0.5351165,0.5419179,0.27399173,0.90940034,0.6798295,0.5218923,0.823216,0.7877238,0.0,0.0,0.22713187,0.08038622,0.0,0.050857563,0.5390664,0.59543854
0.11963979,0.6589859,0.695617,0.65554607,0.62588716,1.0,0.49218217,0.78287685,0.0,0.85788757,0.9553565,0.34155115,0.79241914,0.38474825,0.4920386,0.09584228,0.21938397,0.0,0.0,0.0,0.11857778,0.22708294,0.0,0.53954977,0.47241318,0.57316816,0.5511213,0.5428674,0.24167891,0.94107485,0.69277096,0.48661408,0.8474748,0.8205119,0.0,0.0,0.18558426,0.034132343,0.0,0.0,0.53375196,0.6093986
0.08933813,0.6747378,0.70633006,0.6732045,0.6448863,1.0,0.4853866,0.814939,0.0,0.8856336,0.9799836,0.32928047,0.81653386,0.373992,0.49152175,0.05628124,0.19215596,0.0,0.0,0.0,0.06625009,0.21443827,0.0,0.5513848,0.45768476,0.5783861,0.55400497,0.5332495,0.20320252,0.96609396,0.7178833,0.47024372,0.87920505,0.86188644,0.0,0.0,0.13733347,0.0,0.0,0.0,0.5355737,0.6377249
0.056491643,0.7000279,0.72379327,0.71011275,0.64649624,1.0,0.47438702,0.8481236,0.0,0.91827136,1.0,0.31711075,0.82487845,0.37010902,0.4845992,0.016555572,0.15925948,0.0,0.0,0.0,0.033659767,0.20332707,0.0,0.5574192,0.44685525,0.5725372,0.5444244,0.5339253,0.15073282,0.9992686,0.74852973,0.4499845,0.9122489,0.8998454,0.0,0.0,0.0884266,0.0,0.0,0.0,0.5365639,0.65750664
0.012091145,0.69798326,0.73739225,0.7248241,0.6484723,1.0,0.46828964,0.8823131,0.0,0.9447467,1.0,0.28907365,0.83688956,0.34625366,0.4802879,0.0,0.12239046,0.0,0.0,0.0,0.0,0.19782455,0.0,0.57842726,0.43238306,0.56380785,0.5354717,0.5249476,0.09855488,1.0,0.7475008,0.4372393,0.936534,0.92663455,0.0,0.0,0.030559078,0.0,0.0,0.0,0.52151096,0.6562669
0.0,0.719168,0.76916033,0.75499505,0.6645268,1.0,0.45621252,0.925168,0.0,0.98598605,1.0,0.26569158,0.8632144,0.33422643,0.47432375,0.0,0.086947754,0.0,0.0,0.0,0.0,0.20695806,0.0,0.61469465,0.41421816,0.5581669,0.52417374,0.5157805,0.042647384,1.0,0.7776871,0.42824292,0.9576535,0.9632117,0.0,0.0,0.0,0.0,0.0,0.0,0.5069577,0.654569
0.0,0.73437023,0.80180544,0.7791442,0.67309475,1.0,0.4594101,0.9570686,0.0,1.0,1.0,0.24360465,0.87425864,0.3305551,0.47628242,0.0,0.05267405,0.0,0.0,0.0,0.0,0.20695016,0.0,0.63736063,0.39867032,0.56424254,0.5225057,0.5049704,0.0,1.0,0.8099697,0.403638,0.9990048,0.9867876,0.0,0.0,0.0,0.0,0.0,0.0,0.5029547,0.6779108
0.0,0.740171,0.8202961,0.81153226,0.6831824,1.0,0.46088225,1.0,0.0,1.0,1.0,0.20934317,0.8875809,0.3136388,0.469965,0.0,0.0047346093,0.0,0.0,0.0,0.0,0.22263533,0.0,0.66153705,0.3764137,0.5682635,0.52236557,0.502194,0.0,1.0,0.83933693,0.36343962,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50459903,0.6841141
0.0,0.7561172,0.8317501,0.83893275,0.6947007,1.0,0.45978114,1.0,0.0,1.0,1.0,0.16132188,0.90836394,0.2992585,0.4714291,0.0,0.0,0.0,0.0,0.0,0.0,0.2330741,0.0,0.6825503,0.3536037,0.572606,0.505746,0.48868507,0.0,1.0,0.8653716,0.33418003,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.502154,0.70474255
0.0,0.7693663,0.8436476,0.8575358,0.70396215,1.0,0.4459299,1.0,0.0,1.0,1.0,0.10555201,0.9268419,0.25352296,0.44937283,0.0,0.0,0.0,0.0,0.0,0.0,0.23821796,0.0,0.7111949,0.32970893,0.56539005,0.5060413,0.48311144,0.0,1.0,0.8886471,0.30278343,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49627438,0.7121504
0.0,0.7800059,0.86879516,0.8982421,0.72424775,1.0,0.45164376,1.0,0.0,1.0,1.0,0.06879041,0.9438646,0.23438103,0.44441113,0.0,0.0,0.0,0.0,0.0,0.0,0.24654655,0.0,0.72819555,0.2946726,0.56616485,0.49056312,0.47193462,0.0,1.0,0.9095333,0.26685545,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49730203,0.740833
0.0,0.8002604,0.8992705,0.925861,0.735508,1.0,0.4391379,1.0,0.0,1.0,1.0,0.012242151,0.9569655,0.19954872,0.42810595,0.0,0.0,0.0,0.0,0.0,0.0,0.24851023,0.0,0.75388825,0.26539654,0.55029947,0.48606578,0.44683325,0.0,1.0,0.9353086,0.22849064,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48420238,0.76209915
0.0,0.8068718,0.9282996,0.9563652,0.73860765,1.0,0.4303284,1.0,0.0,1.0,1.0,0.0,0.98142755,0.16779725,0.4231372,0.0,0.0,0.0,0.0,0.0,0.0,0.25722748,0.0,0.79396605,0.23405905,0.53849065,0.48835838,0.4328284,0.0,1.0,0.9419393,0.18136223,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46561623,0.78176373
