area_1_load_actual_mw,area_2_load_actual_mw,area_3_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,area_3_load_day_ahead_mw,system_load_day_ahead_mw,system_generation_mw,system_losses_mw,area_1_net_export_mw,area_2_net_export_mw,area_3_net_export_mw,reserve_reg_up_mw,reserve_reg_down_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,reserve_spin_r3_mw,gen_fuel_coal_mw,gen_fuel_natural_gas_mw,gen_fuel_nuclear_mw,gen_fuel_hydro_mw,gen_fuel_wind_mw,gen_fuel_solar_mw,area_1_fuel_coal_mw,area_1_fuel_natural_gas_mw,area_1_fuel_nuclear_mw,area_1_fuel_hydro_mw,area_1_fuel_wind_mw,area_1_fuel_solar_mw,area_1_generation_mw,area_2_fuel_coal_mw,area_2_fuel_natural_gas_mw,area_2_fuel_hydro_mw,area_2_fuel_solar_mw,area_2_generation_mw,area_3_fuel_coal_mw,area_3_fuel_natural_gas_mw,area_3_fuel_wind_mw,area_3_fuel_solar_mw,area_3_generation_mw,hour_of_day
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.5006052,0.40720373,0.44127816,0.4138509,0.449099,0.5029035,0.46165022,0.49200544,0.4941797,0.6001247,0.55729175,0.5191393,0.51078635,0.4467083,0.52180535,0.44604564,0.439671,0.50514793,0.45162082,0.4124899,0.47235873,0.42243636,0.58255583,0.5001133,0.55946064,0.54552436,0.47455767,0.5229882,0.57800716,0.48363158,0.48639458,0.43143797,0.49177253,0.49156526,0.44538122,0.4570358,0.45858806,0.48713952,0.5231807,0.49645758,0.49656907,0.44653308
0.4970052,0.32671386,0.40220216,0.39463314,0.41841233,0.48817673,0.40508175,0.4682235,0.4648031,0.68538105,0.5733633,0.51875037,0.56046385,0.4244598,0.49847957,0.42719078,0.37694517,0.46364412,0.4812035,0.37806988,0.54504055,0.38221002,0.6094954,0.47729972,0.6197304,0.5974611,0.5347242,0.58389974,0.64468145,0.48175865,0.49646664,0.40022796,0.47350246,0.4619991,0.4548653,0.393575,0.4281977,0.4639382,0.5026893,0.4651339,0.46936384,0.39964098
0.49600443,0.24335542,0.3549323,0.35679358,0.39029402,0.46685442,0.33124188,0.44348916,0.43446803,0.73014057,0.5810464,0.5053487,0.6043561,0.39012155,0.47670385,0.40750155,0.312246,0.42161515,0.49719852,0.35264665,0.59492666,0.3311143,0.62115955,0.46166933,0.6841957,0.63834774,0.5679702,0.64391994,0.71456754,0.48772582,0.50028384,0.37565044,0.45324397,0.42760277,0.4472582,0.3465182,0.39348575,0.4370797,0.4729698,0.44223958,0.43622082,0.3416124
0.49290058,0.1591765,0.2919411,0.32273453,0.37888962,0.43536627,0.26467732,0.41418508,0.411911,0.7827366,0.5956575,0.49203724,0.6297073,0.3698211,0.4573534,0.3879612,0.23294875,0.37311465,0.51787394,0.31357807,0.6271407,0.2865223,0.634637,0.4541042,0.7215517,0.6954387,0.5965766,0.690782,0.7696102,0.5074805,0.49836025,0.35145634,0.4238221,0.38308564,0.44864652,0.30038765,0.34716117,0.40418038,0.44590852,0.4190781,0.39621997,0.29711917
0.48743182,0.06795324,0.2338554,0.28943858,0.3766679,0.40047467,0.19007322,0.37723348,0.3815454,0.8257946,0.59723246,0.48018694,0.65681887,0.32812312,0.4326867,0.37330315,0.14223814,0.31736892,0.52800614,0.27914467,0.6750611,0.22761889,0.6445815,0.4426734,0.7703386,0.7557268,0.6273347,0.74549,0.83098716,0.5458753,0.5120902,0.31357574,0.39538664,0.33788317,0.4413242,0.2698304,0.299892,0.35975483,0.40528348,0.3972694,0.35842678,0.24207875
0.47899288,-0.025054473,0.1639358,0.2540414,0.36381623,0.36303434,0.106635936,0.34735796,0.35901356,0.8703875,0.6076187,0.4602721,0.6893914,0.28371957,0.40494797,0.3625276,0.060488652,0.2625507,0.5317169,0.24177718,0.6958448,0.15903862,0.6474142,0.4073562,0.81548023,0.7898828,0.640743,0.8007137,0.8852803,0.5555041,0.5192631,0.28238988,0.3584996,0.27071607,0.4261912,0.22604708,0.24376822,0.31287172,0.3629419,0.35348776,0.321923,0.19215941
0.46848336,-0.12689194,0.078617215,0.20473227,0.3412229,0.32283336,0.022085724,0.30715114,0.32105225,0.91057116,0.61203396,0.44864807,0.70754945,0.22367753,0.3748301,0.35265142,-0.03203639,0.20282122,0.536838,0.19118461,0.7359044,0.087719165,0.65501785,0.38743997,0.8488487,0.81985074,0.6515161,0.8580023,0.93254673,0.5827869,0.52467734,0.24370061,0.31546497,0.20768861,0.40336135,0.17088065,0.18837407,0.2568268,0.31945652,0.30907932,0.27760595,0.11501229
0.4534275,-0.22520335,-0.0069405483,0.15314433,0.31834623,0.2767786,-0.07963697,0.2673114,0.2845752,0.9426359,0.607527,0.42492804,0.74459624,0.1605611,0.3331444,0.3444077,-0.11500982,0.13365889,0.5325618,0.13990544,0.79090035,0.009082357,0.65661806,0.35042804,0.8678166,0.8632238,0.6823476,0.91155195,0.97503304,0.5942398,0.5224997,0.2099783,0.2786278,0.13444622,0.37756893,0.12003317,0.11835447,0.19983356,0.26643822,0.26097417,0.22741857,0.039704967
0.4342618,-0.32075375,-0.0863305,0.098481625,0.29046658,0.22245382,-0.17721191,0.21973088,0.23126282,0.98137623,0.6048461,0.4044435,0.76968056,0.08227831,0.28275612,0.33541784,-0.21025372,0.050903227,0.5314471,0.08051513,0.8240059,-0.082155146,0.65514666,0.31169358,0.89908665,0.8961987,0.7034371,0.9482803,1.0257248,0.6129943,0.5285901,0.16578266,0.22714737,0.052971274,0.34376094,0.06352482,0.04786731,0.13346417,0.20767722,0.20561206,0.17655922,-0.03400332
