方法,说明,n,前n个字段
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.9592446694134812,prelim_load_avg_hourly|gen_fuel_gas_mw|gen_fuel_nuclear_pct|gen_fuel_coal_mw|gen_fuel_nuclear_mw|gen_fuel_solar_mw|gen_fuel_hydro_pct|gross_sched_interchange_mw|gen_fuel_wind_mw|da_as_nsr_mw_primary_reserve|gen_fuel_oil_mw
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.9139691238676547,gen_fuel_nuclear_mw|gen_fuel_coal_pct|gen_fuel_nuclear_pct|forecast_load_mw_latest_available|gross_sched_interchange_mw|gen_fuel_other_renewables_mw|gen_fuel_solar_mw|gen_fuel_gas_pct|da_as_as_mw_thirty_minutes_reserve|gen_fuel_multiple_fuels_pct|gen_fuel_gas_mw
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.8094909511800402,gross_sched_interchange_mw|da_as_as_req_mw_thirty_minutes_reserve|total_pjm_assigned_reg|gen_fuel_multiple_fuels_pct|gen_fuel_gas_mw|total_pjm_rmpcp_cr|system_energy_price_da|gen_fuel_solar_mw|gen_fuel_storage_mw|marginal_loss_price_rt|da_as_ss_mw_primary_reserve
XGBoost,树模型特征重要性（2016）,0.8345173371088066,da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_multiple_fuels_pct|gross_sched_interchange_mw|da_as_as_req_mw_primary_reserve|gen_fuel_nuclear_mw|system_energy_price_da|marginal_loss_price_rt|total_pjm_reg_purchases|total_pjm_assigned_reg|gen_fuel_coal_pct|da_as_mcp_synchronized_reserve
Lasso,线性稀疏（1996）,0.9547893236826648,prelim_load_avg_hourly|gen_fuel_gas_mw|gen_fuel_coal_mw|gen_fuel_solar_mw|gen_fuel_wind_mw|gen_fuel_nuclear_mw|gen_fuel_hydro_mw|gen_fuel_oil_mw|da_as_nsr_mw_primary_reserve|gross_sched_interchange_mw|solar_generation_mw
Pearson,相关系数排序（只看两两关系）,0.8197522898974143,gross_sched_interchange_mw|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_nuclear_mw|da_as_as_mw_thirty_minutes_reserve|da_as_as_mw_primary_reserve|da_as_as_mw_synchronized_reserve|gen_fuel_multiple_fuels_pct|gen_fuel_gas_mw|total_pjm_assigned_reg
