目标,字段,贡献值,归一化份额,独立能力,不可替代性,协同冗余指数,类型,通道A门控值,分解式门控,随机门控,两两相关性,置换重要性,Lasso系数
净实际交换功率,gen_fuel_multiple_fuels_pct,0.29540221362771363,0.24544984304571185,1.3064380467341925,0.03833149263097724,-1.2681065541032153,替身型,0.08871839195489883,0.005770017858594656,2.537914991378784,0.32658126438651885,0.004789781435453477,0.13953748238591035
净实际交换功率,gen_fuel_nuclear_pct,0.28195588339377814,0.23427728071136297,0.05927366050222993,0.371692674800582,0.31241901429835206,协同型,0.17529511451721191,0.11335857957601547,-2.5996904373168945,0.10994609013852684,-8.659784841311691e-05,0.0
净实际交换功率,da_as_as_req_mw_synchronized_reserve,0.2375420757584368,0.19737382633544004,0.7934944401024788,0.13991635174537764,-0.6535780883571012,替身型,0.10040371865034103,0.0,-2.2812368869781494,0.41635607188444923,-0.019575777470684664,0.002134639992628935
净实际交换功率,da_as_as_req_mw_thirty_minutes_reserve,0.231862616612354,0.19265476096734024,0.7699856720137124,0.08784681086596757,-0.6821388611477448,替身型,0.08191727101802826,0.0,-2.4204516410827637,0.41418490213670833,-0.014515762505237628,0.0
净实际交换功率,total_pjm_assigned_reg,0.21318071540085232,0.1771319601601076,0.8316996755623216,0.172479992287915,-0.6592196832744066,替身型,9.081421126211353e-07,0.0,-2.5817837715148926,0.2820279093741222,0.0005295185445221229,0.05668638987646426
净实际交换功率,marginal_loss_price_rt,0.19053446937969795,0.15831518332148803,0.2931431774755482,0.13308900359689302,-0.16005417387865517,替身型,0.0002513709187041968,0.0,-2.7142086029052734,0.10045365881439203,0.10198451790118161,0.05220116263032544
净实际交换功率,da_as_as_mw_thirty_minutes_reserve,0.1773899497925303,0.14739339560039932,0.760490422878016,0.05468962533591748,-0.7058007975420986,替身型,0.18187472224235535,0.0,-2.6586310863494873,0.38721861749547104,0.1998717691166232,0.04485571150145438
净实际交换功率,da_as_as_req_mw_primary_reserve,0.1760585199291623,0.1462871098790543,0.636699369430799,0.08188783468722427,-0.5548115347435747,替身型,0.10783021152019501,0.0,-2.568284034729004,0.4163430274585439,-0.033162231405467146,0.05972696751498915
净实际交换功率,gen_fuel_nuclear_mw,0.16949916803722956,0.14083694120027282,0.7679879846775948,0.02906624473939079,-0.738921739938204,替身型,0.2848968207836151,0.07310255616903305,-2.6720023155212402,0.40993234412298246,0.26959084206174627,0.6378262774237514
净实际交换功率,system_energy_price_da,0.1593862536649911,0.13243411572744507,0.30943629193179545,0.18765831192073268,-0.12177798001106277,替身型,0.24464116990566254,0.0,2.580885171890259,0.12004880047097218,0.02321981782695772,0.006581119954886973
净实际交换功率,gen_fuel_gas_pct,0.1572859798343939,0.13068899717961055,0.4132669476467936,0.07038198145319452,-0.3428849661935991,替身型,0.08259427547454834,0.0,-2.2406508922576904,0.2501229256161757,-0.011123289369341727,0.09224550203973282
净实际交换功率,gen_fuel_coal_mw,0.15269406609795233,0.12687357382158027,0.03576126857721906,0.12315219115940446,0.08739092258218539,协同型,0.17307615280151367,0.04855399206280708,-2.583313465118408,0.17611188813775844,0.10856770960832654,1.8570495550651567
净实际交换功率,gen_fuel_gas_mw,0.1371098672441392,0.11392465541069016,0.30195318245339786,0.1001348273229512,-0.20181835513044666,替身型,0.06708057224750519,0.07825615257024765,2.5283613204956055,0.3107871190144793,-0.009382343278319638,2.8499287484557962
净实际交换功率,da_as_as_mw_synchronized_reserve,0.1261856722251939,0.10484773645374527,0.5829519502864149,0.05027179237242052,-0.5326801579139944,替身型,0.04295428469777107,0.0,-2.7319180965423584,0.3422041402785377,-0.005541245488797664,1.2470998358803131e-17
净实际交换功率,da_as_as_mw_primary_reserve,0.12414064375916467,0.10314852130621263,0.8825786647392349,-0.04561648559793241,-0.9281951503371673,替身型,7.566472049802542e-05,0.0,-2.634032964706421,0.34844169747592124,0.008545865968041255,0.0
净实际交换功率,system_energy_price_rt,0.10997957541337247,0.0913820827269311,0.3912282229280821,0.07345141879453276,-0.31777680413354936,替身型,1.8381959989710595e-06,0.0,-2.8179306983947754,0.09023313776027002,0.0024347270240700604,0.02201093821550031
净实际交换功率,gen_fuel_coal_pct,0.07564821867623853,0.06285614170844,0.17922065689162547,0.009728364131042166,-0.1694922927605833,无贡献,0.26667171716690063,0.0,-2.6020028591156006,0.03728230230695349,0.07209479784456638,0.10163300257829513
净实际交换功率,total_lmp_rt,0.07424617932075636,0.061691186525738816,0.4451031323436938,0.005038653263434334,-0.4400644790802595,无贡献,2.6261841412633657e-06,0.0,-2.7272276878356934,0.0905793210111851,-2.2801919079107334e-06,0.02528805120208069
净实际交换功率,total_pjm_rmpcp_cr,0.07216040649551167,0.059958116870307866,0.3551432854489165,0.0129137571836071,-0.3422295282653094,无贡献,8.835969538267818e-07,0.0,-2.656045436859131,0.21274521456709458,0.00047728083331275426,0.0
净实际交换功率,net_inadv_interchange_mw,0.07195522542319478,0.05978763181747884,0.4053021235828158,0.005741235768776054,-0.39956088781403976,无贡献,1.2634873201022856e-06,0.0,-2.876383066177368,0.05550651032671024,0.001178567745734238,0.03267881618248076
净实际交换功率,rmpcp,0.06404729883204653,0.05321693176490398,0.287940173384317,0.016568207671616708,-0.2713719657127003,无贡献,8.6365929519161e-07,0.0,-2.697016716003418,0.12318802850108891,-0.00021565084644361576,0.013718574641520024
净实际交换功率,gen_fuel_hydro_mw,0.04136916484354491,0.034373659198698905,0.0022969664439043136,0.034772688595996026,0.03247572215209171,无贡献,3.743119805221795e-06,0.0,-2.8464341163635254,0.014288480104748898,0.0005640273192139666,0.5365289607879358
净实际交换功率,gen_fuel_wind_pct,0.039838561330492954,0.033101879994913784,0.2661678278879225,0.004833793358500316,-0.26133403452942217,无贡献,0.00752095365896821,0.0,-2.5015432834625244,0.20440113794968048,-0.0022577414388870844,0.0
净实际交换功率,gen_fuel_solar_mw,0.027596911395510335,0.02293028710716116,-0.016248201092374792,0.051202867723241674,0.06745106881561647,无贡献,0.04201095551252365,0.03332439064979553,-2.801591396331787,0.08698219954286977,0.0072958840506117005,1.1909576546507816
净实际交换功率,gen_fuel_oil_mw,0.02008458482457953,0.016688291303883575,0.12054218456231647,-0.010472585952938207,-0.13101477051525467,无贡献,7.28886504930415e-07,0.008120350539684296,-2.854268789291382,0.04991953277362747,0.0019722361919540356,0.19630644655279386
净实际交换功率,forecast_load_mw_latest_available,0.012977764347771087,0.010783230711531153,0.14156035891210061,-0.004304079241335579,-0.1458644381534362,无贡献,0.04486239328980446,0.0,-2.4998714923858643,0.11078607619760648,0.01228341348348545,0.0
净实际交换功率,da_as_total_mw_synchronized_reserve,0.0036773643050859355,0.0030555237904979814,0.4649436283487556,-0.0681944395892784,-0.533138067938034,无贡献,0.06059699505567551,0.0,-2.7215445041656494,0.3422041402785377,-0.00542666215009433,0.055256131683310165
净实际交换功率,gen_fuel_other_renewables_mw,0.003061311236615719,0.002543644996135224,-0.06327615317254853,-0.009039843362848465,0.05423630980970007,无贡献,0.27725934982299805,0.0,-2.860682725906372,0.23719585518222647,0.011054189921669445,0.004010589001495911
净实际交换功率,da_as_nsr_mw_primary_reserve,-0.006505674655552315,-0.0054055682369537035,0.033098485362563324,0.010856794783676182,-0.02224169057888714,无贡献,5.390098749558092e-07,0.019477570429444313,-2.8742125034332275,0.0628382759628591,0.009161192871448875,0.15478750341449712
