目标,字段名,候选数,v_全部,v_空,加和性偏差,判零门槛,超过判零门槛的字段数,替身型,协同型,独立可加,无贡献,通道A精确零点,通道AB秩相关,通道A噪声字段门控均值,噪声字段份额范围,前3份额占比,耗时秒,曲线_本方法贡献值,曲线_通道A门控值,曲线_分解式门控,曲线_随机门控,曲线_两两相关性,曲线_置换重要性,曲线_Lasso系数,曲线_本方法·最低的k个,曲线_k
净实际交换功率,net_actual_interchange_mw,52,-1.2141550273020258,-2.4176685841336707,4.440892098500626e-16,0.10225731313181022,23,15,8,0,29,0,0.29164176555963456,6.858387138208855e-07,"[-0.08368175182597061, 0.11225953845033926]",0.7301421394493247,136.7,"[-1.8426, -1.3838, -1.2009, -1.246, -0.925, -0.5319, -0.3657, -0.729, -0.0016, 0.5324]","[-3.1807, -2.9476, -3.1718, -2.0093, -2.039, 0.2736, -0.0237, 0.3563, 0.4424, -0.0272]","[-2.2432, -2.53, -1.4794, 0.7562, 0.7331, 0.7314, 0.7282, 0.6589, 0.5688, 0.3685]","[-2.1383, -2.3492, -2.2764, -2.5007, -2.5026, -2.6416, -2.7238, -2.0245, -1.846, 0.5538]","[-3.1807, -3.1208, -3.0139, -3.6453, -2.9579, -2.4185, -3.1505, -2.0597, 0.4658, 0.5824]","[-3.1807, -2.9476, -2.8327, -2.2635, -2.0779, -1.9185, -0.9582, -1.0983, -0.0862, 0.3652]","[-2.2432, -1.1732, -0.9509, 0.1656, 0.7721, 0.7338, -0.4159, 0.6072, 0.0778, 0.0903]","[-3.1807, -2.533, -2.9081, -3.1775, -3.3181, -4.0705, -3.1164, -2.625, -1.7435, 0.2875]","[1, 2, 3, 5, 8, 12, 18, 25, 35, 52]"
总实际交换功率,gross_actual_interchange_mw,52,-0.32602277389021084,-1.0222714969235156,-1.1102230246251565e-16,0.056116995098811503,21,8,9,4,31,0,0.012379407495944678,2.2462542488356216e-31,"[-0.020049227185351952, 0.060700226692880874]",1.7301255561788165,165.0,"[-0.2191, -0.2338, -0.2044, 0.1166, 0.1448, 0.3392, 0.1309, 0.0571, 0.251, -0.0149]","[-0.2191, -0.2518, -0.3131, -0.2411, -0.2469, -0.3205, -0.2157, -0.2719, 0.0421, 0.0408]","[-0.847, -0.2315, -0.2681, -0.3246, -0.5214, -0.1746, -0.1005, -0.027, -0.1023, -0.0851]","[-1.0809, -1.4487, -1.2081, -1.1271, -0.8978, -1.4142, -1.4459, -1.2067, -1.1223, -0.045]","[-0.2191, -0.2518, -0.1446, -0.2613, -0.0652, -0.2831, -0.0964, -0.0379, -0.0909, -0.053]","[-0.2191, -0.1943, -0.3999, -0.5293, -0.2955, -0.4797, -0.3728, -0.1695, 0.0, -0.3672]","[-0.9221, -0.2429, -0.4898, -0.3753, -0.2836, -0.4006, -0.2348, -0.0867, -0.1495, -0.0794]","[-1.177, -1.7288, -1.5902, -1.6565, -2.1634, -1.589, -1.3468, -1.6059, -1.3417, -0.1962]","[1, 2, 3, 5, 8, 12, 18, 25, 35, 52]"
