index,role,name
0,center,congestion_price_rt
1,feature,marginal_loss_price_rt
2,feature,gen_fuel_oil_pct
3,feature,marginal_loss_price_da
4,feature,gen_fuel_nuclear_pct
5,feature,gen_fuel_multiple_fuels_pct
6,feature,gen_fuel_storage_mw
7,feature,total_lmp_rt
8,feature,system_energy_price_rt
9,feature,system_energy_price_da
10,feature,total_lmp_da
11,feature,total_pjm_rmccp_cr
12,feature,rmccp
13,feature,metered_load_mw
14,feature,gen_fuel_oil_mw
15,feature,total_pjm_rt_load_mwh
16,feature,prelim_load_avg_hourly
17,feature,gen_fuel_gas_mw
18,feature,gen_fuel_multiple_fuels_mw
19,feature,forecast_load_mw_latest_available
20,feature,forecast_load_mw_day_ahead
21,feature,total_gen
22,feature,gen_fuel_coal_mw
23,feature,gen_fuel_other_renewables_pct
24,feature,da_as_as_mw_thirty_minutes_reserve
25,feature,da_as_mcp_synchronized_reserve
26,feature,da_as_total_mw_thirty_minutes_reserve
27,feature,total_losses
28,feature,gross_inadv_interchange_mw
29,feature,gen_fuel_hydro_mw
30,feature,total_pjm_reg_purchases
31,feature,gen_fuel_coal_pct
32,feature,total_pjm_loc_credit
33,feature,congestion_price_da
34,feature,da_as_mcp_primary_reserve
35,feature,net_sched_interchange_mw
36,feature,total_pjm_assigned_reg
37,feature,gen_fuel_gas_pct
38,feature,gross_actual_interchange_mw
39,feature,net_actual_interchange_mw
40,feature,gen_fuel_hydro_pct
41,feature,gen_fuel_nuclear_mw
42,feature,gross_sched_interchange_mw
43,feature,da_as_ss_mw_primary_reserve
44,feature,total_pjm_rmpcp_cr
45,feature,da_as_as_req_mw_thirty_minutes_reserve
46,feature,da_as_nsr_mw_primary_reserve
