gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_storage_mw,gen_fuel_coal_pct,gen_fuel_hydro_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,system_energy_price_da,system_energy_price_rt,marginal_loss_price_rt,gross_sched_interchange_mw,gross_inadv_interchange_mw
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.5810098,0.5587417,0.6116109,0.5661941,0.54272693,0.4308219,0.57556236,0.42284498,0.5055118,0.61010665,0.5226072,0.53557736,0.47622186,0.49127716,0.5178847,0.51903355,0.54096174,0.43112805,0.5021605,0.5220848,0.45824236,0.47116935,0.4132055,0.5317082
0.642228,0.58104914,0.6941404,0.5948334,0.5861625,0.35204545,0.64387023,0.36312917,0.51822597,0.6722998,0.57199824,0.54360265,0.44886702,0.48091128,0.50839686,0.50870025,0.5370693,0.39485046,0.5143902,0.5499274,0.46468285,0.44908398,0.32219934,0.5380932
0.69079536,0.59211427,0.7568295,0.62631613,0.63970256,0.27436024,0.7028361,0.2998922,0.5125936,0.73055404,0.6162307,0.54622775,0.4358734,0.47070765,0.50360006,0.49066412,0.54168504,0.34603935,0.53129464,0.573572,0.44744512,0.44537532,0.23182909,0.5388303
0.73221904,0.6220193,0.8231879,0.6465179,0.68720657,0.19032131,0.7652961,0.24103448,0.5238345,0.79381347,0.68750066,0.5605792,0.40828294,0.46105534,0.48104388,0.47906068,0.5535653,0.31192675,0.55997264,0.5949473,0.44304326,0.4291172,0.14624293,0.53439337
0.7811251,0.6328779,0.8701219,0.6610736,0.74722826,0.10625532,0.81742936,0.1693902,0.5243536,0.84109384,0.75563604,0.56642634,0.3629335,0.44573164,0.46879807,0.4600787,0.56188655,0.26224127,0.5815978,0.6200953,0.4119033,0.41473442,0.05487454,0.5356559
0.8263665,0.6461381,0.9054163,0.69147503,0.807615,0.0058862087,0.85624,0.09633291,0.52890456,0.88772905,0.80369925,0.5698582,0.3197889,0.42273343,0.4577192,0.43867895,0.5644316,0.2026403,0.60266745,0.6468092,0.38874415,0.39581022,0.0,0.5230835
0.84869516,0.6546503,0.93072456,0.70521766,0.8385372,0.0,0.8854588,0.017442487,0.53453964,0.92806876,0.85244876,0.58314514,0.28203148,0.40374392,0.4295107,0.41118768,0.5537487,0.13778712,0.6034047,0.6633191,0.35387376,0.38428667,0.0,0.50677276
0.8975143,0.6730858,0.9627864,0.73004055,0.8714665,0.0,0.93650085,0.0,0.5364239,0.9700695,0.9020054,0.58130205,0.23900211,0.3724727,0.39671922,0.3718862,0.5401679,0.063324325,0.6246262,0.6930616,0.33745542,0.37228554,0.0,0.4988799
0.9271694,0.68371046,0.98528934,0.7422824,0.9047379,0.0,0.96244144,0.0,0.53427756,1.0,0.9492859,0.5727931,0.1964626,0.34901085,0.355931,0.3467543,0.54439396,0.0,0.6266953,0.7124607,0.317889,0.35972157,0.0,0.48134056
0.95796144,0.6916967,1.0,0.7659408,0.9501362,0.0,1.0,0.0,0.5288662,1.0,0.9815149,0.5767451,0.1401163,0.31508,0.323982,0.3104888,0.5490693,0.0,0.6357573,0.7465083,0.28894347,0.3379712,0.0,0.45920616
0.981242,0.7011472,1.0,0.78468215,0.9869019,0.0,1.0,0.0,0.5219627,1.0,1.0,0.57602954,0.08842865,0.28296065,0.27738073,0.26259536,0.5391036,0.0,0.64192384,0.7755138,0.2701692,0.31428704,0.0,0.43732587
1.0,0.7106856,1.0,0.80043656,1.0,0.0,1.0,0.0,0.5011146,1.0,1.0,0.57249385,0.020878738,0.244592,0.23160923,0.2142198,0.5406197,0.0,0.6544774,0.7947122,0.24435893,0.28598064,0.0,0.41278708
1.0,0.7270834,1.0,0.81440246,1.0,0.0,1.0,0.0,0.48882106,1.0,1.0,0.5719878,0.0,0.19982837,0.17050014,0.14959964,0.5237647,0.0,0.65832967,0.8168699,0.21765745,0.26370978,0.0,0.37538987
1.0,0.7373618,1.0,0.82780015,1.0,0.0,1.0,0.0,0.46830374,1.0,1.0,0.57621366,0.0,0.15101975,0.10892609,0.097225234,0.52723783,0.0,0.66979903,0.8391461,0.18551853,0.23340417,0.0,0.33754882
1.0,0.74846214,1.0,0.847561,1.0,0.0,1.0,0.0,0.44666752,1.0,1.0,0.5651761,0.0,0.098040834,0.037056353,0.020100096,0.5212737,0.0,0.6663985,0.8590339,0.16110478,0.19745667,0.0,0.28645954
1.0,0.7601003,1.0,0.8780382,1.0,0.0,1.0,0.0,0.4211884,1.0,1.0,0.5531542,0.0,0.035533063,0.0,0.0,0.5141705,0.0,0.6759029,0.9054484,0.13865894,0.15677008,0.0,0.23337147
1.0,0.770237,1.0,0.8966516,1.0,0.0,1.0,0.0,0.3856093,1.0,1.0,0.54670787,0.0,0.0,0.0,0.0,0.5198439,0.0,0.6779626,0.92512566,0.0873701,0.09481637,0.0,0.16946195
1.0,0.7852977,1.0,0.91788185,1.0,0.0,1.0,0.0,0.35135868,1.0,1.0,0.54249936,0.0,0.0,0.0,0.0,0.5087775,0.0,0.6861819,0.9602951,0.00031293614,0.041666217,0.0,0.107241206
1.0,0.79540473,1.0,0.94671285,1.0,0.0,1.0,0.0,0.30744687,1.0,1.0,0.5322189,0.0,0.0,0.0,0.0,0.50806135,0.0,0.6946793,1.0,0.0,0.0,0.0,0.032626335
1.0,0.8115094,1.0,0.96954584,1.0,0.0,1.0,0.0,0.25581723,1.0,1.0,0.51350427,0.0,0.0,0.0,0.0,0.48754925,0.0,0.68981624,1.0,0.0,0.0,0.0,0.0
1.0,0.81344587,1.0,0.99440795,1.0,0.0,1.0,0.0,0.19972466,1.0,1.0,0.49508223,0.0,0.0,0.0,0.0,0.46634677,0.0,0.6919133,1.0,0.0,0.0,0.0,0.0
1.0,0.82430834,1.0,1.0,1.0,0.0,1.0,0.0,0.14083217,1.0,1.0,0.4740029,0.0,0.0,0.0,0.0,0.4525155,0.0,0.69942623,1.0,0.0,0.0,0.0,0.0
1.0,0.8313151,1.0,1.0,1.0,0.0,1.0,0.0,0.080473416,1.0,1.0,0.44951528,0.0,0.0,0.0,0.0,0.44303748,0.0,0.7092142,1.0,0.0,0.0,0.0,0.0
1.0,0.8486466,1.0,1.0,1.0,0.0,1.0,0.0,0.0036299007,1.0,1.0,0.42066914,0.0,0.0,0.0,0.0,0.40809223,0.0,0.714098,1.0,0.0,0.0,0.0,0.0
1.0,0.866456,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.38150987,0.0,0.0,0.0,0.0,0.36435124,0.0,0.7202319,1.0,0.0,0.0,0.0,0.0
1.0,0.87931657,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.35128987,0.0,0.0,0.0,0.0,0.3314588,0.0,0.73118633,1.0,0.0,0.0,0.0,0.0
1.0,0.8945084,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.30554292,0.0,0.0,0.0,0.0,0.29289278,0.0,0.7450053,1.0,0.0,0.0,0.0,0.0
1.0,0.9127644,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.25666726,0.0,0.0,0.0,0.0,0.24472018,0.0,0.75092024,1.0,0.0,0.0,0.0,0.0
1.0,0.9363852,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.20357393,0.0,0.0,0.0,0.0,0.18364102,0.0,0.7627146,1.0,0.0,0.0,0.0,0.0
1.0,0.9564735,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.14283916,0.0,0.0,0.0,0.0,0.1310872,0.0,0.7718858,1.0,0.0,0.0,0.0,0.0
1.0,0.9745126,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.08533397,0.0,0.0,0.0,0.0,0.058266472,0.0,0.78652275,1.0,0.0,0.0,0.0,0.0
1.0,0.9945679,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.020966567,0.0,0.0,0.0,0.0,0.0,0.0,0.8010343,1.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8155151,1.0,0.0,0.0,0.0,0.0
