wind_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_multiple_fuels_pct,gen_fuel_other_renewables_pct,gen_fuel_wind_pct,rmccp,rmpcp,total_pjm_reg_purchases,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,system_energy_price_rt,total_lmp_rt,marginal_loss_price_rt,gross_sched_interchange_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.80605507,0.96775514,0.98388714,0.96092343,1.0098552,0.81075156,0.81535065,0.92372984,0.8388646,0.95906466,0.9684523,1.0455519,1.0123236,0.87711257,0.73131377,0.8287252,0.8106446,1.0289706,0.7127362,0.94192696,0.848832,0.8478824,0.8436437,0.9425743,0.75710803,0.93151563,1.0511788,0.7661301,1.2043421,0.79255706,0.8224444,0.909853,1.1978959
0.6804352,0.98662966,0.96174675,0.8594879,0.975817,0.679509,0.7722808,0.7975226,0.68055165,0.88255274,0.83445024,0.9712422,0.96114826,0.7194666,0.5496355,0.7268576,0.65689605,0.9080179,0.59555656,0.87175757,0.80526346,0.7240846,0.76286405,0.8756773,0.6649208,0.82179886,1.0148822,0.6462608,1.2712897,0.6934504,0.70092237,0.9121896,1.1284395
0.6042122,0.98195237,0.90314555,0.76182455,0.97532755,0.58711743,0.7707852,0.7075834,0.56901085,0.8557095,0.75243485,0.90990937,0.8558176,0.6196523,0.4247653,0.6035628,0.537346,0.8089945,0.48927686,0.7891413,0.7649025,0.65909153,0.6785816,0.82685447,0.59327483,0.7056122,0.9739556,0.52556336,1.3057789,0.64918566,0.6232541,0.8888012,1.0632825
0.5014725,0.98210216,0.87916654,0.70559704,0.9487366,0.5094955,0.78415966,0.60266924,0.47742632,0.8232506,0.6992319,0.8818118,0.7549395,0.5228835,0.32662588,0.50980616,0.44964835,0.73975706,0.399111,0.701743,0.7112643,0.59605986,0.6190424,0.7919482,0.53227097,0.5997531,0.8768079,0.43383533,1.2906462,0.5944856,0.5478555,0.88506687,1.0251172
0.4437837,0.96255904,0.8474456,0.63597095,0.91297275,0.44621307,0.7613894,0.52649707,0.41692352,0.764024,0.66067344,0.8273278,0.6825702,0.45646277,0.2495949,0.4381983,0.37799898,0.6635475,0.31761584,0.62098914,0.6771243,0.5433292,0.5805554,0.75058,0.4677757,0.51634085,0.79028565,0.34811842,1.2422342,0.5787609,0.50198627,0.861714,1.0075732
0.3904125,0.9420852,0.8158798,0.6059738,0.87534654,0.3931477,0.7465065,0.46124166,0.3654423,0.7150923,0.6247246,0.7901136,0.612171,0.3809792,0.18569201,0.36891124,0.31430858,0.616188,0.2520635,0.56756806,0.63114,0.49501416,0.53053737,0.70390993,0.4143726,0.45101532,0.72047985,0.28727028,1.2010971,0.5477269,0.44356734,0.8441144,0.9743197
0.3506598,0.9210124,0.7887051,0.5526911,0.8329598,0.35344368,0.72655255,0.4134448,0.32494482,0.683597,0.5796393,0.7516248,0.55286855,0.32850313,0.13679983,0.31435478,0.26310903,0.5643194,0.19315493,0.5130935,0.6023511,0.44631448,0.47715285,0.6647432,0.3688489,0.3833621,0.6365496,0.23769104,1.1557168,0.5276822,0.3948565,0.820415,0.93582255
0.31497863,0.8937553,0.7553259,0.51648337,0.7952143,0.3095675,0.6826878,0.36229095,0.2895488,0.6457395,0.55513906,0.71376723,0.50247097,0.28245923,0.10059208,0.27480495,0.2217398,0.52276194,0.14347441,0.4715899,0.57325804,0.4122092,0.4361775,0.6274469,0.32464573,0.32617015,0.5855435,0.19021426,1.118079,0.50610065,0.36166358,0.8021941,0.90294385
0.2805581,0.87576926,0.73102564,0.47881413,0.7570027,0.27104408,0.66520905,0.32388565,0.25638038,0.6161771,0.5209382,0.68315595,0.4465225,0.24455863,0.07077156,0.2277522,0.18284842,0.49121144,0.11001295,0.42780346,0.53482264,0.38203022,0.4045368,0.59976786,0.28982368,0.28344807,0.5501835,0.15233545,1.0783811,0.4952185,0.33331382,0.7683165,0.882076
0.26527065,0.83819205,0.69266474,0.43649548,0.7349801,0.23359212,0.65774983,0.28946134,0.23654588,0.59655654,0.49289814,0.6581215,0.40585187,0.21607271,0.04916261,0.18909082,0.150944,0.44659734,0.080804534,0.3846156,0.5105212,0.3522426,0.36690435,0.5653456,0.25005522,0.2501666,0.5173711,0.12123776,1.0439329,0.46247935,0.30818093,0.75510335,0.8564322
0.2396408,0.83229077,0.68656296,0.4106761,0.7005372,0.20565128,0.6186752,0.2576914,0.21405296,0.5602362,0.47060254,0.6180214,0.36645484,0.19136761,0.03243413,0.16304922,0.12389985,0.4123265,0.060546026,0.34846452,0.48032135,0.31617522,0.33475775,0.5412512,0.21437383,0.22776279,0.48602208,0.097737566,1.0000408,0.44711572,0.28307635,0.7321447,0.8299782
0.23150934,0.7991725,0.65724593,0.37393156,0.6806407,0.1777424,0.5999616,0.23759842,0.20529824,0.53059214,0.4626124,0.589849,0.32988495,0.17641085,0.020935202,0.13653937,0.100105286,0.38681036,0.04504564,0.31954485,0.46375123,0.2910488,0.30901524,0.5236136,0.1836559,0.20116843,0.46002987,0.07725106,0.965412,0.43237752,0.26400602,0.7173826,0.7958705
0.2138482,0.7770197,0.63631475,0.34858304,0.6533812,0.14981702,0.58282775,0.20947921,0.18879397,0.51118404,0.44422224,0.5728154,0.2945204,0.15183753,0.013041412,0.112154156,0.08062796,0.3598097,0.03223884,0.29489234,0.4334481,0.2701552,0.28447452,0.5043326,0.1560525,0.17398033,0.44118682,0.057510994,0.9378095,0.40781024,0.24039195,0.70396507,0.77078253
0.19935526,0.75723284,0.6115956,0.3260266,0.6341897,0.13027208,0.5693006,0.19205166,0.17095074,0.49543905,0.42322668,0.56518275,0.26733708,0.13124675,0.0077729435,0.092596136,0.06378929,0.34164676,0.022179024,0.2678793,0.4128801,0.2514411,0.26325393,0.4772387,0.13312437,0.15775192,0.41557744,0.044102963,0.90796477,0.40087244,0.22402297,0.682317,0.7386671
0.19902487,0.73812133,0.59542066,0.30236724,0.6196276,0.11491759,0.5537858,0.17000788,0.1677042,0.47749493,0.41402525,0.5414005,0.23946816,0.12040536,0.0045288587,0.07709519,0.050717592,0.31280124,0.016493656,0.25439596,0.3894535,0.23450218,0.24148703,0.45513707,0.11437597,0.14222819,0.39636663,0.03303269,0.87998635,0.3810418,0.20971929,0.6562873,0.7155695
0.19121177,0.70817953,0.576307,0.2816106,0.60426414,0.09983471,0.5536574,0.15586933,0.15802301,0.44469315,0.39626494,0.5279555,0.21324508,0.10537111,0.0024629831,0.0606985,0.03932873,0.29212135,0.011552057,0.2370953,0.36905292,0.21317284,0.225471,0.44801602,0.09774416,0.13392411,0.3827509,0.02452085,0.85176384,0.37311766,0.19459008,0.6424724,0.6836471
